 Configuration with minimum energy:            7
 Configuration with maximum energy:            8

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.499650E-01      0.0426      0.0009
         2        32  0.488090E-01      0.0297      0.0009
         3        96  0.407540E-01      0.1216      0.0013
         4       192  0.311510E-01      0.3526      0.0018
         5        96  0.322060E-01      0.1692      0.0018
         6        48  0.329990E-01      0.0821      0.0017
         7        32  0.000000E+00      0.1961      0.0061
         8        16  0.713880E-01      0.0062      0.0004


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.499650E-01      0.0694      0.0014
         2        32  0.488090E-01      0.0470      0.0015
         3        96  0.407540E-01      0.1569      0.0016
         4       192  0.311510E-01      0.3566      0.0019
         5        96  0.322060E-01      0.1758      0.0018
         6        48  0.329990E-01      0.0870      0.0018
         7        32  0.000000E+00      0.0899      0.0028
         8        16  0.713880E-01      0.0174      0.0011


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.499650E-01      0.0744      0.0015
         2        32  0.488090E-01      0.0501      0.0016
         3        96  0.407540E-01      0.1618      0.0017
         4       192  0.311510E-01      0.3533      0.0018
         5        96  0.322060E-01      0.1749      0.0018
         6        48  0.329990E-01      0.0868      0.0018
         7        32  0.000000E+00      0.0782      0.0024
         8        16  0.713880E-01      0.0204      0.0013


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.499650E-01      0.0770      0.0016
         2        32  0.488090E-01      0.0518      0.0016
         3        96  0.407540E-01      0.1643      0.0017
         4       192  0.311510E-01      0.3512      0.0018
         5        96  0.322060E-01      0.1743      0.0018
         6        48  0.329990E-01      0.0867      0.0018
         7        32  0.000000E+00      0.0726      0.0023
         8        16  0.713880E-01      0.0221      0.0014


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.499650E-01      0.0857      0.0018
         2        32  0.488090E-01      0.0571      0.0018
         3        96  0.407540E-01      0.1714      0.0018
         4       192  0.311510E-01      0.3429      0.0018
         5        96  0.322060E-01      0.1714      0.0018
         6        48  0.329990E-01      0.0857      0.0018
         7        32  0.000000E+00      0.0571      0.0018
         8        16  0.713880E-01      0.0286      0.0018
