        T             E               F          S             
     300.0     -63310.3341     -63310.4939  0.532771E-03
     873.0     -63310.3292     -63310.8042  0.544084E-03
    1273.0     -63310.3285     -63311.0220  0.544741E-03
    1673.0     -63310.3282     -63311.2399  0.544980E-03
  Infinite     -63310.3271         -        0.545300E-03
