        T             E               F          S             
     300.0     -64060.7425     -64060.9286  0.620473E-03
     873.0     -64060.7322     -64061.2951  0.644760E-03
    1273.0     -64060.7310     -64061.5533  0.645913E-03
    1673.0     -64060.7304     -64061.8117  0.646324E-03
  Infinite     -64060.7286         -        0.646869E-03
