 Configuration with minimum energy:           22
 Configuration with maximum energy:           13

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0015      0.0001
         2       192  0.928460E-01      0.0525      0.0003
         3       192  0.945020E-01      0.0493      0.0003
         4        96  0.833450E-01      0.0379      0.0004
         5        24  0.817190E-01      0.0101      0.0004
         6        96  0.740020E-01      0.0545      0.0006
         7        48  0.755040E-01      0.0257      0.0005
         8        96  0.949650E-01      0.0242      0.0003
         9       192  0.767950E-01      0.0978      0.0005
        10        96  0.550100E-01      0.1135      0.0012
        11        96  0.529780E-01      0.1228      0.0013
        12        96  0.872350E-01      0.0326      0.0003
        13        96  0.113535E+00      0.0118      0.0001
        14        96  0.847840E-01      0.0359      0.0004
        15        96  0.760300E-01      0.0503      0.0005
        16       192  0.658300E-01      0.1494      0.0008
        17        48  0.747900E-01      0.0264      0.0006
        18        24  0.693580E-01      0.0163      0.0007
        19         8  0.100958E+00      0.0016      0.0002
        20         4  0.947210E-01      0.0010      0.0003
        21        12  0.800470E-01      0.0054      0.0004
        22         8  0.000000E+00      0.0794      0.0099


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0042      0.0004
         2       192  0.928460E-01      0.0878      0.0005
         3       192  0.945020E-01      0.0859      0.0004
         4        96  0.833450E-01      0.0498      0.0005
         5        24  0.817190E-01      0.0127      0.0005
         6        96  0.740020E-01      0.0564      0.0006
         7        48  0.755040E-01      0.0276      0.0006
         8        96  0.949650E-01      0.0427      0.0004
         9       192  0.767950E-01      0.1087      0.0006
        10        96  0.550100E-01      0.0726      0.0008
        11        96  0.529780E-01      0.0746      0.0008
        12        96  0.872350E-01      0.0473      0.0005
        13        96  0.113535E+00      0.0333      0.0003
        14        96  0.847840E-01      0.0489      0.0005
        15        96  0.760300E-01      0.0549      0.0006
        16       192  0.658300E-01      0.1257      0.0007
        17        48  0.747900E-01      0.0279      0.0006
        18        24  0.693580E-01      0.0150      0.0006
        19         8  0.100958E+00      0.0033      0.0004
        20         4  0.947210E-01      0.0018      0.0004
        21        12  0.800470E-01      0.0065      0.0005
        22         8  0.000000E+00      0.0126      0.0016


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0049      0.0004
         2       192  0.928460E-01      0.0935      0.0005
         3       192  0.945020E-01      0.0921      0.0005
         4        96  0.833450E-01      0.0510      0.0005
         5        24  0.817190E-01      0.0129      0.0005
         6        96  0.740020E-01      0.0555      0.0006
         7        48  0.755040E-01      0.0274      0.0006
         8        96  0.949650E-01      0.0458      0.0005
         9       192  0.767950E-01      0.1082      0.0006
        10        96  0.550100E-01      0.0660      0.0007
        11        96  0.529780E-01      0.0672      0.0007
        12        96  0.872350E-01      0.0492      0.0005
        13        96  0.113535E+00      0.0387      0.0004
        14        96  0.847840E-01      0.0503      0.0005
        15        96  0.760300E-01      0.0545      0.0006
        16       192  0.658300E-01      0.1196      0.0006
        17        48  0.747900E-01      0.0276      0.0006
        18        24  0.693580E-01      0.0145      0.0006
        19         8  0.100958E+00      0.0036      0.0005
        20         4  0.947210E-01      0.0019      0.0005
        21        12  0.800470E-01      0.0066      0.0005
        22         8  0.000000E+00      0.0091      0.0011


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0053      0.0004
         2       192  0.928460E-01      0.0964      0.0005
         3       192  0.945020E-01      0.0953      0.0005
         4        96  0.833450E-01      0.0515      0.0005
         5        24  0.817190E-01      0.0130      0.0005
         6        96  0.740020E-01      0.0549      0.0006
         7        48  0.755040E-01      0.0272      0.0006
