        T             E               F          S             
     300.0     -69313.7181     -69313.9210  0.676026E-03
     873.0     -69313.6999     -69314.3242  0.715063E-03
    1273.0     -69313.6960     -69314.6111  0.718815E-03
    1673.0     -69313.6939     -69314.8989  0.720266E-03
  Infinite     -69313.6870         -        0.722311E-03
