 Configuration with minimum energy:           32
 Configuration with maximum energy:            5

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.113641E+00      0.0012      0.0000
         2        48  0.114583E+00      0.0006      0.0000
         3        96  0.828050E-01      0.0038      0.0000
         4       192  0.563250E-01      0.0212      0.0001
         5        96  0.114921E+00      0.0011      0.0000
         6       192  0.835420E-01      0.0074      0.0000
         7       192  0.842920E-01      0.0072      0.0000
         8       192  0.834390E-01      0.0074      0.0000
         9       192  0.658300E-01      0.0147      0.0001
        10       192  0.838030E-01      0.0073      0.0000
        11        96  0.102453E+00      0.0018      0.0000
        12        96  0.374750E-01      0.0220      0.0002
        13       192  0.322770E-01      0.0537      0.0003
        14        96  0.517860E-01      0.0126      0.0001
        15        96  0.386310E-01      0.0210      0.0002
        16       192  0.734100E-01      0.0109      0.0001
        17       192  0.403040E-01      0.0394      0.0002
        18        48  0.347000E-01      0.0122      0.0003
        19       192  0.232260E-01      0.0763      0.0004
        20        48  0.932630E-01      0.0013      0.0000
        21        96  0.797890E-01      0.0043      0.0000
        22        48  0.112055E+00      0.0006      0.0000
        23       192  0.642130E-01      0.0156      0.0001
        24        96  0.524260E-01      0.0123      0.0001
        25        96  0.311700E-01      0.0280      0.0003
        26       192  0.235880E-01      0.0752      0.0004
        27        96  0.566280E-01      0.0105      0.0001
        28        96  0.249730E-01      0.0356      0.0004
        29        96  0.626400E-02      0.0735      0.0008
        30        96  0.533230E-01      0.0119      0.0001
        31        96  0.429800E-02      0.0793      0.0008
        32       192  0.000000E+00      0.1873      0.0010
        33        96  0.158600E-01      0.0507      0.0005
        34        48  0.678700E-02      0.0360      0.0008
        35        96  0.133410E-01      0.0559      0.0006


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.113641E+00      0.0092      0.0001
         2        48  0.114583E+00      0.0045      0.0001
         3        96  0.828050E-01      0.0139      0.0001
         4       192  0.563250E-01      0.0394      0.0002
         5        96  0.114921E+00      0.0090      0.0001
         6       192  0.835420E-01      0.0275      0.0001
         7       192  0.842920E-01      0.0272      0.0001
         8       192  0.834390E-01      0.0275      0.0001
         9       192  0.658300E-01      0.0348      0.0002
        10       192  0.838030E-01      0.0274      0.0001
        11        96  0.102453E+00      0.0107      0.0001
        12        96  0.374750E-01      0.0253      0.0003
        13       192  0.322770E-01      0.0543      0.0003
        14        96  0.517860E-01      0.0209      0.0002
        15        96  0.386310E-01      0.0249      0.0003
        16       192  0.734100E-01      0.0314      0.0002
        17       192  0.403040E-01      0.0488      0.0003
        18        48  0.347000E-01      0.0131      0.0003
        19       192  0.232260E-01      0.0612      0.0003
        20        48  0.932630E-01      0.0060      0.0001
        21        96  0.797890E-01      0.0144      0.0002
        22        48  0.112055E+00      0.0047      0.0001
        23       192  0.642130E-01      0.0355      0.0002
        24        96  0.524260E-01      0.0208      0.0002
        25        96  0.311700E-01      0.0275      0.0003
        26       192  0.235880E-01      0.0609      0.0003
        27        96  0.566280E-01      0.0196      0.0002
        28        96  0.249730E-01      0.0299      0.0003
        29        96  0.626400E-02      0.0384      0.0004
        30        96  0.533230E-01      0.0205      0.0002
        31        96  0.429800E-02      0.0394      0.0004
        32       192  0.000000E+00      0.0834      0.0004
        33        96  0.158600E-01      0.0338      0.0004
        34        48  0.678700E-02      0.0190      0.0004
        35        96  0.133410E-01      0.0349      0.0004


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.113641E+00      0.0123      0.0001
