        T             E               F          S             
     300.0     -70814.6007     -70814.7572  0.521547E-03
     873.0     -70814.5914     -70815.0645  0.541946E-03
    1273.0     -70814.5896     -70815.2817  0.543685E-03
    1673.0     -70814.5886     -70815.4993  0.544354E-03
  Infinite     -70814.5854         -        0.545300E-03
