        T             E               F          S             
     300.0     -73065.9788     -73065.9788  0.000000E+00
     873.0     -73065.9788     -73065.9788  0.000000E+00
    1273.0     -73065.9788     -73065.9788  0.000000E+00
    1673.0     -73065.9788     -73065.9788  0.000000E+00
  Infinite     -73065.9788         -        0.000000E+00
