        T             E               F          S             
     473.0     -72315.5147     -72315.6660  0.319851E-03
     873.0     -72315.5136     -72315.7944  0.321663E-03
    1273.0     -72315.5132     -72315.9232  0.322033E-03
    1673.0     -72315.5130     -72316.0520  0.322167E-03
  Infinite     -72315.5124         -        0.322346E-03
