        T             E               F          S             
     473.0     -67812.8557     -67813.2889  0.915680E-03
     873.0     -67812.8431     -67813.6605  0.936282E-03
    1273.0     -67812.8384     -67814.0361  0.940854E-03
    1673.0     -67812.8359     -67814.4128  0.942561E-03
  Infinite     -67812.8281         -        0.944894E-03
