        T             E               F          S             
     300.0     -71565.0559     -71565.2025  0.488570E-03
     873.0     -71565.0509     -71565.4871  0.499703E-03
    1273.0     -71565.0500     -71565.6872  0.500588E-03
    1673.0     -71565.0495     -71565.8875  0.500924E-03
  Infinite     -71565.0478         -        0.519481E-03
