        T             E               F          S             
     300.0     -71565.0626     -71565.2127  0.500439E-03
     873.0     -71565.0548     -71565.5064  0.517245E-03
    1273.0     -71565.0536     -71565.7135  0.518434E-03
    1673.0     -71565.0529     -71565.9210  0.518876E-03
  Infinite     -71565.0509         -        0.519481E-03
