
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.40439886591855      eV
 Composition: x =   0.87499999998981914     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.06547    0.720256E-08    0.720256E-08
  1      1       16           -61809.52206      -61059.05718    0.836284E-07    0.522677E-08
  2      1       48           -62559.91747      -61059.05715    0.250518E-06    0.521912E-08
  2      2       24           -62559.92649      -61059.06616    0.177536E-06    0.739734E-08
  2      3       48           -62559.93679      -61059.07646    0.528788E-06    0.110164E-07
  3      1       48           -63310.31227      -61059.05577    0.237545E-06    0.494886E-08
  3      2       32           -63310.31342      -61059.05693    0.165605E-06    0.517517E-08
  3      3       96           -63310.32148      -61059.06498    0.678444E-06    0.706712E-08
  3      4      192           -63310.33108      -61059.07459    0.196728E-05    0.102463E-07
  3      5       96           -63310.33003      -61059.07353    0.944308E-06    0.983655E-08
  3      6       48           -63310.32923      -61059.07274    0.457891E-06    0.953940E-08
  3      7       32           -63310.36223      -61059.10574    0.109403E-05    0.341884E-07
  3      8       16           -63310.29084      -61059.03435    0.345728E-07    0.216080E-08
  4      1       12           -64060.69708      -61059.04370    0.372247E-07    0.310205E-08
  4      2      192           -64060.71656      -61059.06318    0.126556E-05    0.659148E-08
  4      3      192           -64060.71491      -61059.06153    0.118704E-05    0.618249E-08
  4      4       96           -64060.72606      -61059.07268    0.913826E-06    0.951902E-08
  4      5       24           -64060.72769      -61059.07431    0.243287E-06    0.101370E-07
  4      6       96           -64060.73540      -61059.08203    0.131165E-05    0.136631E-07
  4      7       48           -64060.73390      -61059.08052    0.618809E-06    0.128919E-07
  4      8       96           -64060.71444      -61059.06106    0.582984E-06    0.607275E-08
  4      9      192           -64060.73261      -61059.07923    0.235466E-05    0.122639E-07
  4     10       96           -64060.75440      -61059.10102    0.273445E-05    0.284839E-07
  4     11       96           -64060.75643      -61059.10305    0.295806E-05    0.308131E-07
  4     12       96           -64060.72217      -61059.06879    0.786167E-06    0.818924E-08
  4     13       96           -64060.69587      -61059.04249    0.284246E-06    0.296090E-08
  4     14       96           -64060.72462      -61059.07124    0.864350E-06    0.900364E-08
  4     15       96           -64060.73338      -61059.08000    0.121269E-05    0.126322E-07
  4     16      192           -64060.74358      -61059.09020    0.359859E-05    0.187427E-07
  4     17       48           -64060.73462      -61059.08124    0.636138E-06    0.132529E-07
  4     18       24           -64060.74005      -61059.08667    0.392441E-06    0.163517E-07
  4     19        8           -64060.70845      -61059.05507    0.385298E-07    0.481623E-08
  4     20        4           -64060.71469      -61059.06131    0.245213E-07    0.613033E-08
  4     21       12           -64060.72936      -61059.07598    0.129771E-06    0.108142E-07
  4     22        8           -64060.80941      -61059.15603    0.191344E-05    0.239180E-06
  5      1       96           -64811.10732      -61059.05634    0.485696E-06    0.505934E-08
  5      2      192           -64811.12798      -61059.07700    0.215973E-05    0.112486E-07
  5      3       48           -64811.11935      -61059.06837    0.386720E-06    0.805666E-08
  5      4      192           -64811.11591      -61059.06493    0.135394E-05    0.705177E-08
  5      5       96           -64811.13305      -61059.08207    0.131414E-05    0.136890E-07
  5      6      192           -64811.14693      -61059.09595    0.449534E-05    0.234132E-07
  5      7       96           -64811.14333      -61059.09235    0.195541E-05    0.203689E-07
  5      8       96           -64811.11657      -61059.06559    0.694503E-06    0.723440E-08
  5      9       96           -64811.15908      -61059.10810    0.359620E-05    0.374604E-07
  5     10      192           -64811.12358      -61059.07260    0.182215E-05    0.949037E-08
  5     11       96           -64811.15460      -61059.10362    0.302389E-05    0.314989E-07
  5     12       96           -64811.13429      -61059.08331    0.137871E-05    0.143616E-07
  5     13       48           -64811.09652      -61059.04554    0.159889E-06    0.333102E-08
  5     14       96           -64811.09885      -61059.04787    0.350006E-06    0.364589E-08
  5     15       96           -64811.10455      -61059.05357    0.436295E-06    0.454474E-08
  5     16      192           -64811.12491      -61059.07393    0.191805E-05    0.998985E-08
  5     17      192           -64811.13724      -61059.08626    0.309062E-05    0.160970E-07
  5     18      192           -64811.14338      -61059.09240    0.391885E-05    0.204107E-07
  5     19      192           -64811.14607      -61059.09509    0.434860E-05    0.226489E-07
  5     20      192           -64811.15355      -61059.10257    0.580774E-05    0.302487E-07
  5     21       96           -64811.14266      -61059.09168    0.190553E-05    0.198493E-07
  5     22       96           -64811.16473      -61059.11375    0.447431E-05    0.466074E-07
  5     23      192           -64811.12660      -61059.07562    0.204779E-05    0.106655E-07
  5     24      192           -64811.13486      -61059.08389    0.281901E-05    0.146823E-07
