
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.42668226741910      eV
 Composition: x =   0.50000000002595435     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.214020E-02    0.214020E-02
  1      1       16           -61809.52206      -61059.09538    0.722219E-02    0.451387E-03
  2      1       48           -62559.91747      -61059.06411    0.646433E-02    0.134674E-03
  2      2       24           -62559.92649      -61059.07313    0.458113E-02    0.190880E-03
  2      3       48           -62559.93679      -61059.08342    0.136448E-01    0.284267E-03
  3      1       48           -63310.31227      -61059.03222    0.188289E-02    0.392269E-04
  3      2       32           -63310.31342      -61059.03338    0.131266E-02    0.410207E-04
  3      3       96           -63310.32148      -61059.04143    0.537765E-02    0.560172E-04
  3      4      192           -63310.33108      -61059.05103    0.155936E-01    0.812166E-04
  3      5       96           -63310.33003      -61059.04998    0.748501E-02    0.779689E-04
  3      6       48           -63310.32923      -61059.04919    0.362945E-02    0.756136E-04
  3      7       32           -63310.36223      -61059.08219    0.867177E-02    0.270993E-03
  3      8       16           -63310.29084      -61059.01080    0.274040E-03    0.171275E-04
  4      1       12           -64060.69708      -61058.99035    0.931806E-04    0.776505E-05
  4      2      192           -64060.71656      -61059.00983    0.316795E-02    0.164998E-04
  4      3      192           -64060.71491      -61059.00818    0.297139E-02    0.154760E-04
  4      4       96           -64060.72606      -61059.01933    0.228749E-02    0.238280E-04
  4      5       24           -64060.72769      -61059.02096    0.608995E-03    0.253748E-04
  4      6       96           -64060.73540      -61059.02868    0.328332E-02    0.342013E-04
  4      7       48           -64060.73390      -61059.02717    0.154900E-02    0.322708E-04
  4      8       96           -64060.71444      -61059.00771    0.145932E-02    0.152013E-04
  4      9      192           -64060.73261      -61059.02588    0.589418E-02    0.306989E-04
  4     10       96           -64060.75440      -61059.04767    0.684487E-02    0.713007E-04
  4     11       96           -64060.75643      -61059.04970    0.740459E-02    0.771312E-04
  4     12       96           -64060.72217      -61059.01544    0.196793E-02    0.204993E-04
  4     13       96           -64060.69587      -61058.98914    0.711523E-03    0.741170E-05
  4     14       96           -64060.72462      -61059.01789    0.216364E-02    0.225379E-04
  4     15       96           -64060.73338      -61059.02665    0.303560E-02    0.316209E-04
  4     16      192           -64060.74358      -61059.03685    0.900798E-02    0.469165E-04
  4     17       48           -64060.73462      -61059.02789    0.159238E-02    0.331745E-04
  4     18       24           -64060.74005      -61059.03332    0.982357E-03    0.409316E-04
  4     19        8           -64060.70845      -61059.00172    0.964477E-04    0.120560E-04
  4     20        4           -64060.71469      -61059.00796    0.613817E-04    0.153454E-04
  4     21       12           -64060.72936      -61059.02263    0.324842E-03    0.270702E-04
  4     22        8           -64060.80941      -61059.10268    0.478972E-02    0.598715E-03
  5      1       96           -64811.10732      -61058.97391    0.394729E-03    0.411176E-05
