Structure,Energy,Nucleus,delta_iso
01,-67812.762956,Sn01,-660.5988423492945
01,-67812.762956,Sn02,-657.6256465709585
01,-67812.762956,Sn03,-657.6256068065022
01,-67812.762956,Sn04,-657.6254166790382
01,-67812.762956,Sn05,-657.6248018261886
01,-67812.762956,Sn06,-660.5987149931061
01,-67812.762956,Sn07,-657.6258384151943
01,-67812.762956,Sn08,-657.6259018961314
01,-67812.762956,Sn09,-660.5986852812562
02,-67812.806794,Sn01,-657.0545075370992
02,-67812.806794,Sn02,-658.6647300213854
02,-67812.806794,Sn03,-658.6650151314552
02,-67812.806794,Sn04,-657.0587083206883
02,-67812.806794,Sn05,-657.057973445174
02,-67812.806794,Sn06,-660.0813524418081
02,-67812.806794,Sn07,-651.7509234993531
02,-67812.806794,Sn08,-651.7502940982522
02,-67812.806794,Sn09,-660.0864833551873
03,-67812.779045,Sn01,-656.2391995091584
03,-67812.779045,Sn02,-660.8269867371873
03,-67812.779045,Sn03,-659.2300948640304
03,-67812.779045,Sn04,-656.5902676571836
03,-67812.779045,Sn05,-657.9595755324553
03,-67812.779045,Sn06,-659.2307862549214
03,-67812.779045,Sn07,-659.5742322450542
03,-67812.779045,Sn08,-658.0868806216104
03,-67812.779045,Sn09,-651.4056181787291
04,-67812.760044,Sn01,-658.5405515403286
04,-67812.760044,Sn02,-660.2644888332175
04,-67812.760044,Sn03,-658.5271075151154
04,-67812.760044,Sn04,-658.9250172907809
04,-67812.760044,Sn05,-656.5106512364791
04,-67812.760044,Sn06,-658.6167292670907
04,-67812.760044,Sn07,-657.9015590700528
04,-67812.760044,Sn08,-659.2450435712849
04,-67812.760044,Sn09,-660.0458303522691
05,-67812.791096,Sn01,-657.8214997536388
05,-67812.791096,Sn02,-661.2437170041758
05,-67812.791096,Sn03,-658.1414183601719
05,-67812.791096,Sn04,-652.0697737237497
05,-67812.791096,Sn05,-655.6653995540055
05,-67812.791096,Sn06,-659.6660560227847
05,-67812.791096,Sn07,-658.1642630034785
05,-67812.791096,Sn08,-657.7942721722497
05,-67812.791096,Sn09,-660.0034018447418
06,-67812.776693,Sn01,-656.3548500958213
06,-67812.776693,Sn02,-653.7255107504325
06,-67812.776693,Sn03,-660.1724806841712
06,-67812.776693,Sn04,-658.9728358798584
06,-67812.776693,Sn05,-657.3930156949182
06,-67812.776693,Sn06,-658.245468707235
06,-67812.776693,Sn07,-659.349535400906
06,-67812.776693,Sn08,-657.137636632543
06,-67812.776693,Sn09,-659.0913258751384
07,-67812.786883,Sn01,-660.2160879442845
07,-67812.786883,Sn02,-656.6651111677502
07,-67812.786883,Sn03,-658.6837023173648
07,-67812.786883,Sn04,-656.9304455027004
07,-67812.786883,Sn05,-658.4022821761114
07,-67812.786883,Sn06,-658.511266039478
07,-67812.786883,Sn07,-652.6467013311758
07,-67812.786883,Sn08,-658.653994641104
07,-67812.786883,Sn09,-658.5399605845555
08,-67812.808266,Sn01,-657.9020815576296
08,-67812.808266,Sn02,-657.1778435305023
08,-67812.808266,Sn03,-656.7311203198824
08,-67812.808266,Sn04,-658.2765209444933
08,-67812.808266,Sn05,-656.2541664226119
08,-67812.808266,Sn06,-650.9108500684993
08,-67812.808266,Sn07,-651.6240467219627
08,-67812.808266,Sn08,-661.0537958723962
08,-67812.808266,Sn09,-658.0031054623596
09,-67812.815657,Sn01,-658.6326638601358
09,-67812.815657,Sn02,-658.632826764232
09,-67812.815657,Sn03,-656.2705524775774
09,-67812.815657,Sn04,-651.4877370303507
09,-67812.815657,Sn05,-656.2709853093124
09,-67812.815657,Sn06,-659.1351779612469
09,-67812.815657,Sn07,-651.4875643428004
09,-67812.815657,Sn08,-659.1356918091838
09,-67812.815657,Sn09,-658.6862628714916
10,-67812.809768,Sn01,-659.0587536744838
10,-67812.809768,Sn02,-657.4183015762574
10,-67812.809768,Sn03,-658.5759450173477
10,-67812.809768,Sn04,-659.1829405940734
10,-67812.809768,Sn05,-657.5470759171922
10,-67812.809768,Sn06,-658.9843086701749
10,-67812.809768,Sn07,-658.9985025819633
10,-67812.809768,Sn08,-658.6390280871765
10,-67812.809768,Sn09,-657.8436781879218
11,-67812.799676,Sn01,-659.3941249058148
11,-67812.799676,Sn02,-658.0643297827874
11,-67812.799676,Sn03,-658.458099275379
11,-67812.799676,Sn04,-658.0803169460887
11,-67812.799676,Sn05,-659.2073054722418
11,-67812.799676,Sn06,-656.4595012175969
11,-67812.799676,Sn07,-659.7077644775068
11,-67812.799676,Sn08,-650.9322421305019
11,-67812.799676,Sn09,-658.2344508169381
