        T             E               F          S             
     300.0     -61809.5221     -61809.5937  0.238923E-03
     873.0     -61809.5221     -61809.7306  0.238923E-03
    1273.0     -61809.5221     -61809.8262  0.238923E-03
    1673.0     -61809.5221     -61809.9218  0.238923E-03
  Infinite     -61809.5221         -        0.238923E-03
