
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.45471853376898      eV
 Composition: x =   0.24999999999634548     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     11      192           -67062.37592      -61058.73817    0.259616E-03    0.135217E-05
  8     12      192           -67062.37400      -61058.73625    0.247670E-03    0.128995E-05
  8     13       48           -67062.32089      -61058.68314    0.168224E-04    0.350467E-06
  8     14      192           -67062.34967      -61058.71192    0.136339E-03    0.710097E-06
  8     15      192           -67062.34013      -61058.70238    0.107885E-03    0.561900E-06
  8     16      192           -67062.35628      -61058.71853    0.160330E-03    0.835054E-06
  8     17      192           -67062.36970      -61058.73195    0.222846E-03    0.116066E-05
  8     18      192           -67062.36911      -61058.73136    0.219649E-03    0.114400E-05
  8     19       96           -67062.36918      -61058.73143    0.110021E-03    0.114605E-05
  8     20       96           -67062.38028      -61058.74253    0.144449E-03    0.150468E-05
  8     21       96           -67062.35428      -61058.71653    0.763359E-04    0.795166E-06
  8     22      192           -67062.36855      -61058.73080    0.216630E-03    0.112828E-05
  8     23      192           -67062.39009      -61058.75234    0.367510E-03    0.191411E-05
  8     24       96           -67062.37760      -61058.73985    0.135250E-03    0.140886E-05
  8     25       48           -67062.40669      -61058.76894    0.138078E-03    0.287662E-05
  8     26       96           -67062.38834      -61058.75059    0.176024E-03    0.183358E-05
  8     27       12           -67062.33386      -61058.69611    0.578155E-05    0.481796E-06
  8     28       96           -67062.36664      -61058.72889    0.103372E-03    0.107679E-05
  8     29       96           -67062.36557      -61058.72782    0.100679E-03    0.104874E-05
  8     30       96           -67062.38265      -61058.74490    0.153086E-03    0.159464E-05
  8     31      192           -67062.37600      -61058.73825    0.260107E-03    0.135472E-05
  8     32      192           -67062.40881      -61058.77106    0.581726E-03    0.302982E-05
  8     33      192           -67062.39069      -61058.75294    0.372969E-03    0.194255E-05
  8     34      192           -67062.39482      -61058.75707    0.412731E-03    0.214964E-05
  8     35      192           -67062.39888      -61058.76113    0.455959E-03    0.237479E-05
  8     36       48           -67062.38652      -61058.74877    0.841644E-04    0.175342E-05
  8     37       48           -67062.41005      -61058.77230    0.149942E-03    0.312379E-05
  8     38      192           -67062.33684      -61058.69910    0.995286E-04    0.518378E-06
  8     39      192           -67062.34865      -61058.71091    0.132982E-03    0.692615E-06
  8     40      192           -67062.35818      -61058.72044    0.168006E-03    0.875029E-06
  8     41       24           -67062.32830      -61058.69055    0.100879E-04    0.420330E-06
  8     42      192           -67062.35732      -61058.71957    0.164494E-03    0.856739E-06
  8     43       96           -67062.36696      -61058.72921    0.104174E-03    0.108514E-05
  8     44       96           -67062.37934      -61058.74159    0.141166E-03    0.147048E-05
  8     45       48           -67062.35793      -61058.72019    0.417446E-04    0.869679E-06
  8     46       96           -67062.36611      -61058.72836    0.102024E-03    0.106275E-05
  8     47      192           -67062.37410      -61058.73635    0.248260E-03    0.129302E-05
  8     48      192           -67062.38632      -61058.74857    0.335075E-03    0.174518E-05
  8     49      192           -67062.36835      -61058.73060    0.215607E-03    0.112295E-05
  8     50       48           -67062.36430      -61058.72656    0.488071E-04    0.101681E-05
  8     51       96           -67062.35851      -61058.72076    0.846711E-04    0.881991E-06
  8     52      192           -67062.41745      -61058.77970    0.719044E-03    0.374502E-05
  8     53      192           -67062.39766      -61058.75991    0.442524E-03    0.230481E-05
  8     54      192           -67062.42900      -61058.79125    0.954596E-03    0.497185E-05
  8     55       48           -67062.40622      -61058.76848    0.136498E-03    0.284371E-05
  8     56      192           -67062.41988      -61058.78213    0.763234E-03    0.397517E-05
  8     57      192           -67062.41906      -61058.78131    0.748106E-03    0.389638E-05
  8     58       96           -67062.42897      -61058.79122    0.476994E-03    0.496868E-05
  8     59      192           -67062.42367      -61058.78593    0.837770E-03    0.436339E-05
  8     60      192           -67062.43777      -61058.80003    0.118402E-02    0.616677E-05
  8     61      192           -67062.40146      -61058.76371    0.485765E-03    0.253002E-05
  8     62      192           -67062.43244      -61058.79470    0.103886E-02    0.541074E-05
  8     63      192           -67062.44145      -61058.80371    0.129586E-02    0.674928E-05
  8     64      192           -67062.39707      -61058.75932    0.436154E-03    0.227164E-05
  8     65       96           -67062.40749      -61058.76974    0.281580E-03    0.293313E-05
  8     66      192           -67062.42128      -61058.78353    0.789982E-03    0.411449E-05
  8     67      192           -67062.40120      -61058.76345    0.482700E-03    0.251406E-05
  8     68       96           -67062.35701      -61058.71926    0.816138E-04    0.850144E-06
  8     69       96           -67062.35604      -61058.71829    0.796945E-04    0.830151E-06
  8     70      192           -67062.37643      -61058.73868    0.262846E-03    0.136899E-05
  8     71       96           -67062.37170      -61058.73395    0.117029E-03    0.121906E-05
  8     72       96           -67062.39875      -61058.76101    0.227281E-03    0.236751E-05
  8     73      192           -67062.40666      -61058.76891    0.551836E-03    0.287415E-05
  8     74       96           -67062.41114      -61058.77339    0.308004E-03    0.320838E-05
  8     75       96           -67062.42871      -61058.79096    0.473996E-03    0.493745E-05
  8     76       24           -67062.40570      -61058.76795    0.673739E-04    0.280724E-05
  8     77       96           -67062.36628      -61058.72853    0.102468E-03    0.106737E-05
  8     78       96           -67062.36486      -61058.72712    0.989645E-04    0.103088E-05
  8     79       48           -67062.36441      -61058.72666    0.489341E-04    0.101946E-05
  8     80      192           -67062.39150      -61058.75375    0.380473E-03    0.198163E-05
  8     81      192           -67062.37530      -61058.73755    0.255665E-03    0.133159E-05
  8     82       96           -67062.41244      -61058.77469    0.317932E-03    0.331179E-05
  8     83       96           -67062.39691      -61058.75916    0.217244E-03    0.226296E-05
  8     84      192           -67062.42530      -61058.78755    0.871759E-03    0.454041E-05
  8     85      192           -67062.44172      -61058.80397    0.130422E-02    0.679280E-05
  8     86      192           -67062.41863      -61058.78088    0.740219E-03    0.385531E-05
  8     87       96           -67062.42418      -61058.78643    0.424107E-03    0.441778E-05
  8     88       96           -67062.41311      -61058.77536    0.323209E-03    0.336676E-05
  8     89      192           -67062.44060      -61058.80285    0.126906E-02    0.660966E-05
  8     90       48           -67062.41450      -61058.77675    0.167223E-03    0.348381E-05
  8     91       96           -67062.44096      -61058.80321    0.640125E-03    0.666797E-05
  8     92       48           -67062.47212      -61058.83437    0.687468E-03    0.143223E-04
  8     93       96           -67062.46959      -61058.83184    0.129203E-02    0.134586E-04
  8     94        6           -67062.34545      -61058.70770    0.384106E-05    0.640177E-06
  8     95       24           -67062.40391      -61058.76616    0.644855E-04    0.268689E-05
  8     96       48           -67062.45068      -61058.81294    0.406297E-03    0.846452E-05
  8     97       12           -67062.47861      -61058.84086    0.201512E-03    0.167927E-04
  9      1       16           -67812.76296      -61058.67049    0.411118E-05    0.256949E-06
  9      2       96           -67812.80679      -61058.71433    0.723116E-04    0.753246E-06
  9      3      192           -67812.77905      -61058.68658    0.732107E-04    0.381306E-06
  9      4      192           -67812.76004      -61058.66758    0.459326E-04    0.239232E-06
  9      5      192           -67812.79110      -61058.69863    0.983959E-04    0.512479E-06
  9      6      192           -67812.77669      -61058.68423    0.691058E-04    0.359926E-06
  9      7      192           -67812.78688      -61058.69442    0.887336E-04    0.462154E-06
  9      8      192           -67812.80827      -61058.71580    0.149942E-03    0.780946E-06
  9      9       96           -67812.81566      -61058.72319    0.898757E-04    0.936206E-06
  9     10       64           -67812.80977      -61058.71730    0.518566E-04    0.810260E-06
  9     11      192           -67812.79968      -61058.70721    0.121450E-03    0.632550E-06
  9     12       32           -67812.75844      -61058.66597    0.735930E-05    0.229978E-06
  9     13       96           -67812.76132      -61058.66885    0.236955E-04    0.246828E-06
  9     14      192           -67812.80434      -61058.71187    0.136160E-03    0.709164E-06
  9     15       96           -67812.81421      -61058.72174    0.867347E-04    0.903486E-06
  9     16       96           -67812.82611      -61058.73365    0.116155E-03    0.120995E-05
  9     17       96           -67812.75873      -61058.66626    0.222372E-04    0.231637E-06
  9     18       96           -67812.75730      -61058.66484    0.214732E-04    0.223679E-06
  9     19       96           -67812.77566      -61058.68320    0.336923E-04    0.350962E-06
  9     20       96           -67812.76941      -61058.67695    0.289020E-04    0.301062E-06
  9     21      192           -67812.79488      -61058.70241    0.107960E-03    0.562292E-06
  9     22      192           -67812.77850      -61058.68603    0.722313E-04    0.376205E-06
  9     23      192           -67812.78810      -61058.69563    0.914251E-04    0.476173E-06
  9     24      192           -67812.78696      -61058.69449    0.888992E-04    0.463017E-06
  9     25       48           -67812.77802      -61058.68556    0.178490E-04    0.371855E-06
  9     26       48           -67812.79165      -61058.69918    0.249332E-04    0.519441E-06
  9     27      192           -67812.81861      -61058.72614    0.193258E-03    0.100655E-05
  9     28      192           -67812.83925      -61058.74679    0.320706E-03    0.167034E-05
  9     29      192           -67812.83586      -61058.74339    0.295083E-03    0.153689E-05
  9     30       96           -67812.84881      -61058.75634    0.202715E-03    0.211161E-05
  9     31      192           -67812.84179      -61058.74932    0.341285E-03    0.177753E-05
  9     32      192           -67812.83873      -61058.74627    0.316633E-03    0.164913E-05
  9     33      192           -67812.81791      -61058.72544    0.189948E-03    0.989314E-06
  9     34       96           -67812.75800      -61058.66553    0.218403E-04    0.227503E-06
  9     35       96           -67812.77649      -61058.68403    0.343855E-04    0.358182E-06
  9     36      192           -67812.79496      -61058.70250    0.108193E-03    0.563508E-06
  9     37       96           -67812.78896      -61058.69650    0.466885E-04    0.486338E-06
  9     38      192           -67812.82654      -61058.73408    0.234786E-03    0.122284E-05
  9     39      192           -67812.80576      -61058.71329    0.141004E-03    0.734396E-06
  9     40       96           -67812.80616      -61058.71369    0.711920E-04    0.741584E-06
  9     41      192           -67812.82791      -61058.73544    0.242776E-03    0.126446E-05
  9     42       96           -67812.81007      -61058.71760    0.783577E-04    0.816226E-06
  9     43       96           -67812.84600      -61058.75354    0.189219E-03    0.197104E-05
  9     44       96           -67812.80759      -61058.71512    0.737322E-04    0.768044E-06
  9     45      192           -67812.78858      -61058.69612    0.925150E-04    0.481849E-06
  9     46      192           -67812.78535      -61058.69288    0.854562E-04    0.445084E-06
  9     47       96           -67812.80144      -61058.70897    0.634090E-04    0.660510E-06
  9     48      192           -67812.82713      -61058.73466    0.238169E-03    0.124046E-05
  9     49      192           -67812.79552      -61058.70305    0.109669E-03    0.571191E-06
  9     50      192           -67812.83546      -61058.74300    0.292223E-03    0.152199E-05
  9     51      192           -67812.81585      -61058.72338    0.180609E-03    0.940672E-06
  9     52      192           -67812.84622      -61058.75376    0.380487E-03    0.198170E-05
  9     53      192           -67812.85684      -61058.76437    0.493688E-03    0.257129E-05
  9     54       96           -67812.81905      -61058.72659    0.976823E-04    0.101752E-05
  9     55      192           -67812.82744      -61058.73497    0.239981E-03    0.124990E-05
  9     56      192           -67812.84162      -61058.74915    0.339840E-03    0.177000E-05
  9     57      192           -67812.85615      -61058.76369    0.485460E-03    0.252844E-05
  9     58       96           -67812.81278      -61058.72031    0.837466E-04    0.872360E-06
  9     59      192           -67812.86009      -61058.76762    0.534677E-03    0.278478E-05
  9     60      192           -67812.83829      -61058.74582    0.313179E-03    0.163114E-05
  9     61      192           -67812.84829      -61058.75583    0.400309E-03    0.208494E-05
  9     62      192           -67812.80518      -61058.71271    0.139005E-03    0.723984E-06
  9     63      192           -67812.85725      -61058.76478    0.498703E-03    0.259741E-05
  9     64       96           -67812.81455      -61058.72209    0.874720E-04    0.911166E-06
  9     65       96           -67812.79692      -61058.70445    0.567491E-04    0.591136E-06
  9     66      192           -67812.81048      -61058.71802    0.158331E-03    0.824639E-06
  9     67      192           -67812.83063      -61058.73816    0.259543E-03    0.135178E-05
  9     68      192           -67812.82720      -61058.73473    0.238590E-03    0.124265E-05
  9     69       48           -67812.87338      -61058.78092    0.185225E-03    0.385885E-05
  9     70       96           -67812.87207      -61058.77960    0.358645E-03    0.373589E-05
  9     71      192           -67812.88936      -61058.79689    0.109643E-02    0.571059E-05
  9     72       96           -67812.86915      -61058.77668    0.333900E-03    0.347813E-05
  9     73       48           -67812.77518      -61058.68271    0.166449E-04    0.346768E-06
  9     74       96           -67812.80572      -61058.71325    0.704329E-04    0.733676E-06
  9     75       96           -67812.84596      -61058.75349    0.189015E-03    0.196891E-05
  9     76      192           -67812.86070      -61058.76823    0.542712E-03    0.282663E-05
  9     77       96           -67812.85495      -61058.76248    0.235677E-03    0.245497E-05
  9     78       48           -67812.87663      -61058.78416    0.200559E-03    0.417832E-05
  9     79       96           -67812.89835      -61058.80589    0.683519E-03    0.711999E-05
  9     80       32           -67812.80120      -61058.70874    0.210138E-04    0.656681E-06
  9     81       96           -67812.89119      -61058.79872    0.573349E-03    0.597238E-05
  9     82       16           -67812.84558      -61058.75311    0.312118E-04    0.195073E-05
 10      1       96           -68563.19951      -61058.65232    0.157963E-04    0.164545E-06
 10      2      192           -68563.22623      -61058.67905    0.608593E-04    0.316976E-06
 10      3       96           -68563.19852      -61058.65134    0.154195E-04    0.160620E-06
 10      4       96           -68563.19838      -61058.65120    0.153663E-04    0.160065E-06
 10      5       48           -68563.21124      -61058.66406    0.105329E-04    0.219436E-06
 10      6       48           -68563.24170      -61058.69452    0.222387E-04    0.463306E-06
 10      7      192           -68563.19709      -61058.64990    0.297715E-04    0.155060E-06
 10      8       96           -68563.20784      -61058.66066    0.193800E-04    0.201875E-06
 10      9       96           -68563.21364      -61058.66646    0.223446E-04    0.232756E-06
 10     10      192           -68563.25766      -61058.71048    0.131596E-03    0.685396E-06
 10     11       96           -68563.19797      -61058.65078    0.152110E-04    0.158448E-06
 10     12      192           -68563.22825      -61058.68107    0.639529E-04    0.333088E-06
 10     13       96           -68563.24672      -61058.69953    0.502994E-04    0.523952E-06
 10     14      192           -68563.24614      -61058.69895    0.991848E-04    0.516587E-06
 10     15       96           -68563.22693      -61058.67975    0.309583E-04    0.322482E-06
 10     16      192           -68563.22335      -61058.67617    0.567089E-04    0.295359E-06
 10     17      192           -68563.25546      -61058.70828    0.124682E-03    0.649383E-06
 10     18      192           -68563.25561      -61058.70842    0.125114E-03    0.651633E-06
 10     19      192           -68563.25470      -61058.70752    0.122375E-03    0.637371E-06
 10     20      192           -68563.26407      -61058.71688    0.153981E-03    0.801983E-06
 10     21      192           -68563.27507      -61058.72789    0.201698E-03    0.105051E-05
