
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.44878013595155      eV
 Composition: x =   0.12500000000101358     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  3      7       32           -63310.36223      -61058.55566    0.176274E-01    0.550857E-03
  3      8       16           -63310.29084      -61058.48427    0.459765E-02    0.287353E-03
  4      1       12           -64060.69708      -61058.28831    0.577828E-03    0.481524E-04
  4      2      192           -64060.71656      -61058.30780    0.110423E-01    0.575120E-04
  4      3      192           -64060.71491      -61058.30614    0.108769E-01    0.566503E-04
  4      4       96           -64060.72606      -61058.31730    0.602065E-02    0.627152E-04
  4      5       24           -64060.72769      -61058.31892    0.152764E-02    0.636517E-04
  4      6       96           -64060.73540      -61058.32664    0.655590E-02    0.682906E-04
  4      7       48           -64060.73390      -61058.32514    0.323337E-02    0.673620E-04
  4      8       96           -64060.71444      -61058.30568    0.541552E-02    0.564117E-04
  4      9      192           -64060.73261      -61058.32385    0.127822E-01    0.665739E-04
  4     10       96           -64060.75440      -61058.34563    0.779509E-02    0.811989E-04
  4     11       96           -64060.75643      -61058.34766    0.794083E-02    0.827170E-04
  4     12       96           -64060.72217      -61058.31341    0.581090E-02    0.605302E-04
  4     13       96           -64060.69587      -61058.28711    0.457217E-02    0.476268E-04
  4     14       96           -64060.72462      -61058.31586    0.594219E-02    0.618978E-04
  4     15       96           -64060.73338      -61058.32461    0.643582E-02    0.670397E-04
  4     16      192           -64060.74358      -61058.33481    0.141259E-01    0.735722E-04
  4     17       48           -64060.73462      -61058.32585    0.325449E-02    0.678018E-04
  4     18       24           -64060.74005      -61058.33128    0.170985E-02    0.712437E-04
  4     19        8           -64060.70845      -61058.29968    0.427300E-03    0.534125E-04
  4     20        4           -64060.71469      -61058.30592    0.226149E-03    0.565373E-04
  4     21       12           -64060.72936      -61058.32059    0.775551E-03    0.646293E-04
  4     22        8           -64060.80941      -61058.40064    0.107256E-02    0.134070E-03
 ------------------------------
  n      Cumulative prob(n,T) 
     0            0.10891
     1            0.24381
     2            0.30378
     3            0.22538
     4            0.11812
 ------------------------------

 ____________________________________________________________________________________________
 Temperature: T =    1673.0000000000000      K
 Chemical potential: mu =   -750.66560063485827      eV
 Composition: x =   0.12499999996071508     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.106849E+00    0.106849E+00
  1      1       16           -61809.52206      -61058.85646    0.246585E+00    0.154116E-01
  2      1       48           -62559.91747      -61058.58627    0.113547E+00    0.236557E-02
  2      2       24           -62559.92649      -61058.59529    0.604379E-01    0.251824E-02
  2      3       48           -62559.93679      -61058.60558    0.129824E+00    0.270467E-02
  3      1       48           -63310.31227      -61058.31547    0.173538E-01    0.361537E-03
  3      2       32           -63310.31342      -61058.31662    0.116623E-01    0.364447E-03
  3      3       96           -63310.32148      -61058.32468    0.369974E-01    0.385389E-03
  3      4      192           -63310.33108      -61058.33428    0.790914E-01    0.411934E-03
  3      5       96           -63310.33003      -61058.33322    0.392574E-01    0.408931E-03
  3      6       48           -63310.32923      -61058.33243    0.195210E-01    0.406688E-03
  3      7       32           -63310.36223      -61058.36543    0.163613E-01    0.511291E-03
  3      8       16           -63310.29084      -61058.29404    0.498583E-02    0.311614E-03
  4      1       12           -64060.69708      -61058.03467    0.618688E-03    0.515574E-04
  4      2      192           -64060.71656      -61058.05416    0.113315E-01    0.590184E-04
  4      3      192           -64060.71491      -61058.05250    0.112021E-01    0.583444E-04
  4      4       96           -64060.72606      -61058.06366    0.605173E-02    0.630389E-04
  4      5       24           -64060.72769      -61058.06529    0.153009E-02    0.637539E-04
  4      6       96           -64060.73540      -61058.07300    0.645691E-02    0.672595E-04
  4      7       48           -64060.73390      -61058.07150    0.319500E-02    0.665624E-04
  4      8       96           -64060.71444      -61058.05204    0.558310E-02    0.581573E-04
  4      9      192           -64060.73261      -61058.07021    0.126660E-01    0.659690E-04
  4     10       96           -64060.75440      -61058.09199    0.736608E-02    0.767300E-04
  4     11       96           -64060.75643      -61058.09403    0.747064E-02    0.778192E-04
  4     12       96           -64060.72217      -61058.05977    0.589063E-02    0.613607E-04
  4     13       96           -64060.69587      -61058.03347    0.490834E-02    0.511286E-04
  4     14       96           -64060.72462      -61058.06222    0.599163E-02    0.624128E-04
  4     15       96           -64060.73338      -61058.07097    0.636672E-02    0.663200E-04
  4     16      192           -64060.74358      -61058.08117    0.136670E-01    0.711822E-04
  4     17       48           -64060.73462      -61058.07221    0.321086E-02    0.668929E-04
  4     18       24           -64060.74005      -61058.07765    0.166707E-02    0.694614E-04
  4     19        8           -64060.70845      -61058.04605    0.446314E-03    0.557893E-04
  4     20        4           -64060.71469      -61058.05228    0.233023E-03    0.582558E-04
  4     21       12           -64060.72936      -61058.06696    0.773971E-03    0.644976E-04
  4     22        8           -64060.80941      -61058.14700    0.899018E-03    0.112377E-03
 ------------------------------
  n      Cumulative prob(n,T) 
     0            0.10685
     1            0.24659
     2            0.30381
     3            0.22523
     4            0.11753
 ------------------------------

 ____________________________________________________________________________________________
 Ideal disorder limit
 Composition: x =   0.12500000000000006     
  n      m     omega(n,m)     E(n,m)                           prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561                    0.989512E-01    0.989512E-01
  1      1       16           -61809.52206                    0.255814E+00    0.159884E-01
  2      1       48           -62559.91747                    0.122337E+00    0.254869E-02
  2      2       24           -62559.92649                    0.611687E-01    0.254869E-02
  2      3       48           -62559.93679                    0.122337E+00    0.254869E-02
  3      1       48           -63310.31227                    0.192914E-01    0.401905E-03
  3      2       32           -63310.31342                    0.128610E-01    0.401905E-03
  3      3       96           -63310.32148                    0.385829E-01    0.401905E-03
  3      4      192           -63310.33108                    0.771658E-01    0.401905E-03
  3      5       96           -63310.33003                    0.385829E-01    0.401905E-03
  3      6       48           -63310.32923                    0.192914E-01    0.401905E-03
  3      7       32           -63310.36223                    0.128610E-01    0.401905E-03
  3      8       16           -63310.29084                    0.643048E-02    0.401905E-03
  4      1       12           -64060.69708                    0.753790E-03    0.628158E-04
  4      2      192           -64060.71656                    0.120606E-01    0.628158E-04
  4      3      192           -64060.71491                    0.120606E-01    0.628158E-04
  4      4       96           -64060.72606                    0.603032E-02    0.628158E-04
  4      5       24           -64060.72769                    0.150758E-02    0.628158E-04
  4      6       96           -64060.73540                    0.603032E-02    0.628158E-04
  4      7       48           -64060.73390                    0.301516E-02    0.628158E-04
  4      8       96           -64060.71444                    0.603032E-02    0.628158E-04
  4      9      192           -64060.73261                    0.120606E-01    0.628158E-04
  4     10       96           -64060.75440                    0.603032E-02    0.628158E-04
  4     11       96           -64060.75643                    0.603032E-02    0.628158E-04
  4     12       96           -64060.72217                    0.603032E-02    0.628158E-04
  4     13       96           -64060.69587                    0.603032E-02    0.628158E-04
  4     14       96           -64060.72462                    0.603032E-02    0.628158E-04
  4     15       96           -64060.73338                    0.603032E-02    0.628158E-04
  4     16      192           -64060.74358                    0.120606E-01    0.628158E-04
  4     17       48           -64060.73462                    0.301516E-02    0.628158E-04
  4     18       24           -64060.74005                    0.150758E-02    0.628158E-04
  4     19        8           -64060.70845                    0.502527E-03    0.628158E-04
  4     20        4           -64060.71469                    0.251263E-03    0.628158E-04
  4     21       12           -64060.72936                    0.753790E-03    0.628158E-04
  4     22        8           -64060.80941                    0.502527E-03    0.628158E-04
