        T             E               F          S             
     300.0     -62559.9336     -62560.0861  0.508309E-03
     873.0     -62559.9291     -62560.3818  0.518538E-03
    1273.0     -62559.9285     -62560.5893  0.519055E-03
    1673.0     -62559.9283     -62560.7970  0.519239E-03
  Infinite     -62559.9274         -        0.519481E-03
