        T             E               F          S             
     300.0     -62559.9298     -62560.0522  0.407922E-03
     873.0     -62559.9280     -62560.2877  0.411987E-03
    1273.0     -62559.9277     -62560.4525  0.412287E-03
    1673.0     -62559.9275     -62560.6175  0.412400E-03
  Infinite     -62559.9270         -        0.412554E-03
