        T             E               F          S             
     300.0     -68563.3002     -68563.5558  0.851884E-03
     873.0     -68563.2754     -68564.0648  0.904227E-03
    1273.0     -68563.2710     -68564.4274  0.908384E-03
    1673.0     -68563.2687     -68564.7910  0.909960E-03
  Infinite     -68563.2612         -        0.912146E-03
