
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.42156173906744      eV
 Composition: x =   0.62499999999814593     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.09994    0.102474E-03    0.102474E-03
  1      1       16           -61809.52206      -61059.07160    0.547919E-03    0.342449E-04
  2      1       48           -62559.91747      -61059.05152    0.755914E-03    0.157482E-04
  2      2       24           -62559.92649      -61059.06054    0.535699E-03    0.223208E-04
  2      3       48           -62559.93679      -61059.07083    0.159557E-02    0.332411E-04
  3      1       48           -63310.31227      -61059.03010    0.330133E-03    0.687777E-05
  3      2       32           -63310.31342      -61059.03126    0.230153E-03    0.719229E-05
  3      3       96           -63310.32148      -61059.03931    0.942880E-03    0.982167E-05
  3      4      192           -63310.33108      -61059.04892    0.273407E-02    0.142399E-04
  3      5       96           -63310.33003      -61059.04786    0.131237E-02    0.136705E-04
  3      6       48           -63310.32923      -61059.04707    0.636363E-03    0.132576E-04
  3      7       32           -63310.36223      -61059.08007    0.152045E-02    0.475140E-04
  3      8       16           -63310.29084      -61059.00868    0.480482E-04    0.300301E-05
  4      1       12           -64060.69708      -61058.99799    0.238297E-04    0.198581E-05
  4      2      192           -64060.71656      -61059.01747    0.810162E-03    0.421959E-05
  4      3      192           -64060.71491      -61059.01582    0.759893E-03    0.395777E-05
  4      4       96           -64060.72606      -61059.02697    0.584994E-03    0.609369E-05
  4      5       24           -64060.72769      -61059.02860    0.155742E-03    0.648927E-05
  4      6       96           -64060.73540      -61059.03632    0.839667E-03    0.874653E-05
  4      7       48           -64060.73390      -61059.03481    0.396136E-03    0.825284E-05
  4      8       96           -64060.71444      -61059.01535    0.373202E-03    0.388752E-05
  4      9      192           -64060.73261      -61059.03352    0.150736E-02    0.785083E-05
  4     10       96           -64060.75440      -61059.05531    0.175048E-02    0.182342E-04
  4     11       96           -64060.75643      -61059.05734    0.189363E-02    0.197253E-04
