 Configuration with minimum energy:           82
 Configuration with maximum energy:           53

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1       192  0.126190E+00      0.0035      0.0000
         2        48  0.922770E-01      0.0033      0.0001
         3        96  0.121065E+00      0.0022      0.0000
         4        96  0.155099E+00      0.0006      0.0000
         5        48  0.159765E+00      0.0002      0.0000
         6        96  0.138779E+00      0.0011      0.0000
         7        96  0.106118E+00      0.0038      0.0000
         8       192  0.127468E+00      0.0034      0.0000
         9       192  0.109180E+00      0.0068      0.0000
        10       192  0.961610E-01      0.0113      0.0001
        11       192  0.824290E-01      0.0192      0.0001
        12       192  0.101496E+00      0.0092      0.0000
        13       192  0.917300E-01      0.0134      0.0001
        14       192  0.116155E+00      0.0052      0.0000
        15       192  0.121911E+00      0.0042      0.0000
        16       192  0.956900E-01      0.0115      0.0001
        17       192  0.912920E-01      0.0136      0.0001
        18       192  0.913950E-01      0.0136      0.0001
        19        96  0.851570E-01      0.0086      0.0001
        20        96  0.984460E-01      0.0052      0.0001
        21       192  0.137701E+00      0.0023      0.0000
        22       192  0.118752E+00      0.0047      0.0000
        23        96  0.157620E+00      0.0005      0.0000
        24        96  0.146379E+00      0.0008      0.0000
        25       192  0.136935E+00      0.0023      0.0000
        26       192  0.121064E+00      0.0043      0.0000
        27       192  0.113960E+00      0.0057      0.0000
        28       192  0.122008E+00      0.0042      0.0000
        29        96  0.106937E+00      0.0037      0.0000
        30       192  0.145661E+00      0.0017      0.0000
        31        96  0.144624E+00      0.0009      0.0000
        32       192  0.128507E+00      0.0032      0.0000
        33       192  0.115360E+00      0.0054      0.0000
        34       192  0.138291E+00      0.0022      0.0000
        35       192  0.124860E+00      0.0037      0.0000
        36       192  0.108384E+00      0.0070      0.0000
        37       192  0.130188E+00      0.0030      0.0000
        38        96  0.121257E+00      0.0021      0.0000
        39       192  0.100861E+00      0.0094      0.0000
        40        96  0.137945E+00      0.0011      0.0000
        41       192  0.101536E+00      0.0092      0.0000
        42        96  0.102955E+00      0.0043      0.0000
        43        96  0.104044E+00      0.0042      0.0000
        44        96  0.792690E-01      0.0109      0.0001
        45        96  0.102290E+00      0.0045      0.0000
        46       192  0.935600E-01      0.0125      0.0001
        47       192  0.109509E+00      0.0067      0.0000
        48       192  0.788530E-01      0.0221      0.0001
        49       192  0.730000E-01      0.0277      0.0001
        50       192  0.922970E-01      0.0131      0.0001
        51        48  0.906280E-01      0.0035      0.0001
        52        96  0.103567E+00      0.0042      0.0000
        53        48  0.160354E+00      0.0002      0.0000
        54        96  0.136382E+00      0.0012      0.0000
        55       192  0.132060E+00      0.0028      0.0000
        56       192  0.127334E+00      0.0034      0.0000
        57        32  0.140170E+00      0.0003      0.0000
        58        96  0.117039E+00      0.0025      0.0000
        59        96  0.117579E+00      0.0025      0.0000
        60       192  0.106697E+00      0.0075      0.0000
        61        96  0.107996E+00      0.0036      0.0000
        62        16  0.138538E+00      0.0002      0.0000
        63        96  0.770730E-01      0.0118      0.0001
        64       192  0.465440E-01      0.0770      0.0004
        65       192  0.687520E-01      0.0326      0.0002
        66       192  0.493650E-01      0.0690      0.0004
        67       192  0.606230E-01      0.0447      0.0002
        68        64  0.743950E-01      0.0087      0.0001
        69        96  0.446280E-01      0.0415      0.0004
        70       192  0.585520E-01      0.0484      0.0003
        71       192  0.476710E-01      0.0737      0.0004
        72        96  0.822170E-01      0.0097      0.0001
        73       192  0.498970E-01      0.0676      0.0004
        74        96  0.866720E-01      0.0082      0.0001
        75        96  0.344860E-01      0.0614      0.0006
        76       192  0.816420E-01      0.0198      0.0001
        77        96  0.715230E-01      0.0147      0.0002
        78        96  0.118694E+00      0.0024      0.0000
        79        96  0.918770E-01      0.0067      0.0001
        80        48  0.962130E-01      0.0028      0.0001
        81        32  0.699580E-01      0.0052      0.0002
        82        16  0.000000E+00      0.0388      0.0024


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1       192  0.126190E+00      0.0115      0.0001
         2        48  0.922770E-01      0.0045      0.0001
         3        96  0.121065E+00      0.0061      0.0001
         4        96  0.155099E+00      0.0039      0.0000
         5        48  0.159765E+00      0.0018      0.0000
         6        96  0.138779E+00      0.0048      0.0001
         7        96  0.106118E+00      0.0075      0.0001
         8       192  0.127468E+00      0.0113      0.0001
         9       192  0.109180E+00      0.0144      0.0001
        10       192  0.961610E-01      0.0171      0.0001
        11       192  0.824290E-01      0.0205      0.0001
        12       192  0.101496E+00      0.0159      0.0001
        13       192  0.917300E-01      0.0181      0.0001
        14       192  0.116155E+00      0.0131      0.0001
        15       192  0.121911E+00      0.0121      0.0001
        16       192  0.956900E-01      0.0172      0.0001
        17       192  0.912920E-01      0.0182      0.0001
        18       192  0.913950E-01      0.0182      0.0001
        19        96  0.851570E-01      0.0099      0.0001
        20        96  0.984460E-01      0.0083      0.0001
        21       192  0.137701E+00      0.0098      0.0001
        22       192  0.118752E+00      0.0126      0.0001
        23        96  0.157620E+00      0.0038      0.0000
        24        96  0.146379E+00      0.0044      0.0000
        25       192  0.136935E+00      0.0099      0.0001
        26       192  0.121064E+00      0.0123      0.0001
        27       192  0.113960E+00      0.0135      0.0001
        28       192  0.122008E+00      0.0121      0.0001
        29        96  0.106937E+00      0.0074      0.0001
        30       192  0.145661E+00      0.0088      0.0000
        31        96  0.144624E+00      0.0045      0.0000
        32       192  0.128507E+00      0.0111      0.0001
        33       192  0.115360E+00      0.0132      0.0001
        34       192  0.138291E+00      0.0098      0.0001
        35       192  0.124860E+00      0.0117      0.0001
        36       192  0.108384E+00      0.0145      0.0001
        37       192  0.130188E+00      0.0109      0.0001
        38        96  0.121257E+00      0.0061      0.0001
        39       192  0.100861E+00      0.0160      0.0001
        40        96  0.137945E+00      0.0049      0.0001
        41       192  0.101536E+00      0.0159      0.0001
