        T             E               F          S             
     300.0     -67062.4252     -67062.6524  0.757241E-03
     873.0     -67062.4021     -67063.1077  0.808217E-03
    1273.0     -67062.3982     -67063.4319  0.812064E-03
    1673.0     -67062.3961     -67063.7571  0.813493E-03
  Infinite     -67062.3897         -        0.815429E-03
