 Configuration with minimum energy:           97
 Configuration with maximum energy:           13

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.107120E+00      0.0009      0.0000
         2        96  0.139255E+00      0.0005      0.0000
         3       192  0.920560E-01      0.0066      0.0000
         4       192  0.109851E+00      0.0033      0.0000
         5       192  0.799390E-01      0.0105      0.0001
         6       192  0.863590E-01      0.0082      0.0000
         7        96  0.119039E+00      0.0012      0.0000
         8       192  0.140927E+00      0.0010      0.0000
         9       192  0.121893E+00      0.0021      0.0000
        10        96  0.109301E+00      0.0017      0.0000
        11       192  0.102684E+00      0.0044      0.0000
        12       192  0.104604E+00      0.0040      0.0000
        13        48  0.157718E+00      0.0001      0.0000
        14       192  0.128936E+00      0.0016      0.0000
        15       192  0.138477E+00      0.0011      0.0000
        16       192  0.122329E+00      0.0020      0.0000
        17       192  0.108909E+00      0.0034      0.0000
        18       192  0.109498E+00      0.0033      0.0000
        19        96  0.109425E+00      0.0017      0.0000
        20        96  0.983280E-01      0.0026      0.0000
        21        96  0.124324E+00      0.0009      0.0000
        22       192  0.110062E+00      0.0033      0.0000
        23       192  0.885180E-01      0.0075      0.0000
        24        96  0.101010E+00      0.0023      0.0000
        25        48  0.719140E-01      0.0036      0.0001
        26        96  0.902700E-01      0.0035      0.0000
        27        12  0.144746E+00      0.0001      0.0000
        28        96  0.111966E+00      0.0015      0.0000
        29        96  0.113042E+00      0.0015      0.0000
        30        96  0.959610E-01      0.0028      0.0000
        31       192  0.102607E+00      0.0044      0.0000
        32       192  0.697990E-01      0.0156      0.0001
        33       192  0.879170E-01      0.0077      0.0000
        34       192  0.837880E-01      0.0091      0.0000
        35       192  0.797280E-01      0.0106      0.0001
        36        48  0.920920E-01      0.0016      0.0000
        37        48  0.685540E-01      0.0041      0.0001
        38       192  0.141763E+00      0.0010      0.0000
        39       192  0.129952E+00      0.0015      0.0000
        40       192  0.120423E+00      0.0022      0.0000
        41        24  0.150309E+00      0.0001      0.0000
        42       192  0.121284E+00      0.0021      0.0000
        43        96  0.111651E+00      0.0015      0.0000
        44        96  0.992650E-01      0.0025      0.0000
        45        48  0.120673E+00      0.0005      0.0000
        46        96  0.112501E+00      0.0015      0.0000
        47       192  0.104507E+00      0.0041      0.0000
        48       192  0.922840E-01      0.0065      0.0000
        49       192  0.110255E+00      0.0033      0.0000
        50        48  0.114302E+00      0.0007      0.0000
        51        96  0.120100E+00      0.0011      0.0000
        52       192  0.611610E-01      0.0217      0.0001
        53       192  0.809470E-01      0.0101      0.0001
        54       192  0.496110E-01      0.0340      0.0002
        55        48  0.723830E-01      0.0035      0.0001
        56       192  0.587300E-01      0.0239      0.0001
        57       192  0.595460E-01      0.0231      0.0001
        58        96  0.496370E-01      0.0170      0.0002
        59       192  0.549320E-01      0.0276      0.0001
        60       192  0.408320E-01      0.0477      0.0002
        61       192  0.771470E-01      0.0117      0.0001
        62       192  0.461630E-01      0.0388      0.0002
        63       192  0.371530E-01      0.0550      0.0003
        64       192  0.815380E-01      0.0099      0.0001
        65        96  0.711210E-01      0.0074      0.0001
        66       192  0.573260E-01      0.0252      0.0001
        67       192  0.774050E-01      0.0116      0.0001
        68        96  0.121599E+00      0.0010      0.0000
        69        96  0.122569E+00      0.0010      0.0000
        70       192  0.102180E+00      0.0044      0.0000
        71        96  0.106908E+00      0.0019      0.0000
        72        96  0.798530E-01      0.0053      0.0001
        73       192  0.719490E-01      0.0143      0.0001
        74        96  0.674650E-01      0.0085      0.0001
        75        96  0.498940E-01      0.0168      0.0002
        76        24  0.729090E-01      0.0017      0.0001
        77        96  0.112324E+00      0.0015      0.0000
        78        96  0.113742E+00      0.0014      0.0000
        79        48  0.114196E+00      0.0007      0.0000
