 Configuration with minimum energy:           97
 Configuration with maximum energy:           13

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        80       192  0.871050E-01      0.0080      0.0000
        81       192  0.103309E+00      0.0043      0.0000
        82        96  0.661720E-01      0.0089      0.0001
        83        96  0.816940E-01      0.0049      0.0001
        84       192  0.533110E-01      0.0294      0.0002
        85       192  0.368910E-01      0.0555      0.0003
        86       192  0.599780E-01      0.0227      0.0001
        87        96  0.544270E-01      0.0141      0.0001
        88        96  0.655010E-01      0.0092      0.0001
        89       192  0.380050E-01      0.0532      0.0003
        90        48  0.641080E-01      0.0048      0.0001
        91        96  0.376470E-01      0.0270      0.0003
        92        48  0.648600E-02      0.0450      0.0009
        93        96  0.902100E-02      0.0816      0.0009
        94         6  0.133161E+00      0.0000      0.0000
        95        24  0.746950E-01      0.0016      0.0001
        96        48  0.279230E-01      0.0196      0.0004
        97        12  0.000000E+00      0.0145      0.0012


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.107120E+00      0.0027      0.0001
         2        96  0.139255E+00      0.0035      0.0000
         3       192  0.920560E-01      0.0132      0.0001
         4       192  0.109851E+00      0.0104      0.0001
         5       192  0.799390E-01      0.0155      0.0001
         6       192  0.863590E-01      0.0142      0.0001
         7        96  0.119039E+00      0.0046      0.0000
         8       192  0.140927E+00      0.0069      0.0000
         9       192  0.121893E+00      0.0089      0.0000
        10        96  0.109301E+00      0.0052      0.0001
        11       192  0.102684E+00      0.0114      0.0001
        12       192  0.104604E+00      0.0112      0.0001
        13        48  0.157718E+00      0.0014      0.0000
        14       192  0.128936E+00      0.0081      0.0000
        15       192  0.138477E+00      0.0071      0.0000
        16       192  0.122329E+00      0.0088      0.0000
        17       192  0.108909E+00      0.0105      0.0001
        18       192  0.109498E+00      0.0105      0.0001
        19        96  0.109425E+00      0.0052      0.0001
        20        96  0.983280E-01      0.0061      0.0001
        21        96  0.124324E+00      0.0043      0.0000
        22       192  0.110062E+00      0.0104      0.0001
        23       192  0.885180E-01      0.0138      0.0001
        24        96  0.101010E+00      0.0059      0.0001
        25        48  0.719140E-01      0.0043      0.0001
        26        96  0.902700E-01      0.0067      0.0001
        27        12  0.144746E+00      0.0004      0.0000
        28        96  0.111966E+00      0.0051      0.0001
        29        96  0.113042E+00      0.0050      0.0001
        30        96  0.959610E-01      0.0063      0.0001
        31       192  0.102607E+00      0.0115      0.0001
        32       192  0.697990E-01      0.0177      0.0001
        33       192  0.879170E-01      0.0139      0.0001
        34       192  0.837880E-01      0.0147      0.0001
        35       192  0.797280E-01      0.0155      0.0001
        36        48  0.920920E-01      0.0033      0.0001
        37        48  0.685540E-01      0.0045      0.0001
        38       192  0.141763E+00      0.0068      0.0000
        39       192  0.129952E+00      0.0080      0.0000
        40       192  0.120423E+00      0.0090      0.0000
        41        24  0.150309E+00      0.0008      0.0000
        42       192  0.121284E+00      0.0089      0.0000
        43        96  0.111651E+00      0.0051      0.0001
        44        96  0.992650E-01      0.0060      0.0001
        45        48  0.120673E+00      0.0023      0.0000
        46        96  0.112501E+00      0.0050      0.0001
        47       192  0.104507E+00      0.0112      0.0001
        48       192  0.922840E-01      0.0131      0.0001
        49       192  0.110255E+00      0.0104      0.0001
        50        48  0.114302E+00      0.0025      0.0001
        51        96  0.120100E+00      0.0045      0.0000
        52       192  0.611610E-01      0.0199      0.0001
        53       192  0.809470E-01      0.0153      0.0001
        54       192  0.496110E-01      0.0232      0.0001
        55        48  0.723830E-01      0.0043      0.0001
        56       192  0.587300E-01      0.0205      0.0001
        57       192  0.595460E-01      0.0203      0.0001
        58        96  0.496370E-01      0.0116      0.0001
        59       192  0.549320E-01      0.0216      0.0001
        60       192  0.408320E-01      0.0260      0.0001
        61       192  0.771470E-01      0.0161      0.0001
        62       192  0.461630E-01      0.0243      0.0001
        63       192  0.371530E-01      0.0274      0.0001
        64       192  0.815380E-01      0.0152      0.0001
        65        96  0.711210E-01      0.0087      0.0001
        66       192  0.573260E-01      0.0209      0.0001
        67       192  0.774050E-01      0.0160      0.0001
        68        96  0.121599E+00      0.0045      0.0000
        69        96  0.122569E+00      0.0044      0.0000
        70       192  0.102180E+00      0.0115      0.0001
        71        96  0.106908E+00      0.0054      0.0001
        72        96  0.798530E-01      0.0078      0.0001
        73       192  0.719490E-01      0.0172      0.0001
        74        96  0.674650E-01      0.0091      0.0001
        75        96  0.498940E-01      0.0115      0.0001
        76        24  0.729090E-01      0.0021      0.0001
        77        96  0.112324E+00      0.0050      0.0001
        78        96  0.113742E+00      0.0049      0.0001
        79        48  0.114196E+00      0.0025      0.0001
        80       192  0.871050E-01      0.0141      0.0001
        81       192  0.103309E+00      0.0114      0.0001
        82        96  0.661720E-01      0.0093      0.0001
        83        96  0.816940E-01      0.0076      0.0001
        84       192  0.533110E-01      0.0221      0.0001
        85       192  0.368910E-01      0.0274      0.0001
        86       192  0.599780E-01      0.0202      0.0001
        87        96  0.544270E-01      0.0109      0.0001
        88        96  0.655010E-01      0.0094      0.0001
        89       192  0.380050E-01      0.0270      0.0001
        90        48  0.641080E-01      0.0048      0.0001
        91        96  0.376470E-01      0.0136      0.0001
        92        48  0.648600E-02      0.0103      0.0002
        93        96  0.902100E-02      0.0199      0.0002
        94         6  0.133161E+00      0.0002      0.0000
        95        24  0.746950E-01      0.0021      0.0001
        96        48  0.279230E-01      0.0077      0.0002
        97        12  0.000000E+00      0.0028      0.0002


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.107120E+00      0.0030      0.0001
         2        96  0.139255E+00      0.0045      0.0000
         3       192  0.920560E-01      0.0140      0.0001
         4       192  0.109851E+00      0.0119      0.0001
         5       192  0.799390E-01      0.0156      0.0001
         6       192  0.863590E-01      0.0147      0.0001
         7        96  0.119039E+00      0.0055      0.0001
         8       192  0.140927E+00      0.0089      0.0000
         9       192  0.121893E+00      0.0106      0.0001
        10        96  0.109301E+00      0.0060      0.0001
        11       192  0.102684E+00      0.0127      0.0001
        12       192  0.104604E+00      0.0124      0.0001
        13        48  0.157718E+00      0.0019      0.0000
        14       192  0.128936E+00      0.0100      0.0001
        15       192  0.138477E+00      0.0091      0.0000
        16       192  0.122329E+00      0.0106      0.0001
        17       192  0.108909E+00      0.0120      0.0001
        18       192  0.109498E+00      0.0119      0.0001
        19        96  0.109425E+00      0.0060      0.0001
        20        96  0.983280E-01      0.0066      0.0001
        21        96  0.124324E+00      0.0052      0.0001
        22       192  0.110062E+00      0.0118      0.0001
        23       192  0.885180E-01      0.0144      0.0001
        24        96  0.101010E+00      0.0064      0.0001
        25        48  0.719140E-01      0.0042      0.0001
        26        96  0.902700E-01      0.0071      0.0001
        27        12  0.144746E+00      0.0005      0.0000
        28        96  0.111966E+00      0.0058      0.0001
        29        96  0.113042E+00      0.0058      0.0001
        30        96  0.959610E-01      0.0067      0.0001
        31       192  0.102607E+00      0.0127      0.0001
        32       192  0.697990E-01      0.0171      0.0001
        33       192  0.879170E-01      0.0145      0.0001
        34       192  0.837880E-01      0.0150      0.0001
        35       192  0.797280E-01      0.0156      0.0001
        36        48  0.920920E-01      0.0035      0.0001
        37        48  0.685540E-01      0.0043      0.0001
        38       192  0.141763E+00      0.0089      0.0000
        39       192  0.129952E+00      0.0099      0.0001
        40       192  0.120423E+00      0.0108      0.0001
        41        24  0.150309E+00      0.0010      0.0000
        42       192  0.121284E+00      0.0107      0.0001
        43        96  0.111651E+00      0.0058      0.0001
        44        96  0.992650E-01      0.0065      0.0001
        45        48  0.120673E+00      0.0027      0.0001
        46        96  0.112501E+00      0.0058      0.0001
        47       192  0.104507E+00      0.0125      0.0001
        48       192  0.922840E-01      0.0139      0.0001
        49       192  0.110255E+00      0.0118      0.0001
        50        48  0.114302E+00      0.0028      0.0001
        51        96  0.120100E+00      0.0054      0.0001
        52       192  0.611610E-01      0.0185      0.0001
        53       192  0.809470E-01      0.0154      0.0001
        54       192  0.496110E-01      0.0205      0.0001
        55        48  0.723830E-01      0.0042      0.0001
        56       192  0.587300E-01      0.0189      0.0001
        57       192  0.595460E-01      0.0188      0.0001
        58        96  0.496370E-01      0.0103      0.0001
        59       192  0.549320E-01      0.0196      0.0001
        60       192  0.408320E-01      0.0223      0.0001
        61       192  0.771470E-01      0.0160      0.0001
        62       192  0.461630E-01      0.0212      0.0001
        63       192  0.371530E-01      0.0230      0.0001
        64       192  0.815380E-01      0.0154      0.0001
        65        96  0.711210E-01      0.0084      0.0001
        66       192  0.573260E-01      0.0192      0.0001
        67       192  0.774050E-01      0.0159      0.0001
        68        96  0.121599E+00      0.0053      0.0001
        69        96  0.122569E+00      0.0053      0.0001
        70       192  0.102180E+00      0.0127      0.0001
        71        96  0.106908E+00      0.0061      0.0001
        72        96  0.798530E-01      0.0078      0.0001
        73       192  0.719490E-01      0.0168      0.0001
        74        96  0.674650E-01      0.0087      0.0001
        75        96  0.498940E-01      0.0102      0.0001
        76        24  0.729090E-01      0.0021      0.0001
        77        96  0.112324E+00      0.0058      0.0001
        78        96  0.113742E+00      0.0057      0.0001
        79        48  0.114196E+00      0.0029      0.0001
        80       192  0.871050E-01      0.0146      0.0001
        81       192  0.103309E+00      0.0126      0.0001
        82        96  0.661720E-01      0.0088      0.0001
        83        96  0.816940E-01      0.0077      0.0001
        84       192  0.533110E-01      0.0199      0.0001
        85       192  0.368910E-01      0.0231      0.0001
        86       192  0.599780E-01      0.0187      0.0001
        87        96  0.544270E-01      0.0098      0.0001
        88        96  0.655010E-01      0.0089      0.0001
        89       192  0.380050E-01      0.0228      0.0001
        90        48  0.641080E-01      0.0045      0.0001
        91        96  0.376470E-01      0.0115      0.0001
        92        48  0.648600E-02      0.0076      0.0002
        93        96  0.902100E-02      0.0149      0.0002
        94         6  0.133161E+00      0.0003      0.0000
        95        24  0.746950E-01      0.0020      0.0001
        96        48  0.279230E-01      0.0063      0.0001
        97        12  0.000000E+00      0.0020      0.0002


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.107120E+00      0.0032      0.0001
         2        96  0.139255E+00      0.0051      0.0001
         3       192  0.920560E-01      0.0143      0.0001
         4       192  0.109851E+00      0.0126      0.0001
         5       192  0.799390E-01      0.0155      0.0001
         6       192  0.863590E-01      0.0149      0.0001
         7        96  0.119039E+00      0.0059      0.0001
         8       192  0.140927E+00      0.0102      0.0001
         9       192  0.121893E+00      0.0116      0.0001
        10        96  0.109301E+00      0.0063      0.0001
        11       192  0.102684E+00      0.0133      0.0001
        12       192  0.104604E+00      0.0131      0.0001
        13        48  0.157718E+00      0.0023      0.0000
        14       192  0.128936E+00      0.0111      0.0001
        15       192  0.138477E+00      0.0103      0.0001
        16       192  0.122329E+00      0.0116      0.0001
        17       192  0.108909E+00      0.0127      0.0001
        18       192  0.109498E+00      0.0127      0.0001
        19        96  0.109425E+00      0.0063      0.0001
        20        96  0.983280E-01      0.0068      0.0001
        21        96  0.124324E+00      0.0057      0.0001
        22       192  0.110062E+00      0.0126      0.0001
        23       192  0.885180E-01      0.0146      0.0001
        24        96  0.101010E+00      0.0067      0.0001
        25        48  0.719140E-01      0.0041      0.0001
        26        96  0.902700E-01      0.0072      0.0001
        27        12  0.144746E+00      0.0006      0.0001
        28        96  0.111966E+00      0.0062      0.0001
        29        96  0.113042E+00      0.0062      0.0001
        30        96  0.959610E-01      0.0069      0.0001
        31       192  0.102607E+00      0.0133      0.0001
        32       192  0.697990E-01      0.0167      0.0001
        33       192  0.879170E-01      0.0147      0.0001
        34       192  0.837880E-01      0.0151      0.0001
        35       192  0.797280E-01      0.0156      0.0001
        36        48  0.920920E-01      0.0036      0.0001
        37        48  0.685540E-01      0.0042      0.0001
        38       192  0.141763E+00      0.0101      0.0001
        39       192  0.129952E+00      0.0110      0.0001
        40       192  0.120423E+00      0.0117      0.0001
        41        24  0.150309E+00      0.0012      0.0000
        42       192  0.121284E+00      0.0117      0.0001
        43        96  0.111651E+00      0.0062      0.0001
        44        96  0.992650E-01      0.0068      0.0001
        45        48  0.120673E+00      0.0029      0.0001
        46        96  0.112501E+00      0.0062      0.0001
        47       192  0.104507E+00      0.0131      0.0001
        48       192  0.922840E-01      0.0143      0.0001
        49       192  0.110255E+00      0.0126      0.0001
        50        48  0.114302E+00      0.0031      0.0001
        51        96  0.120100E+00      0.0059      0.0001
        52       192  0.611610E-01      0.0177      0.0001
        53       192  0.809470E-01      0.0154      0.0001
        54       192  0.496110E-01      0.0192      0.0001
        55        48  0.723830E-01      0.0041      0.0001
        56       192  0.587300E-01      0.0180      0.0001
        57       192  0.595460E-01      0.0179      0.0001
        58        96  0.496370E-01      0.0096      0.0001
        59       192  0.549320E-01      0.0185      0.0001
        60       192  0.408320E-01      0.0204      0.0001
        61       192  0.771470E-01      0.0158      0.0001
        62       192  0.461630E-01      0.0196      0.0001
        63       192  0.371530E-01      0.0209      0.0001
        64       192  0.815380E-01      0.0154      0.0001
        65        96  0.711210E-01      0.0083      0.0001
        66       192  0.573260E-01      0.0182      0.0001
        67       192  0.774050E-01      0.0158      0.0001
        68        96  0.121599E+00      0.0058      0.0001
        69        96  0.122569E+00      0.0058      0.0001
        70       192  0.102180E+00      0.0133      0.0001
        71        96  0.106908E+00      0.0064      0.0001
        72        96  0.798530E-01      0.0078      0.0001
        73       192  0.719490E-01      0.0164      0.0001
        74        96  0.674650E-01      0.0085      0.0001
        75        96  0.498940E-01      0.0096      0.0001
        76        24  0.729090E-01      0.0020      0.0001
        77        96  0.112324E+00      0.0062      0.0001
        78        96  0.113742E+00      0.0061      0.0001
        79        48  0.114196E+00      0.0031      0.0001
        80       192  0.871050E-01      0.0148      0.0001
        81       192  0.103309E+00      0.0132      0.0001
        82        96  0.661720E-01      0.0085      0.0001
        83        96  0.816940E-01      0.0077      0.0001
        84       192  0.533110E-01      0.0187      0.0001
        85       192  0.368910E-01      0.0209      0.0001
        86       192  0.599780E-01      0.0178      0.0001
        87        96  0.544270E-01      0.0093      0.0001
        88        96  0.655010E-01      0.0086      0.0001
        89       192  0.380050E-01      0.0208      0.0001
        90        48  0.641080E-01      0.0043      0.0001
        91        96  0.376470E-01      0.0104      0.0001
        92        48  0.648600E-02      0.0065      0.0001
        93        96  0.902100E-02      0.0127      0.0001
        94         6  0.133161E+00      0.0003      0.0001
        95        24  0.746950E-01      0.0020      0.0001
        96        48  0.279230E-01      0.0056      0.0001
        97        12  0.000000E+00      0.0017      0.0001


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.107120E+00      0.0037      0.0001
         2        96  0.139255E+00      0.0075      0.0001
         3       192  0.920560E-01      0.0149      0.0001
         4       192  0.109851E+00      0.0149      0.0001
         5       192  0.799390E-01      0.0149      0.0001
         6       192  0.863590E-01      0.0149      0.0001
         7        96  0.119039E+00      0.0075      0.0001
         8       192  0.140927E+00      0.0149      0.0001
         9       192  0.121893E+00      0.0149      0.0001
        10        96  0.109301E+00      0.0075      0.0001
        11       192  0.102684E+00      0.0149      0.0001
        12       192  0.104604E+00      0.0149      0.0001
        13        48  0.157718E+00      0.0037      0.0001
        14       192  0.128936E+00      0.0149      0.0001
        15       192  0.138477E+00      0.0149      0.0001
        16       192  0.122329E+00      0.0149      0.0001
        17       192  0.108909E+00      0.0149      0.0001
        18       192  0.109498E+00      0.0149      0.0001
        19        96  0.109425E+00      0.0075      0.0001
        20        96  0.983280E-01      0.0075      0.0001
        21        96  0.124324E+00      0.0075      0.0001
        22       192  0.110062E+00      0.0149      0.0001
        23       192  0.885180E-01      0.0149      0.0001
        24        96  0.101010E+00      0.0075      0.0001
        25        48  0.719140E-01      0.0037      0.0001
        26        96  0.902700E-01      0.0075      0.0001
        27        12  0.144746E+00      0.0009      0.0001
        28        96  0.111966E+00      0.0075      0.0001
        29        96  0.113042E+00      0.0075      0.0001
        30        96  0.959610E-01      0.0075      0.0001
        31       192  0.102607E+00      0.0149      0.0001
        32       192  0.697990E-01      0.0149      0.0001
        33       192  0.879170E-01      0.0149      0.0001
        34       192  0.837880E-01      0.0149      0.0001
        35       192  0.797280E-01      0.0149      0.0001
        36        48  0.920920E-01      0.0037      0.0001
        37        48  0.685540E-01      0.0037      0.0001
        38       192  0.141763E+00      0.0149      0.0001
        39       192  0.129952E+00      0.0149      0.0001
        40       192  0.120423E+00      0.0149      0.0001
        41        24  0.150309E+00      0.0019      0.0001
        42       192  0.121284E+00      0.0149      0.0001
        43        96  0.111651E+00      0.0075      0.0001
        44        96  0.992650E-01      0.0075      0.0001
        45        48  0.120673E+00      0.0037      0.0001
        46        96  0.112501E+00      0.0075      0.0001
        47       192  0.104507E+00      0.0149      0.0001
        48       192  0.922840E-01      0.0149      0.0001
        49       192  0.110255E+00      0.0149      0.0001
        50        48  0.114302E+00      0.0037      0.0001
        51        96  0.120100E+00      0.0075      0.0001
        52       192  0.611610E-01      0.0149      0.0001
        53       192  0.809470E-01      0.0149      0.0001
        54       192  0.496110E-01      0.0149      0.0001
        55        48  0.723830E-01      0.0037      0.0001
        56       192  0.587300E-01      0.0149      0.0001
        57       192  0.595460E-01      0.0149      0.0001
        58        96  0.496370E-01      0.0075      0.0001
        59       192  0.549320E-01      0.0149      0.0001
        60       192  0.408320E-01      0.0149      0.0001
        61       192  0.771470E-01      0.0149      0.0001
        62       192  0.461630E-01      0.0149      0.0001
        63       192  0.371530E-01      0.0149      0.0001
        64       192  0.815380E-01      0.0149      0.0001
        65        96  0.711210E-01      0.0075      0.0001
        66       192  0.573260E-01      0.0149      0.0001
        67       192  0.774050E-01      0.0149      0.0001
        68        96  0.121599E+00      0.0075      0.0001
        69        96  0.122569E+00      0.0075      0.0001
        70       192  0.102180E+00      0.0149      0.0001
        71        96  0.106908E+00      0.0075      0.0001
        72        96  0.798530E-01      0.0075      0.0001
        73       192  0.719490E-01      0.0149      0.0001
        74        96  0.674650E-01      0.0075      0.0001
        75        96  0.498940E-01      0.0075      0.0001
        76        24  0.729090E-01      0.0019      0.0001
        77        96  0.112324E+00      0.0075      0.0001
        78        96  0.113742E+00      0.0075      0.0001
        79        48  0.114196E+00      0.0037      0.0001
        80       192  0.871050E-01      0.0149      0.0001
        81       192  0.103309E+00      0.0149      0.0001
        82        96  0.661720E-01      0.0075      0.0001
        83        96  0.816940E-01      0.0075      0.0001
        84       192  0.533110E-01      0.0149      0.0001
        85       192  0.368910E-01      0.0149      0.0001
        86       192  0.599780E-01      0.0149      0.0001
        87        96  0.544270E-01      0.0075      0.0001
        88        96  0.655010E-01      0.0075      0.0001
        89       192  0.380050E-01      0.0149      0.0001
        90        48  0.641080E-01      0.0037      0.0001
        91        96  0.376470E-01      0.0075      0.0001
        92        48  0.648600E-02      0.0037      0.0001
        93        96  0.902100E-02      0.0075      0.0001
        94         6  0.133161E+00      0.0005      0.0001
        95        24  0.746950E-01      0.0019      0.0001
        96        48  0.279230E-01      0.0037      0.0001
        97        12  0.000000E+00      0.0009      0.0001
