Structure,Energy,Nucleus,delta_iso
01,-65561.520209,Sn01,-659.4418936898992
01,-65561.520209,Sn02,-659.4416106722306
01,-65561.520209,Sn03,-654.6773899920245
01,-65561.520209,Sn04,-654.8097568815692
01,-65561.520209,Sn05,-654.8100369385838
01,-65561.520209,Sn06,-654.6773195317483
02,-65561.516634,Sn01,-660.4274128057582
02,-65561.516634,Sn02,-660.4274596232567
02,-65561.516634,Sn03,-662.6564389566934
02,-65561.516634,Sn04,-655.2614436072981
02,-65561.516634,Sn05,-655.2615082162829
02,-65561.516634,Sn06,-648.3094611007855
03,-65561.537246,Sn01,-657.6926716356811
03,-65561.537246,Sn02,-657.6927280836917
03,-65561.537246,Sn03,-655.8107840627522
03,-65561.537246,Sn04,-649.2230440385692
03,-65561.537246,Sn05,-653.7880863661121
03,-65561.537246,Sn06,-655.8108780526572
04,-65561.550418,Sn01,-652.8054731868046
04,-65561.550418,Sn02,-657.2441812674911
04,-65561.550418,Sn03,-655.0180938062599
04,-65561.550418,Sn04,-655.0180760171361
04,-65561.550418,Sn05,-652.8055669773689
04,-65561.550418,Sn06,-655.9231130688345
05,-65561.545072,Sn01,-659.2088507622134
05,-65561.545072,Sn02,-658.0553520495482
05,-65561.545072,Sn03,-655.4289486920115
05,-65561.545072,Sn04,-662.5292478010279
05,-65561.545072,Sn05,-653.2371648591989
05,-65561.545072,Sn06,-655.8724027067074
06,-65561.526594,Sn01,-661.0673560223522
06,-65561.526594,Sn02,-660.4456476420219
06,-65561.526594,Sn03,-660.7348727444842
06,-65561.526594,Sn04,-662.4625851538763
06,-65561.526594,Sn05,-655.1516640084828
06,-65561.526594,Sn06,-654.8321961849465
07,-65561.556226,Sn01,-658.7078260808989
07,-65561.556226,Sn02,-652.3143505798466
07,-65561.556226,Sn03,-661.053832740457
07,-65561.556226,Sn04,-663.3240726367308
07,-65561.556226,Sn05,-655.5544868502893
07,-65561.556226,Sn06,-652.9704685338393
08,-65561.581560,Sn01,-652.6319333126066
08,-65561.581560,Sn02,-652.6322521073726
08,-65561.581560,Sn03,-652.6323532564438
08,-65561.581560,Sn04,-652.631981594895
08,-65561.581560,Sn05,-652.62433995122
08,-65561.581560,Sn06,-652.6245400531352
09,-65561.530477,Sn01,-661.5820250916322
09,-65561.530477,Sn02,-661.5826667988658
09,-65561.530477,Sn03,-661.5828430291676
09,-65561.530477,Sn04,-661.5819987183359
09,-65561.530477,Sn05,-662.239913695315
09,-65561.530477,Sn06,-662.2397662756666
10,-65561.506479,Sn01,-661.6052547799527
10,-65561.506479,Sn02,-659.7063290049077
10,-65561.506479,Sn03,-654.7965438100373
10,-65561.506479,Sn04,-660.500258855518
10,-65561.506479,Sn05,-654.42837504606
10,-65561.506479,Sn06,-648.0598989799082
11,-65561.509257,Sn01,-654.5190253891192
11,-65561.509257,Sn02,-659.6922750297704
11,-65561.509257,Sn03,-654.0868654545238
11,-65561.509257,Sn04,-654.4392481000123
11,-65561.509257,Sn05,-659.6920263299589
11,-65561.509257,Sn06,-654.5187605726242
12,-65561.532614,Sn01,-656.200245256332
12,-65561.532614,Sn02,-658.660302659745
12,-65561.532614,Sn03,-658.6613195021
12,-65561.532614,Sn04,-656.1998033245236
12,-65561.532614,Sn05,-658.6647823273661
12,-65561.532614,Sn06,-656.1997371166617
13,-65561.536377,Sn01,-659.4106080578381
13,-65561.536377,Sn02,-658.1859540109117
13,-65561.536377,Sn03,-652.4952090670458
13,-65561.536377,Sn04,-655.8669676343047
13,-65561.536377,Sn05,-648.8162097594532
13,-65561.536377,Sn06,-654.7505492542327
14,-65561.555078,Sn01,-659.578854265897
14,-65561.555078,Sn02,-658.362109518167
14,-65561.555078,Sn03,-662.0595554848855
14,-65561.555078,Sn04,-655.4350449055196
14,-65561.555078,Sn05,-655.6326380139626
14,-65561.555078,Sn06,-652.8104086562485
15,-65561.565679,Sn01,-657.3240098313522
15,-65561.565679,Sn02,-659.7406892617068
15,-65561.565679,Sn03,-653.4309934891253
15,-65561.565679,Sn04,-652.822679900366
15,-65561.565679,Sn05,-656.0809196339969
15,-65561.565679,Sn06,-653.3824923614739
16,-65561.527691,Sn01,-661.0463074739323
16,-65561.527691,Sn02,-654.717280874459
16,-65561.527691,Sn03,-661.6474978572151
16,-65561.527691,Sn04,-655.0475255488122
16,-65561.527691,Sn05,-654.9032072813507
16,-65561.527691,Sn06,-654.7188905984221
17,-65561.545775,Sn01,-659.042987468807
17,-65561.545775,Sn02,-660.6072197192043
17,-65561.545775,Sn03,-652.4791423143597
17,-65561.545775,Sn04,-659.0724852828398
17,-65561.545775,Sn05,-654.837387321495
17,-65561.545775,Sn06,-654.9398869823799
18,-65561.544809,Sn01,-659.6082282496095
18,-65561.544809,Sn02,-655.1107338087345
18,-65561.544809,Sn03,-659.6327162392809
18,-65561.544809,Sn04,-659.6016560672142
18,-65561.544809,Sn05,-655.2193779232944
18,-65561.544809,Sn06,-655.1794086949894
19,-65561.553395,Sn01,-653.4396000533679
19,-65561.553395,Sn02,-661.0754971725719
19,-65561.553395,Sn03,-658.8612505807778
19,-65561.553395,Sn04,-659.7628321185639
19,-65561.553395,Sn05,-656.194543092277
19,-65561.553395,Sn06,-655.9185018285543
20,-65561.568758,Sn01,-653.1849474551154
20,-65561.568758,Sn02,-653.463184607524
20,-65561.568758,Sn03,-655.8535603271589
20,-65561.568758,Sn04,-648.8015064661517
20,-65561.568758,Sn05,-653.2795197782261
20,-65561.568758,Sn06,-653.4309566887441
21,-65561.569882,Sn01,-659.9367900311181
21,-65561.569882,Sn02,-660.03899020991
21,-65561.569882,Sn03,-657.4651068883977
21,-65561.569882,Sn04,-663.1788997192011
21,-65561.569882,Sn05,-653.9525373323554
21,-65561.569882,Sn06,-654.2483581868919
22,-65561.544265,Sn01,-659.8918754502429
22,-65561.544265,Sn02,-661.8903766384192
22,-65561.544265,Sn03,-658.3365600795278
22,-65561.544265,Sn04,-661.4932586960217
22,-65561.544265,Sn05,-649.3456682823462
22,-65561.544265,Sn06,-652.5440911427149
23,-65561.553109,Sn01,-662.2279032625429
23,-65561.553109,Sn02,-658.8262884335809
23,-65561.553109,Sn03,-659.1552483410283
23,-65561.553109,Sn04,-662.2687479195247
23,-65561.553109,Sn05,-649.2140046845361
23,-65561.553109,Sn06,-653.6146642606445
24,-65561.573847,Sn01,-658.7470806496926
24,-65561.573847,Sn02,-653.9318836955513
24,-65561.573847,Sn03,-656.7211313671755
24,-65561.573847,Sn04,-656.3823607804816
24,-65561.573847,Sn05,-652.8228484021379
24,-65561.573847,Sn06,-654.3364194735127
25,-65561.564750,Sn01,-661.8745380662781
25,-65561.564750,Sn02,-652.6752147752395
25,-65561.564750,Sn03,-658.4686747117084
25,-65561.564750,Sn04,-662.0221043392603
25,-65561.564750,Sn05,-655.5600465790026
25,-65561.564750,Sn06,-652.9389776280836
26,-65561.580964,Sn01,-659.8126479063449
26,-65561.580964,Sn02,-659.7922778356292
26,-65561.580964,Sn03,-660.6668656293841
26,-65561.580964,Sn04,-653.2866444164811
26,-65561.580964,Sn05,-660.8579300123511
26,-65561.580964,Sn06,-653.3657727657719
27,-65561.560311,Sn01,-659.6382660968407
27,-65561.560311,Sn02,-661.729343044768
27,-65561.560311,Sn03,-662.2300425385856
27,-65561.560311,Sn04,-659.3798573010008
27,-65561.560311,Sn05,-660.3240280583827
27,-65561.560311,Sn06,-655.9205102598553
28,-65561.535714,Sn01,-661.4159638111341
28,-65561.535714,Sn02,-661.0481444881052
28,-65561.535714,Sn03,-654.6938952615928
28,-65561.535714,Sn04,-661.5071421528783
28,-65561.535714,Sn05,-654.731362596005
28,-65561.535714,Sn06,-661.4512686822836
29,-65561.558688,Sn01,-655.062570207434
29,-65561.558688,Sn02,-652.115470903123
29,-65561.558688,Sn03,-654.987089761582
29,-65561.558688,Sn04,-658.8464696735259
29,-65561.558688,Sn05,-652.746196077172
29,-65561.558688,Sn06,-655.3674705223088
30,-65561.555241,Sn01,-653.1839439506557
30,-65561.555241,Sn02,-656.1012743276801
