
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.41424821991711      eV
 Composition: x =   0.62499999997774314     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.274508E-04    0.274508E-04
  1      1       16           -61809.52206      -61059.10781    0.222058E-03    0.138786E-04
  2      1       48           -62559.91747      -61059.08898    0.419682E-03    0.874338E-05
  2      2       24           -62559.92649      -61059.09799    0.261798E-03    0.109082E-04
  2      3       48           -62559.93679      -61059.10829    0.674061E-03    0.140429E-04
  3      1       48           -63310.31227      -61059.06952    0.260398E-03    0.542496E-05
  3      2       32           -63310.31342      -61059.07068    0.178593E-03    0.558102E-05
  3      3       96           -63310.32148      -61059.07873    0.652845E-03    0.680047E-05
  3      4      192           -63310.33108      -61059.08834    0.165257E-02    0.860712E-05
  3      5       96           -63310.33003      -61059.08728    0.805171E-03    0.838720E-05
  3      6       48           -63310.32923      -61059.08649    0.394829E-03    0.822560E-05
  3      7       32           -63310.36223      -61059.11949    0.591452E-03    0.184829E-04
  3      8       16           -63310.29084      -61059.04810    0.513164E-04    0.320727E-05
  4      1       12           -64060.69708      -61059.04008    0.316159E-04    0.263466E-05
  4      2      192           -64060.71656      -61059.05957    0.815899E-03    0.424947E-05
  4      3      192           -64060.71491      -61059.05791    0.783415E-03    0.408029E-05
  4      4       96           -64060.72606      -61059.06907    0.515037E-03    0.536497E-05
  4      5       24           -64060.72769      -61059.07070    0.134000E-03    0.558332E-05
  4      6       96           -64060.73540      -61059.07841    0.647720E-03    0.674709E-05
  4      7       48           -64060.73390      -61059.07691    0.312143E-03    0.650298E-05
  4      8       96           -64060.71444      -61059.05745    0.387283E-03    0.403420E-05
  4      9      192           -64060.73261      -61059.07562    0.120965E-02    0.630024E-05
  4     10       96           -64060.75440      -61059.09740    0.103216E-02    0.107516E-04
  4     11       96           -64060.75643      -61059.09944    0.108492E-02    0.113012E-04
  4     12       96           -64060.72217      -61059.06518    0.468156E-03    0.487663E-05
  4     13       96           -64060.69587      -61059.03888    0.245565E-03    0.255797E-05
  4     14       96           -64060.72462      -61059.06763    0.497171E-03    0.517887E-05
  4     15       96           -64060.73338      -61059.07638    0.616282E-03    0.641960E-05
  4     16      192           -64060.74358      -61059.08658    0.158303E-02    0.824495E-05
  4     17       48           -64060.73462      -61059.07762    0.317659E-03    0.661790E-05
  4     18       24           -64060.74005      -61059.08306    0.181472E-03    0.756132E-05
  4     19        8           -64060.70845      -61059.05146    0.278607E-04    0.348259E-05
  4     20        4           -64060.71469      -61059.05769    0.162337E-04    0.405842E-05
  4     21       12           -64060.72936      -61059.07237    0.698053E-04    0.581711E-05
  4     22        8           -64060.80941      -61059.15241    0.331659E-03    0.414573E-04
  5      1       96           -64811.10732      -61059.03608    0.229273E-03    0.238826E-05
  5      2      192           -64811.12798      -61059.05674    0.761149E-03    0.396432E-05
  5      3       48           -64811.11935      -61059.04811    0.153985E-03    0.320803E-05
  5      4      192           -64811.11591      -61059.04466    0.566036E-03    0.294810E-05
  5      5       96           -64811.13305      -61059.06181    0.431047E-03    0.449007E-05
  5      6      192           -64811.14693      -61059.07569    0.121169E-02    0.631088E-05
  5      7       96           -64811.14333      -61059.07209    0.554617E-03    0.577726E-05
  5      8       96           -64811.11657      -61059.04533    0.287645E-03    0.299630E-05
  5      9       96           -64811.15908      -61059.08784    0.816241E-03    0.850251E-05
  5     10      192           -64811.12358      -61059.05234    0.683364E-03    0.355919E-05
  5     11       96           -64811.15460      -61059.08336    0.731263E-03    0.761732E-05
  5     12       96           -64811.13429      -61059.06305    0.444361E-03    0.462876E-05
  5     13       48           -64811.09652      -61059.02528    0.879419E-04    0.183212E-05
  5     14       96           -64811.09885      -61059.02761    0.186254E-03    0.194014E-05
  5     15       96           -64811.10455      -61059.03331    0.214193E-03    0.223118E-05
  5     16      192           -64811.12491      -61059.05367    0.705961E-03    0.367688E-05
  5     17      192           -64811.13724      -61059.06600    0.955405E-03    0.497607E-05
  5     18      192           -64811.14338      -61059.07214    0.111068E-02    0.578477E-05
  5     19      192           -64811.14607      -61059.07483    0.118645E-02    0.617942E-05
  5     20      192           -64811.15355      -61059.08231    0.142544E-02    0.742415E-05
  5     21       96           -64811.14266      -61059.07142    0.545601E-03    0.568335E-05
  5     22       96           -64811.16473      -61059.09349    0.937556E-03    0.976621E-05
  5     23      192           -64811.12660      -61059.05536    0.735883E-03    0.383272E-05
  5     24      192           -64811.13486      -61059.06362    0.901260E-03    0.469406E-05
