        T             E               F          S             
     473.0     -69307.7207     -69308.1139  0.831377E-03
     873.0     -69307.7097     -69308.4511  0.849199E-03
    1273.0     -69307.7055     -69308.7917  0.853241E-03
    1673.0     -69307.7033     -69309.1334  0.854767E-03
  Infinite     -69307.6963         -        0.856881E-03
