
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.40767005369514      eV
 Composition: x =   0.68700000001401040     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.503812E-05    0.503812E-05
  1      1       16           -61809.52206      -61059.11439    0.478927E-04    0.299330E-05
  2      1       48           -62559.91747      -61059.10213    0.106369E-03    0.221602E-05
  2      2       24           -62559.92649      -61059.11115    0.663529E-04    0.276470E-05
  2      3       48           -62559.93679      -61059.12145    0.170841E-03    0.355919E-05
  3      1       48           -63310.31227      -61059.08926    0.775570E-04    0.161577E-05
  3      2       32           -63310.31342      -61059.09041    0.531921E-04    0.166225E-05
  3      3       96           -63310.32148      -61059.09847    0.194444E-03    0.202545E-05
  3      4      192           -63310.33108      -61059.10807    0.492201E-03    0.256355E-05
  3      5       96           -63310.33003      -61059.10702    0.239812E-03    0.249805E-05
  3      6       48           -63310.32923      -61059.10622    0.117596E-03    0.244992E-05
  3      7       32           -63310.36223      -61059.13922    0.176158E-03    0.550494E-05
  3      8       16           -63310.29084      -61059.06783    0.152841E-04    0.955256E-06
  4      1       12           -64060.69708      -61059.06640    0.110657E-04    0.922141E-06
  4      2      192           -64060.71656      -61059.08588    0.285568E-03    0.148733E-05
  4      3      192           -64060.71491      -61059.08422    0.274198E-03    0.142812E-05
  4      4       96           -64060.72606      -61059.09538    0.180265E-03    0.187776E-05
  4      5       24           -64060.72769      -61059.09701    0.469004E-04    0.195418E-05
  4      6       96           -64060.73540      -61059.10472    0.226705E-03    0.236151E-05
  4      7       48           -64060.73390      -61059.10322    0.109251E-03    0.227607E-05
  4      8       96           -64060.71444      -61059.08376    0.135551E-03    0.141199E-05
  4      9      192           -64060.73261      -61059.10193    0.423381E-03    0.220511E-05
  4     10       96           -64060.75440      -61059.12372    0.361259E-03    0.376312E-05
  4     11       96           -64060.75643      -61059.12575    0.379725E-03    0.395547E-05
  4     12       96           -64060.72217      -61059.09149    0.163857E-03    0.170684E-05
  4     13       96           -64060.69587      -61059.06519    0.859488E-04    0.895300E-06
  4     14       96           -64060.72462      -61059.09394    0.174012E-03    0.181263E-05
  4     15       96           -64060.73338      -61059.10270    0.215701E-03    0.224689E-05
  4     16      192           -64060.74358      -61059.11290    0.554068E-03    0.288577E-05
  4     17       48           -64060.73462      -61059.10394    0.111182E-03    0.231629E-05
  4     18       24           -64060.74005      -61059.10937    0.635159E-04    0.264649E-05
  4     19        8           -64060.70845      -61059.07777    0.975137E-05    0.121892E-05
  4     20        4           -64060.71469      -61059.08401    0.568186E-05    0.142046E-05
  4     21       12           -64060.72936      -61059.09868    0.244322E-04    0.203601E-05
  4     22        8           -64060.80941      -61059.17873    0.116082E-03    0.145102E-04
  5      1       96           -64811.10732      -61059.06897    0.943007E-04    0.982299E-06
  5      2      192           -64811.12798      -61059.08963    0.313064E-03    0.163054E-05
  5      3       48           -64811.11935      -61059.08100    0.633348E-04    0.131947E-05
  5      4      192           -64811.11591      -61059.07756    0.232813E-03    0.121257E-05
  5      5       96           -64811.13305      -61059.09470    0.177291E-03    0.184678E-05
  5      6      192           -64811.14693      -61059.10858    0.498373E-03    0.259569E-05
  5      7       96           -64811.14333      -61059.10498    0.228116E-03    0.237621E-05
  5      8       96           -64811.11657      -61059.07822    0.118310E-03    0.123239E-05
  5      9       96           -64811.15908      -61059.12073    0.335723E-03    0.349712E-05
  5     10      192           -64811.12358      -61059.08523    0.281070E-03    0.146391E-05
  5     11       96           -64811.15460      -61059.11625    0.300772E-03    0.313304E-05
  5     12       96           -64811.13429      -61059.09594    0.182768E-03    0.190383E-05
  5     13       48           -64811.09652      -61059.05817    0.361708E-04    0.753559E-06
  5     14       96           -64811.09885      -61059.06050    0.766069E-04    0.797989E-06
  5     15       96           -64811.10455      -61059.06620    0.880986E-04    0.917694E-06
  5     16      192           -64811.12491      -61059.08656    0.290365E-03    0.151232E-05
  5     17      192           -64811.13724      -61059.09889    0.392962E-03    0.204668E-05
  5     18      192           -64811.14338      -61059.10503    0.456826E-03    0.237930E-05
  5     19      192           -64811.14607      -61059.10772    0.487992E-03    0.254162E-05
  5     20      192           -64811.15355      -61059.11520    0.586288E-03    0.305358E-05
  5     21       96           -64811.14266      -61059.10431    0.224408E-03    0.233758E-05
  5     22       96           -64811.16473      -61059.12638    0.385621E-03    0.401688E-05
  5     23      192           -64811.12660      -61059.08825    0.302672E-03    0.157641E-05
  5     24      192           -64811.13486      -61059.09651    0.370692E-03    0.193069E-05
  5     25      192           -64811.15418      -61059.11583    0.595391E-03    0.310100E-05
  5     26      192           -64811.14948      -61059.11113    0.530547E-03    0.276327E-05
  5     27       96           -64811.13234      -61059.09399    0.174221E-03    0.181480E-05
  5     28       96           -64811.14099      -61059.10264    0.215415E-03    0.224391E-05
  5     29       96           -64811.10918      -61059.07083    0.987036E-04    0.102816E-05
  5     30       48           -64811.11499      -61059.07664    0.569126E-04    0.118568E-05
  5     31       48           -64811.12250      -61059.08415    0.684201E-04    0.142542E-05
  5     32       96           -64811.15092      -61059.11257    0.274827E-03    0.286278E-05
  5     33       96           -64811.15329      -61059.11494    0.291294E-03    0.303432E-05
  5     34       48           -64811.17400      -61059.13565    0.242048E-03    0.504267E-05
  5     35       96           -64811.20776      -61059.16941    0.110831E-02    0.115449E-04
  6      1       48           -65561.52021      -61059.07419    0.535884E-04    0.111643E-05
  6      2       96           -65561.51663      -61059.07061    0.981770E-04    0.102268E-05
  6      3       96           -65561.53725      -61059.09123    0.162790E-03    0.169573E-05
  6      4       96           -65561.55042      -61059.10440    0.224893E-03    0.234263E-05
  6      5      192           -65561.54507      -61059.09905    0.394497E-03    0.205467E-05
  6      6      192           -65561.52659      -61059.08057    0.250705E-03    0.130575E-05
  6      7      192           -65561.55623      -61059.11021    0.518668E-03    0.270139E-05
  6      8       16           -65561.58156      -61059.13554    0.804710E-04    0.502944E-05
  6      9       48           -65561.53048      -61059.08446    0.689407E-04    0.143626E-05
  6     10      192           -65561.50648      -61059.06046    0.153052E-03    0.797146E-06
  6     11       96           -65561.50926      -61059.06324    0.819235E-04    0.853370E-06
  6     12       32           -65561.53261      -61059.08659    0.484344E-04    0.151358E-05
  6     13      192           -65561.53638      -61059.09036    0.318713E-03    0.165996E-05
  6     14      192           -65561.55508      -61059.10906    0.504263E-03    0.262637E-05
  6     15      192           -65561.56568      -61059.11966    0.654049E-03    0.340650E-05
  6     16      192           -65561.52769      -61059.08167    0.257544E-03    0.134137E-05
  6     17      192           -65561.54578      -61059.09975    0.401361E-03    0.209042E-05
  6     18       64           -65561.54481      -61059.09879    0.130653E-03    0.204146E-05
  6     19      192           -65561.55339      -61059.10737    0.483866E-03    0.252014E-05
