
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.42660159737159      eV
 Composition: x =   0.50000000002753242     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.11281    0.976347E-03    0.976347E-03
  1      1       16           -61809.52206      -61059.07800    0.406378E-02    0.253986E-03
  2      1       48           -62559.91747      -61059.05145    0.436445E-02    0.909260E-04
  2      2       24           -62559.92649      -61059.06046    0.309299E-02    0.128874E-03
  2      3       48           -62559.93679      -61059.07076    0.921241E-02    0.191925E-03
  3      1       48           -63310.31227      -61059.02356    0.148391E-02    0.309147E-04
  3      2       32           -63310.31342      -61059.02471    0.103451E-02    0.323285E-04
  3      3       96           -63310.32148      -61059.03277    0.423813E-02    0.441472E-04
  3      4      192           -63310.33108      -61059.04237    0.122893E-01    0.640069E-04
  3      5       96           -63310.33003      -61059.04132    0.589895E-02    0.614474E-04
  3      6       48           -63310.32923      -61059.04052    0.286037E-02    0.595911E-04
  3      7       32           -63310.36223      -61059.07352    0.683424E-02    0.213570E-03
  3      8       16           -63310.29084      -61059.00213    0.215971E-03    0.134982E-04
  4      1       12           -64060.69708      -61058.98497    0.833905E-04    0.694921E-05
  4      2      192           -64060.71656      -61059.00446    0.283511E-02    0.147662E-04
  4      3      192           -64060.71491      -61059.00280    0.265920E-02    0.138500E-04
  4      4       96           -64060.72606      -61059.01396    0.204715E-02    0.213245E-04
  4      5       24           -64060.72769      -61059.01558    0.545011E-03    0.227088E-04
  4      6       96           -64060.73540      -61059.02330    0.293836E-02    0.306079E-04
  4      7       48           -64060.73390      -61059.02180    0.138625E-02    0.288803E-04
  4      8       96           -64060.71444      -61059.00234    0.130600E-02    0.136041E-04
  4      9      192           -64060.73261      -61059.02051    0.527490E-02    0.274735E-04
  4     10       96           -64060.75440      -61059.04229    0.612571E-02    0.638094E-04
  4     11       96           -64060.75643      -61059.04432    0.662662E-02    0.690273E-04
  4     12       96           -64060.72217      -61059.01007    0.176117E-02    0.183455E-04
  4     13       96           -64060.69587      -61058.98377    0.636767E-03    0.663298E-05
  4     14       96           -64060.72462      -61059.01252    0.193631E-02    0.201699E-04
  4     15       96           -64060.73338      -61059.02127    0.271666E-02    0.282986E-04
  4     16      192           -64060.74358      -61059.03147    0.806155E-02    0.419872E-04
  4     17       48           -64060.73462      -61059.02251    0.142507E-02    0.296890E-04
  4     18       24           -64060.74005      -61059.02794    0.879145E-03    0.366310E-04
  4     19        8           -64060.70845      -61058.99634    0.863144E-04    0.107893E-04
  4     20        4           -64060.71469      -61059.00258    0.549326E-04    0.137331E-04
  4     21       12           -64060.72936      -61059.01725    0.290712E-03    0.242260E-04
  4     22        8           -64060.80941      -61059.09730    0.428649E-02    0.535811E-03
  5      1       96           -64811.10732      -61058.97111    0.390239E-03    0.406499E-05
  5      2      192           -64811.12798      -61058.99176    0.173527E-02    0.903785E-05
  5      3       48           -64811.11935      -61058.98314    0.310715E-03    0.647323E-05
  5      4      192           -64811.11591      -61058.97969    0.108784E-02    0.566584E-05
  5      5       96           -64811.13305      -61058.99684    0.105587E-02    0.109986E-04
  5      6      192           -64811.14693      -61059.01072    0.361184E-02    0.188117E-04
  5      7       96           -64811.14333      -61059.00711    0.157110E-02    0.163657E-04
  5      8       96           -64811.11657      -61058.98035    0.558008E-03    0.581258E-05
  5      9       96           -64811.15908      -61059.02287    0.288941E-02    0.300981E-04
  5     10      192           -64811.12358      -61058.98737    0.146403E-02    0.762516E-05
  5     11       96           -64811.15460      -61059.01838    0.242959E-02    0.253082E-04
  5     12       96           -64811.13429      -61058.99808    0.110775E-02    0.115390E-04
  5     13       48           -64811.09652      -61058.96030    0.128465E-03    0.267636E-05
  5     14       96           -64811.09885      -61058.96264    0.281217E-03    0.292934E-05
  5     15       96           -64811.10455      -61058.96834    0.350547E-03    0.365154E-05
  5     16      192           -64811.12491      -61058.98870    0.154108E-02    0.802648E-05
  5     17      192           -64811.13724      -61059.00103    0.248320E-02    0.129333E-04
  5     18      192           -64811.14338      -61059.00717    0.314866E-02    0.163992E-04
  5     19      192           -64811.14607      -61059.00986    0.349394E-02    0.181976E-04
  5     20      192           -64811.15355      -61059.01734    0.466631E-02    0.243037E-04
  5     21       96           -64811.14266      -61059.00645    0.153103E-02    0.159482E-04
  5     22       96           -64811.16473      -61059.02851    0.359494E-02    0.374473E-04
  5     23      192           -64811.12660      -61058.99039    0.164532E-02    0.856938E-05
  5     24      192           -64811.13486      -61058.99865    0.226497E-02    0.117967E-04
  5     25      192           -64811.15418      -61059.01797    0.478105E-02    0.249013E-04
  5     26      192           -64811.14948      -61059.01327    0.398627E-02    0.207618E-04
  5     27       96           -64811.13234      -61058.99613    0.102718E-02    0.106998E-04
  5     28       96           -64811.14099      -61059.00478    0.143542E-02    0.149523E-04
  5     29       96           -64811.10918      -61058.97297    0.419351E-03    0.436824E-05
  5     30       48           -64811.11499      -61058.97878    0.262513E-03    0.546903E-05
  5     31       48           -64811.12250      -61058.98628    0.350951E-03    0.731148E-05
  5     32       96           -64811.15092      -61059.01471    0.210747E-02    0.219528E-04
  5     33       96           -64811.15329      -61059.01708    0.230999E-02    0.240624E-04
  5     34       48           -64811.17400      -61059.03778    0.257271E-02    0.535981E-04
  5     35       96           -64811.20776      -61059.07155    0.189932E-01    0.197845E-03
  6      1       48           -65561.52021      -61058.95917    0.122977E-03    0.256203E-05
  6      2       96           -65561.51663      -61058.95560    0.214189E-03    0.223114E-05
  6      3       96           -65561.53725      -61058.97621    0.475405E-03    0.495214E-05
  6      4       96           -65561.55042      -61058.98938    0.791304E-03    0.824275E-05
  6      5      192           -65561.54507      -61058.98404    0.128696E-02    0.670291E-05
  6      6      192           -65561.52659      -61058.96556    0.629721E-03    0.327980E-05
  6      7      192           -65561.55623      -61058.99519    0.198127E-02    0.103191E-04
  6      8       16           -65561.58156      -61059.02053    0.439900E-03    0.274938E-04
  6      9       48           -65561.53048      -61058.96944    0.182945E-03    0.381135E-05
  6     10      192           -65561.50648      -61058.94544    0.289222E-03    0.150636E-05
  6     11       96           -65561.50926      -61058.94822    0.161016E-03    0.167725E-05
  6     12       32           -65561.53261      -61058.97158    0.132473E-03    0.413979E-05
  6     13      192           -65561.53638      -61058.97534    0.919380E-03    0.478844E-05
  6     14      192           -65561.55508      -61058.99404    0.189521E-02    0.987090E-05
  6     15      192           -65561.56568      -61059.00464    0.285592E-02    0.148746E-04
  6     16      192           -65561.52769      -61058.96666    0.657018E-03    0.342197E-05
  6     17      192           -65561.54578      -61058.98474    0.132244E-02    0.688769E-05
  6     18       64           -65561.54481      -61058.98377    0.424644E-03    0.663507E-05
  6     19      192           -65561.55339      -61058.99236    0.177576E-02    0.924876E-05
  6     20       96           -65561.56876      -61059.00772    0.160858E-02    0.167560E-04
  6     21      192           -65561.56988      -61059.00885    0.336011E-02    0.175006E-04
  6     22      192           -65561.54427      -61058.98323    0.124741E-02    0.649690E-05
  6     23      192           -65561.55311      -61058.99207    0.175623E-02    0.914701E-05
  6     24      192           -65561.57385      -61059.01281    0.391709E-02    0.204015E-04
  6     25      192           -65561.56475      -61059.00372    0.275512E-02    0.143496E-04
  6     26       96           -65561.58096      -61059.01993    0.257925E-02    0.268672E-04
  6     27      192           -65561.56031      -61058.99928    0.232043E-02    0.120856E-04
  6     28       96           -65561.53571      -61058.97468    0.448051E-03    0.466720E-05
  6     29      192           -65561.55869      -61058.99765    0.217923E-02    0.113502E-04
  6     30      192           -65561.55524      -61058.99421    0.190720E-02    0.993333E-05
  6     31      192           -65561.55868      -61058.99764    0.217822E-02    0.113449E-04
  6     32      192           -65561.56461      -61059.00357    0.274013E-02    0.142715E-04
  6     33       48           -65561.50632      -61058.94528    0.718483E-04    0.149684E-05
  6     34      192           -65561.52438      -61058.96335    0.578036E-03    0.301060E-05
  6     35       32           -65561.54198      -61058.98095    0.190343E-03    0.594822E-05
  6     36      192           -65561.51409      -61058.95306    0.388231E-03    0.202204E-05
  6     37       48           -65561.51811      -61058.95707    0.113378E-03    0.236205E-05
  6     38       96           -65561.51989      -61058.95885    0.242920E-03    0.253041E-05
  6     39       96           -65561.51745      -61058.95642    0.221092E-03    0.230304E-05
  6     40       96           -65561.52718      -61058.96615    0.322079E-03    0.335499E-05
  6     41       48           -65561.51654      -61058.95551    0.106722E-03    0.222338E-05
  6     42      192           -65561.54816      -61058.98713    0.145036E-02    0.755393E-05
  6     43       24           -65561.51377      -61058.95274    0.479356E-04    0.199732E-05
  6     44       96           -65561.52518      -61058.96414    0.298090E-03    0.310510E-05
  6     45      192           -65561.54372      -61058.98268    0.122124E-02    0.636063E-05
  6     46      192           -65561.55012      -61058.98908    0.156429E-02    0.814734E-05
  6     47       96           -65561.54490      -61058.98387    0.639287E-03    0.665924E-05
  6     48       96           -65561.55341      -61058.99238    0.888465E-03    0.925485E-05
  6     49       96           -65561.57079      -61059.00976    0.174011E-02    0.181262E-04
  6     50       48           -65561.53532      -61058.97428    0.220620E-03    0.459625E-05
  6     51       96           -65561.57028      -61059.00925    0.170639E-02    0.177749E-04
  6     52      192           -65561.57470      -61059.01366    0.404786E-02    0.210826E-04
  6     53       96           -65561.57929      -61059.01826    0.241790E-02    0.251865E-04
  6     54       48           -65561.57496      -61059.01393    0.102239E-02    0.212998E-04
  6     55      192           -65561.56311      -61059.00208    0.258597E-02    0.134686E-04
  6     56       96           -65561.57904      -61059.01801    0.239463E-02    0.249441E-04
  6     57       16           -65561.54741      -61058.98638    0.117398E-03    0.733736E-05
  6     58       48           -65561.51364      -61058.95261    0.953829E-04    0.198714E-05
  6     59       48           -65561.55833      -61058.99729    0.537253E-03    0.111928E-04
  6     60       96           -65561.60610      -61059.04507    0.681960E-02    0.710375E-04
  6     61      192           -65561.59742      -61059.03638    0.974775E-02    0.507695E-04
  6     62       96           -65561.62828      -61059.06725    0.160848E-01    0.167550E-03
  6     63       96           -65561.60348      -61059.04244    0.616162E-02    0.641835E-04
  6     64       48           -65561.61413      -61059.05310    0.465205E-02    0.969176E-04
  6     65       48           -65561.59121      -61059.03017    0.191655E-02    0.399282E-04
  7      1      192           -66311.94451      -61058.95794    0.469016E-03    0.244279E-05
  7      2       48           -66311.97842      -61058.99186    0.435352E-03    0.906984E-05
  7      3       96           -66311.94963      -61058.96307    0.285926E-03    0.297840E-05
  7      4       96           -66311.91560      -61058.92903    0.766494E-04    0.798431E-06
  7      5       48           -66311.91094      -61058.92437    0.319958E-04    0.666580E-06
  7      6       96           -66311.93192      -61058.94535    0.144103E-03    0.150107E-05
  7      7       96           -66311.96458      -61058.97801    0.509744E-03    0.530984E-05
  7      8      192           -66311.94323      -61058.95666    0.446394E-03    0.232497E-05
  7      9      192           -66311.96152      -61058.97495    0.905614E-03    0.471674E-05
  7     10      192           -66311.97454      -61058.98797    0.149849E-02    0.780461E-05
  7     11      192           -66311.98827      -61059.00170    0.254882E-02    0.132751E-04
  7     12      192           -66311.96920      -61058.98264    0.121907E-02    0.634932E-05
  7     13      192           -66311.97897      -61058.99240    0.177865E-02    0.926379E-05
