        T             E               F          S             
     300.0     -67062.4397     -67062.7077  0.893209E-03
     873.0     -67062.4140     -67063.2416  0.948048E-03
    1273.0     -67062.4096     -67063.6217  0.952114E-03
    1673.0     -67062.4074     -67064.0028  0.953630E-03
  Infinite     -67062.4003         -        0.955694E-03
