        T             E               F          S             
     300.0     -72315.5101     -72315.5818  0.238923E-03
     873.0     -72315.5101     -72315.7187  0.238923E-03
    1273.0     -72315.5101     -72315.8143  0.238923E-03
    1673.0     -72315.5101     -72315.9098  0.238923E-03
  Infinite     -72315.5101         -        0.238923E-03
