 Configuration with minimum energy:           79
 Configuration with maximum energy:           18

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        16  0.135396E+00      0.0001      0.0000
         2        96  0.915580E-01      0.0026      0.0000
         3       192  0.119307E+00      0.0018      0.0000
         4       192  0.138308E+00      0.0008      0.0000
         5       192  0.107256E+00      0.0028      0.0000
         6       192  0.121659E+00      0.0016      0.0000
         7       192  0.111469E+00      0.0024      0.0000
         8       192  0.900860E-01      0.0055      0.0000
         9        96  0.826950E-01      0.0036      0.0000
        10        64  0.885840E-01      0.0019      0.0000
        11       192  0.986760E-01      0.0039      0.0000
        12        32  0.139916E+00      0.0001      0.0000
        13        96  0.137034E+00      0.0004      0.0000
        14       192  0.940160E-01      0.0047      0.0000
        15        96  0.841450E-01      0.0034      0.0000
        16        96  0.722400E-01      0.0054      0.0001
        17        96  0.139623E+00      0.0004      0.0000
        18        96  0.141048E+00      0.0004      0.0000
        19        96  0.122687E+00      0.0008      0.0000
        20        96  0.128938E+00      0.0006      0.0000
        21       192  0.103475E+00      0.0032      0.0000
        22       192  0.119856E+00      0.0017      0.0000
        23       192  0.110251E+00      0.0025      0.0000
        24       192  0.111393E+00      0.0024      0.0000
        25        48  0.120330E+00      0.0004      0.0000
        26        48  0.106706E+00      0.0007      0.0000
        27       192  0.797420E-01      0.0081      0.0000
        28       192  0.590970E-01      0.0181      0.0001
        29       192  0.624910E-01      0.0159      0.0001
        30        96  0.495420E-01      0.0131      0.0001
        31       192  0.565620E-01      0.0199      0.0001
        32       192  0.596180E-01      0.0177      0.0001
        33       192  0.804460E-01      0.0079      0.0000
        34        96  0.140357E+00      0.0004      0.0000
        35        96  0.121857E+00      0.0008      0.0000
        36       192  0.103387E+00      0.0033      0.0000
        37        96  0.109390E+00      0.0013      0.0000
        38       192  0.718080E-01      0.0111      0.0001
        39       192  0.925910E-01      0.0050      0.0000
        40        96  0.921940E-01      0.0025      0.0000
        41       192  0.704440E-01      0.0117      0.0001
        42        96  0.882850E-01      0.0029      0.0000
        43        96  0.523500E-01      0.0117      0.0001
        44        96  0.907650E-01      0.0027      0.0000
        45       192  0.109768E+00      0.0025      0.0000
        46       192  0.113003E+00      0.0022      0.0000
        47        96  0.969130E-01      0.0021      0.0000
        48       192  0.712250E-01      0.0113      0.0001
        49       192  0.102835E+00      0.0033      0.0000
        50       192  0.628880E-01      0.0156      0.0001
        51       192  0.825010E-01      0.0073      0.0000
        52       192  0.521300E-01      0.0237      0.0001
        53       192  0.415140E-01      0.0357      0.0002
        54        96  0.793000E-01      0.0041      0.0000
        55       192  0.709160E-01      0.0114      0.0001
        56       192  0.567350E-01      0.0198      0.0001
        57       192  0.421990E-01      0.0348      0.0002
        58        96  0.855740E-01      0.0032      0.0000
        59       192  0.382630E-01      0.0405      0.0002
        60       192  0.600650E-01      0.0174      0.0001
        61       192  0.500600E-01      0.0257      0.0001
        62       192  0.931730E-01      0.0048      0.0000
        63       192  0.411020E-01      0.0363      0.0002
        64        96  0.838000E-01      0.0035      0.0000
        65        96  0.101436E+00      0.0018      0.0000
        66       192  0.878670E-01      0.0059      0.0000
        67       192  0.677220E-01      0.0130      0.0001
        68       192  0.711530E-01      0.0113      0.0001
        69        48  0.249670E-01      0.0169      0.0004
        70        96  0.262870E-01      0.0322      0.0003
        71       192  0.899100E-02      0.1256      0.0007
        72        96  0.292010E-01      0.0287      0.0003
        73        48  0.123177E+00      0.0004      0.0000
        74        96  0.926310E-01      0.0025      0.0000
        75        96  0.523940E-01      0.0117      0.0001
        76       192  0.376550E-01      0.0415      0.0002
        77        96  0.434010E-01      0.0166      0.0002
        78        48  0.217250E-01      0.0192      0.0004
        79        96  0.000000E+00      0.0889      0.0009
        80        32  0.971500E-01      0.0007      0.0000
        81        96  0.716400E-02      0.0674      0.0007
        82        16  0.527720E-01      0.0019      0.0001


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        16  0.135396E+00      0.0006      0.0000
         2        96  0.915580E-01      0.0067      0.0001
         3       192  0.119307E+00      0.0092      0.0000
         4       192  0.138308E+00      0.0072      0.0000
         5       192  0.107256E+00      0.0108      0.0001
         6       192  0.121659E+00      0.0089      0.0000
