        T             E               F          S             
     300.0     -67812.8566     -67813.0789  0.741125E-03
     873.0     -67812.8311     -67813.5272  0.797291E-03
    1273.0     -67812.8267     -67813.8471  0.801551E-03
    1673.0     -67812.8244     -67814.1681  0.803133E-03
  Infinite     -67812.8173         -        0.805279E-03
