   x         T                   mu   
0.0625  473.00000000000000  -0.08038041108284233
0.0625  873.00000000000000  -0.17335288261210735
0.0625  1273.0000000000000  -0.2665706848770242
0.0625  1673.0000000000000  -0.3598510641570556
