        T             E               F          S             
     473.0     -61809.5297     -61809.6814  0.320710E-03
     873.0     -61809.5290     -61809.8100  0.321907E-03
    1273.0     -61809.5287     -61809.9388  0.322145E-03
    1673.0     -61809.5286     -61810.0677  0.322231E-03
  Infinite     -61809.5282         -        0.322346E-03
