Structure,Energy,Nucleus,delta_iso
01,-66311.944510,Sn01,-659.0136589334725
01,-66311.944510,Sn02,-658.5684864970144
01,-66311.944510,Sn03,-660.6597326260144
01,-66311.944510,Sn04,-662.8330174929815
01,-66311.944510,Sn05,-655.120713724119
01,-66311.944510,Sn06,-653.3687535910317
01,-66311.944510,Sn07,-655.5153030580323
02,-66311.978423,Sn01,-658.634568460916
02,-66311.978423,Sn02,-652.4406401148403
02,-66311.978423,Sn03,-658.6353519653185
02,-66311.978423,Sn04,-652.439536533916
02,-66311.978423,Sn05,-652.4402380428191
02,-66311.978423,Sn06,-652.4402066097928
02,-66311.978423,Sn07,-663.1729076877536
03,-66311.949635,Sn01,-661.2082635118236
03,-66311.949635,Sn02,-659.5706340845954
03,-66311.949635,Sn03,-659.5708705270717
03,-66311.949635,Sn04,-661.2084873266012
03,-66311.949635,Sn05,-662.2730967365469
03,-66311.949635,Sn06,-653.1338126228034
03,-66311.949635,Sn07,-662.2735809750443
04,-66311.915601,Sn01,-661.2354611068431
04,-66311.915601,Sn02,-659.8644979107062
04,-66311.915601,Sn03,-659.8797939071114
04,-66311.915601,Sn04,-653.9449829340938
04,-66311.915601,Sn05,-660.2694438435838
04,-66311.915601,Sn06,-660.26711130271
04,-66311.915601,Sn07,-653.9445591940839
05,-66311.910935,Sn01,-661.6114573772716
05,-66311.910935,Sn02,-660.6454903590525
05,-66311.910935,Sn03,-660.6446443555665
05,-66311.910935,Sn04,-661.6110996688108
05,-66311.910935,Sn05,-660.6447103813134
05,-66311.910935,Sn06,-660.6458419803657
05,-66311.910935,Sn07,-647.4018495421383
06,-66311.931921,Sn01,-662.2212605958384
06,-66311.931921,Sn02,-658.6111386320381
06,-66311.931921,Sn03,-658.6109927811794
06,-66311.931921,Sn04,-654.7824654936608
06,-66311.931921,Sn05,-654.0866404435956
06,-66311.931921,Sn06,-659.395776281568
06,-66311.931921,Sn07,-654.7822466753851
07,-66311.964582,Sn01,-657.7361125175903
07,-66311.964582,Sn02,-658.8827767575704
07,-66311.964582,Sn03,-658.8828134911155
07,-66311.964582,Sn04,-652.4665851826512
07,-66311.964582,Sn05,-654.4491481058026
07,-66311.964582,Sn06,-654.449049270153
07,-66311.964582,Sn07,-652.4667416398506
08,-66311.943232,Sn01,-659.3223987568044
08,-66311.943232,Sn02,-660.1292451874533
08,-66311.943232,Sn03,-658.2036953442325
08,-66311.943232,Sn04,-659.0276952052309
08,-66311.943232,Sn05,-654.4587803501563
08,-66311.943232,Sn06,-654.2919368903849
08,-66311.943232,Sn07,-654.2035117698756
09,-66311.961520,Sn01,-659.6996743478244
09,-66311.961520,Sn02,-659.2735391389278
09,-66311.961520,Sn03,-656.1367753293612
09,-66311.961520,Sn04,-661.4488148723317
09,-66311.961520,Sn05,-647.7529172476839
09,-66311.961520,Sn06,-652.980147278809
09,-66311.961520,Sn07,-652.542218947653
10,-66311.974539,Sn01,-659.2649343614971
10,-66311.974539,Sn02,-652.8084274289481
10,-66311.974539,Sn03,-655.6981363716341
10,-66311.974539,Sn04,-661.702170149355
10,-66311.974539,Sn05,-654.6409588085926
10,-66311.974539,Sn06,-652.3984115884773
10,-66311.974539,Sn07,-653.6959364218742
11,-66311.988271,Sn01,-657.1778722470822
11,-66311.988271,Sn02,-660.0867553759108
11,-66311.988271,Sn03,-657.6829749833023
11,-66311.988271,Sn04,-652.9025890006606
11,-66311.988271,Sn05,-659.9992800072064
11,-66311.988271,Sn06,-652.587453798862
11,-66311.988271,Sn07,-653.4219589852487
12,-66311.969204,Sn01,-657.3817060674132
12,-66311.969204,Sn02,-661.5010920708501
12,-66311.969204,Sn03,-659.1642973499597
12,-66311.969204,Sn04,-659.2817552430151
12,-66311.969204,Sn05,-659.3850584960178
12,-66311.969204,Sn06,-654.3339079584484
12,-66311.969204,Sn07,-652.1347323479758
13,-66311.978970,Sn01,-659.7738698320018
13,-66311.978970,Sn02,-659.2857591363436
13,-66311.978970,Sn03,-659.4715961597776
13,-66311.978970,Sn04,-658.6837063957519
13,-66311.978970,Sn05,-660.5876778173292
13,-66311.978970,Sn06,-654.9947520635283
13,-66311.978970,Sn07,-652.8281545936075
14,-66311.954545,Sn01,-660.7263813608461
14,-66311.954545,Sn02,-657.9923141357667
14,-66311.954545,Sn03,-653.794792563905
14,-66311.954545,Sn04,-658.8248853656269
14,-66311.954545,Sn05,-652.2222008414901
14,-66311.954545,Sn06,-654.1348165688978
14,-66311.954545,Sn07,-661.2915487393848
15,-66311.948789,Sn01,-660.0660704419361
15,-66311.948789,Sn02,-662.3673416668298
15,-66311.948789,Sn03,-660.8333020609716
15,-66311.948789,Sn04,-659.2037386766578
15,-66311.948789,Sn05,-659.4181057267556
15,-66311.948789,Sn06,-654.8837816771029
15,-66311.948789,Sn07,-661.2617649598242
16,-66311.975010,Sn01,-652.6171376133912
16,-66311.975010,Sn02,-652.7286779383717
16,-66311.975010,Sn03,-660.553024158803
16,-66311.975010,Sn04,-656.4366449196004
16,-66311.975010,Sn05,-659.7253998576098
16,-66311.975010,Sn06,-652.7824762587384
16,-66311.975010,Sn07,-654.6094496223386
17,-66311.979408,Sn01,-659.1151684397473
17,-66311.979408,Sn02,-661.3111948027517
17,-66311.979408,Sn03,-653.1098449582564
17,-66311.979408,Sn04,-656.9740277543565
17,-66311.979408,Sn05,-662.0480808814809
17,-66311.979408,Sn06,-652.1122840605794
17,-66311.979408,Sn07,-660.6574677011918
18,-66311.979305,Sn01,-659.2600838878288
18,-66311.979305,Sn02,-659.128522456936
18,-66311.979305,Sn03,-655.1649264854914
18,-66311.979305,Sn04,-658.4802039862816
18,-66311.979305,Sn05,-660.3274342771033
18,-66311.979305,Sn06,-652.1939030802237
18,-66311.979305,Sn07,-660.5871166086308
19,-66311.985543,Sn01,-661.1251947919955
19,-66311.985543,Sn02,-652.1473457993616
19,-66311.985543,Sn03,-652.1517910776543
19,-66311.985543,Sn04,-658.6952503643333
19,-66311.985543,Sn05,-658.6968928853994
19,-66311.985543,Sn06,-652.4138367231462
19,-66311.985543,Sn07,-652.4141208960546
20,-66311.972254,Sn01,-657.7574854936679
20,-66311.972254,Sn02,-662.0027672592346
20,-66311.972254,Sn03,-662.0031017689225
20,-66311.972254,Sn04,-659.9715011073313
20,-66311.972254,Sn05,-659.9706053000564
20,-66311.972254,Sn06,-659.6327484312224
20,-66311.972254,Sn07,-659.6331964649307
21,-66311.932999,Sn01,-659.0123130143975
21,-66311.932999,Sn02,-661.4450055492707
21,-66311.932999,Sn03,-658.5073412187735
21,-66311.932999,Sn04,-652.3209364623908
21,-66311.932999,Sn05,-661.1079734445461
21,-66311.932999,Sn06,-654.0317557253766
21,-66311.932999,Sn07,-654.3123533798844
22,-66311.951948,Sn01,-659.0856695968537
22,-66311.951948,Sn02,-661.5802598761711
22,-66311.951948,Sn03,-658.505293672245
22,-66311.951948,Sn04,-661.8131928430539
