        T             E               F          S             
     300.0     -70064.1754     -70064.3926  0.723960E-03
     873.0     -70064.1553     -70064.8266  0.769061E-03
    1273.0     -70064.1518     -70065.1350  0.772363E-03
    1673.0     -70064.1500     -70065.4443  0.773609E-03
  Infinite     -70064.1443         -        0.775333E-03
