
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.44611807831780      eV
 Composition: x =   0.31250000000559530     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  4     17       48           -64060.73462      -61058.95014    0.457093E-02    0.952278E-04
  4     18       24           -64060.74005      -61058.95558    0.261127E-02    0.108803E-03
  4     19        8           -64060.70845      -61058.92398    0.400900E-03    0.501125E-04
  4     20        4           -64060.71469      -61058.93021    0.233593E-03    0.583983E-04
  4     21       12           -64060.72936      -61058.94489    0.100446E-02    0.837049E-04
  4     22        8           -64060.80941      -61059.02493    0.477237E-02    0.596547E-03
  5      1       96           -64811.10732      -61058.87673    0.150947E-02    0.157237E-04
  5      2      192           -64811.12798      -61058.89739    0.501121E-02    0.261001E-04
  5      3       48           -64811.11935      -61058.88876    0.101380E-02    0.211208E-04
  5      4      192           -64811.11591      -61058.88532    0.372663E-02    0.194095E-04
  5      5       96           -64811.13305      -61058.90246    0.283790E-02    0.295615E-04
  5      6      192           -64811.14693      -61058.91634    0.797745E-02    0.415492E-04
  5      7       96           -64811.14333      -61058.91274    0.365145E-02    0.380360E-04
  5      8       96           -64811.11657      -61058.88598    0.189378E-02    0.197269E-04
  5      9       96           -64811.15908      -61058.92849    0.537392E-02    0.559783E-04
  5     10      192           -64811.12358      -61058.89299    0.449909E-02    0.234328E-04
  5     11       96           -64811.15460      -61058.92401    0.481445E-02    0.501505E-04
  5     12       96           -64811.13429      -61058.90370    0.292556E-02    0.304746E-04
  5     13       48           -64811.09652      -61058.86593    0.578987E-03    0.120622E-04
  5     14       96           -64811.09885      -61058.86826    0.122625E-02    0.127734E-04
  5     15       96           -64811.10455      -61058.87396    0.141019E-02    0.146895E-04
  5     16      192           -64811.12491      -61058.89432    0.464786E-02    0.242076E-04
  5     17      192           -64811.13724      -61058.90665    0.629014E-02    0.327612E-04
  5     18      192           -64811.14338      -61058.91279    0.731241E-02    0.380854E-04
  5     19      192           -64811.14607      -61058.91548    0.781128E-02    0.406837E-04
  5     20      192           -64811.15355      -61058.92296    0.938471E-02    0.488787E-04
  5     21       96           -64811.14266      -61058.91207    0.359210E-02    0.374177E-04
  5     22       96           -64811.16473      -61058.93414    0.617263E-02    0.642982E-04
  5     23      192           -64811.12660      -61058.89601    0.484486E-02    0.252337E-04
  5     24      192           -64811.13486      -61058.90427    0.593367E-02    0.309045E-04
  5     25      192           -64811.15418      -61058.92359    0.953042E-02    0.496376E-04
  5     26      192           -64811.14948      -61058.91889    0.849247E-02    0.442316E-04
  5     27       96           -64811.13234      -61058.90175    0.278876E-02    0.290496E-04
  5     28       96           -64811.14099      -61058.91040    0.344815E-02    0.359182E-04
  5     29       96           -64811.10918      -61058.87859    0.157995E-02    0.164578E-04
  5     30       48           -64811.11499      -61058.88440    0.910999E-03    0.189791E-04
  5     31       48           -64811.12250      -61058.89191    0.109520E-02    0.228167E-04
  5     32       96           -64811.15092      -61058.92033    0.439915E-02    0.458244E-04
  5     33       96           -64811.15329      -61058.92270    0.466275E-02    0.485703E-04
  5     34       48           -64811.17400      -61058.94341    0.387446E-02    0.807179E-04
  5     35       96           -64811.20776      -61058.97717    0.177408E-01    0.184800E-03
  6      1       48           -65561.52021      -61058.84350    0.333980E-03    0.695792E-05
  6      2       96           -65561.51663      -61058.83993    0.611870E-03    0.637365E-05
