        T             E               F          S             
     473.0     -64811.1616     -64811.5581  0.838394E-03
     873.0     -64811.1535     -64811.8970  0.851579E-03
    1273.0     -64811.1509     -64812.2382  0.854187E-03
    1673.0     -64811.1495     -64812.5801  0.855119E-03
  Infinite     -64811.1455         -        0.856338E-03
