        T             E               F          S             
     300.0     -64060.7469     -64060.9619  0.716690E-03
     873.0     -64060.7355     -64061.3845  0.743477E-03
    1273.0     -64060.7341     -64061.6822  0.744774E-03
    1673.0     -64060.7335     -64061.9803  0.745232E-03
  Infinite     -64060.7312         -        0.775333E-03
