
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.42306597765389      eV
 Composition: x =   0.24999999999799863     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.560262E-02    0.560262E-02
  1      1       16           -61809.52206      -61059.09899    0.217449E-01    0.135905E-02
  2      1       48           -62559.91747      -61059.07134    0.223853E-01    0.466360E-03
  2      2       24           -62559.92649      -61059.08036    0.158639E-01    0.660997E-03
  2      3       48           -62559.93679      -61059.09065    0.472505E-01    0.984384E-03
  3      1       48           -63310.31227      -61059.04307    0.749919E-02    0.156233E-03
  3      2       32           -63310.31342      -61059.04423    0.522809E-02    0.163378E-03
  3      3       96           -63310.32148      -61059.05228    0.214182E-01    0.223106E-03
  3      4      192           -63310.33108      -61059.06188    0.621062E-01    0.323470E-03
  3      5       96           -63310.33003      -61059.06083    0.298114E-01    0.310535E-03
  3      6       48           -63310.32923      -61059.06004    0.144554E-01    0.301154E-03
  3      7       32           -63310.36223      -61059.09303    0.345380E-01    0.107931E-02
  3      8       16           -63310.29084      -61059.02165    0.109145E-02    0.682154E-04
  4      1       12           -64060.69708      -61059.00481    0.426841E-03    0.355701E-04
  4      2      192           -64060.71656      -61059.02430    0.145117E-01    0.755819E-04
  4      3      192           -64060.71491      -61059.02264    0.136113E-01    0.708922E-04
  4      4       96           -64060.72606      -61059.03380    0.104785E-01    0.109151E-03
  4      5       24           -64060.72769      -61059.03542    0.278968E-02    0.116237E-03
  4      6       96           -64060.73540      -61059.04314    0.150402E-01    0.156669E-03
  4      7       48           -64060.73390      -61059.04164    0.709564E-02    0.147826E-03
  4      8       96           -64060.71444      -61059.02218    0.668485E-02    0.696338E-04
  4      9      192           -64060.73261      -61059.04035    0.270000E-01    0.140625E-03
  4     10       96           -64060.75440      -61059.06213    0.313549E-01    0.326614E-03
  4     11       96           -64060.75643      -61059.06417    0.339189E-01    0.353322E-03
  4     12       96           -64060.72217      -61059.02991    0.901467E-02    0.939028E-04
  4     13       96           -64060.69587      -61059.00361    0.325934E-02    0.339514E-04
  4     14       96           -64060.72462      -61059.03236    0.991116E-02    0.103241E-03
  4     15       96           -64060.73338      -61059.04111    0.139055E-01    0.144848E-03
  4     16      192           -64060.74358      -61059.05131    0.412636E-01    0.214915E-03
  4     17       48           -64060.73462      -61059.04235    0.729434E-02    0.151966E-03
  4     18       24           -64060.74005      -61059.04779    0.449997E-02    0.187499E-03
  4     19        8           -64060.70845      -61059.01619    0.441807E-03    0.552258E-04
  4     20        4           -64060.71469      -61059.02242    0.281177E-03    0.702942E-04
  4     21       12           -64060.72936      -61059.03710    0.148803E-02    0.124003E-03
  4     22        8           -64060.80941      -61059.11714    0.219407E-01    0.274259E-02
  5      1       96           -64811.10732      -61058.99199    0.207965E-02    0.216630E-04
  5      2      192           -64811.12798      -61059.01265    0.924751E-02    0.481641E-04
  5      3       48           -64811.11935      -61059.00402    0.165585E-02    0.344969E-04
  5      4      192           -64811.11591      -61059.00058    0.579728E-02    0.301942E-04
  5      5       96           -64811.13305      -61059.01772    0.562688E-02    0.586134E-04
  5      6      192           -64811.14693      -61059.03160    0.192481E-01    0.100250E-03
  5      7       96           -64811.14333      -61059.02800    0.837266E-02    0.872152E-04
  5      8       96           -64811.11657      -61059.00124    0.297371E-02    0.309762E-04
  5      9       96           -64811.15908      -61059.04375    0.153981E-01    0.160397E-03
  5     10      192           -64811.12358      -61059.00825    0.780206E-02    0.406357E-04
  5     11       96           -64811.15460      -61059.03927    0.129477E-01    0.134871E-03
  5     12       96           -64811.13429      -61059.01896    0.590336E-02    0.614933E-04
  5     13       48           -64811.09652      -61058.98119    0.684611E-03    0.142627E-04
  5     14       96           -64811.09885      -61058.98352    0.149865E-02    0.156109E-04
  5     15       96           -64811.10455      -61058.98922    0.186812E-02    0.194596E-04
  5     16      192           -64811.12491      -61059.00958    0.821268E-02    0.427744E-04
  5     17      192           -64811.13724      -61059.02191    0.132334E-01    0.689237E-04
  5     18      192           -64811.14338      -61059.02805    0.167797E-01    0.873942E-04
  5     19      192           -64811.14607      -61059.03074    0.186197E-01    0.969778E-04
  5     20      192           -64811.15355      -61059.03822    0.248675E-01    0.129518E-03
  5     21       96           -64811.14266      -61059.02733    0.815909E-02    0.849905E-04
  5     22       96           -64811.16473      -61059.04940    0.191580E-01    0.199563E-03
  5     23      192           -64811.12660      -61059.01127    0.876818E-02    0.456676E-04
  5     24      192           -64811.13486      -61059.01954    0.120704E-01    0.628666E-04
  5     25      192           -64811.15418      -61059.03885    0.254790E-01    0.132703E-03
  5     26      192           -64811.14948      -61059.03415    0.212435E-01    0.110643E-03
  5     27       96           -64811.13234      -61059.01701    0.547403E-02    0.570211E-04
  5     28       96           -64811.14099      -61059.02566    0.764957E-02    0.796831E-04
  5     29       96           -64811.10918      -61058.99385    0.223479E-02    0.232790E-04
  5     30       48           -64811.11499      -61058.99966    0.139898E-02    0.291453E-04
  5     31       48           -64811.12250      -61059.00717    0.187027E-02    0.389640E-04
  5     32       96           -64811.15092      -61059.03559    0.112310E-01    0.116990E-03
  5     33       96           -64811.15329      -61059.03796    0.123103E-01    0.128232E-03
  5     34       48           -64811.17400      -61059.05867    0.137104E-01    0.285633E-03
  5     35       96           -64811.20776      -61059.09243    0.101218E+00    0.105435E-02
 ------------------------------
  n      Cumulative prob(n,T) 
     0            0.00560
     1            0.02174
     2            0.08550
     3            0.17615
     4            0.27621
     5            0.43479
 ------------------------------

 ____________________________________________________________________________________________
 Temperature: T =    873.00000000000000      K
 Chemical potential: mu =   -750.45273129181976      eV
 Composition: x =   0.24999999999252431     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.296071E-02    0.296071E-02
  1      1       16           -61809.52206      -61059.06933    0.196276E-01    0.122673E-02
