        T             E               F          S             
     300.0     -68563.3032     -68563.5560  0.842874E-03
     873.0     -68563.2759     -68564.0649  0.903689E-03
    1273.0     -68563.2713     -68564.4274  0.908153E-03
    1673.0     -68563.2689     -68564.7910  0.909833E-03
  Infinite     -68563.2612         -        0.912146E-03
