
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318497      eV
 Composition: x =   0.24999999999485709     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
    11            0.00540
    12            0.00282
    13            0.00101
    14            0.00042
    15            0.00012
    16            0.00002
 ------------------------------

 ____________________________________________________________________________________________
 Temperature: T =    1000.0000000000000      K
 Chemical potential: mu =   -750.50335956147285      eV
 Composition: x =   0.24999999999827568     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.145621E-01    0.145621E-01
  1      1       16           -61809.52206      -61059.01870    0.599977E-01    0.374986E-02
  2      1       48           -62559.91747      -61058.91075    0.514328E-01    0.107152E-02
  2      2       24           -62559.92649      -61058.91977    0.285531E-01    0.118971E-02
  2      3       48           -62559.93679      -61058.93007    0.643536E-01    0.134070E-02
  3      1       48           -63310.31227      -61058.80219    0.145913E-01    0.303985E-03
  3      2       32           -63310.31342      -61058.80334    0.985890E-02    0.308091E-03
  3      3       96           -63310.32148      -61058.81140    0.324747E-01    0.338278E-03
  3      4      192           -63310.33108      -61058.82100    0.726060E-01    0.378156E-03
  3      5       96           -63310.33003      -61058.81995    0.358612E-01    0.373555E-03
  3      6       48           -63310.32923      -61058.81915    0.177664E-01    0.370133E-03
  3      7       32           -63310.36223      -61058.85215    0.173706E-01    0.542831E-03
  3      8       16           -63310.29084      -61058.78077    0.379320E-02    0.237075E-03
  4      1       12           -64060.69708      -61058.68364    0.921650E-03    0.768041E-04
  4      2      192           -64060.71656      -61058.70312    0.184878E-01    0.962908E-04
  4      3      192           -64060.71491      -61058.70147    0.181359E-01    0.944580E-04
  4      4       96           -64060.72606      -61058.71262    0.103214E-01    0.107515E-03
  4      5       24           -64060.72769      -61058.71425    0.262950E-02    0.109563E-03
  4      6       96           -64060.73540      -61058.72197    0.115034E-01    0.119827E-03
  4      7       48           -64060.73390      -61058.72046    0.565231E-02    0.117756E-03
  4      8       96           -64060.71444      -61058.70100    0.901938E-02    0.939519E-04
  4      9      192           -64060.73261      -61058.71917    0.222730E-01    0.116005E-03
  4     10       96           -64060.75440      -61058.74096    0.143397E-01    0.149372E-03
  4     11       96           -64060.75643      -61058.74299    0.146819E-01    0.152936E-03
  4     12       96           -64060.72217      -61058.70873    0.986584E-02    0.102769E-03
  4     13       96           -64060.69587      -61058.68243    0.727090E-02    0.757385E-04
  4     14       96           -64060.72462      -61058.71118    0.101505E-01    0.105734E-03
  4     15       96           -64060.73338      -61058.71994    0.112358E-01    0.117040E-03
  4     16      192           -64060.74358      -61058.73014    0.252953E-01    0.131747E-03
  4     17       48           -64060.73462      -61058.72118    0.569933E-02    0.118736E-03
  4     18       24           -64060.74005      -61058.72661    0.303508E-02    0.126462E-03
  4     19        8           -64060.70845      -61058.69501    0.701119E-03    0.876399E-04
  4     20        4           -64060.71469      -61058.70125    0.376873E-03    0.942183E-04
  4     21       12           -64060.72936      -61058.71592    0.134051E-02    0.111709E-03
  4     22        8           -64060.80941      -61058.79597    0.226255E-02    0.282818E-03
  5      1       96           -64811.10732      -61058.59052    0.250256E-02    0.260683E-04
  5      2      192           -64811.12798      -61058.61118    0.636086E-02    0.331295E-04
  5      3       48           -64811.11935      -61058.60255    0.143871E-02    0.299731E-04
  5      4      192           -64811.11591      -61058.59911    0.552937E-02    0.287988E-04
  5      5       96           -64811.13305      -61058.61626    0.337340E-02    0.351396E-04
  5      6      192           -64811.14693      -61058.63013    0.792547E-02    0.412785E-04
  5      7       96           -64811.14333      -61058.62653    0.380055E-02    0.395891E-04
  5      8       96           -64811.11657      -61058.59977    0.278598E-02    0.290206E-04
  5      9       96           -64811.15908      -61058.64228    0.456277E-02    0.475288E-04
  5     10      192           -64811.12358      -61058.60679    0.604465E-02    0.314826E-04
  5     11       96           -64811.15460      -61058.63780    0.433157E-02    0.451205E-04
  5     12       96           -64811.13429      -61058.61750    0.342229E-02    0.356489E-04
  5     13       48           -64811.09652      -61058.57972    0.110382E-02    0.229963E-04
  5     14       96           -64811.09885      -61058.58205    0.226829E-02    0.236280E-04
  5     15       96           -64811.10455      -61058.58775    0.242331E-02    0.252428E-04
  5     16      192           -64811.12491      -61058.60811    0.613838E-02    0.319708E-04
  5     17      192           -64811.13724      -61058.62045    0.708288E-02    0.368900E-04
  5     18      192           -64811.14338      -61058.62658    0.760578E-02    0.396134E-04
  5     19      192           -64811.14607      -61058.62927    0.784695E-02    0.408695E-04
  5     20      192           -64811.15355      -61058.63675    0.855851E-02    0.445756E-04
  5     21       96           -64811.14266      -61058.62586    0.377120E-02    0.392834E-04
  5     22       96           -64811.16473      -61058.64793    0.487184E-02    0.507483E-04
  5     23      192           -64811.12660      -61058.60980    0.626010E-02    0.326047E-04
  5     24      192           -64811.13486      -61058.61807    0.689009E-02    0.358859E-04
  5     25      192           -64811.15418      -61058.63738    0.862111E-02    0.449016E-04
  5     26      192           -64811.14948      -61058.63268    0.816350E-02    0.425182E-04
  5     27       96           -64811.13234      -61058.61554    0.334564E-02    0.348505E-04
  5     28       96           -64811.14099      -61058.62420    0.369895E-02    0.385308E-04
