  6      6      192           -65561.52659      -61057.83731    0.180651E-03    0.940889E-06
  6      7      192           -65561.55623      -61057.86694    0.236675E-03    0.123268E-05
  6      8       16           -65561.58156      -61057.89228    0.248466E-04    0.155291E-05
  6      9       48           -65561.53048      -61057.84119    0.467899E-04    0.974790E-06
  6     10      192           -65561.50648      -61057.81719    0.150385E-03    0.783256E-06
  6     11       96           -65561.50926      -61057.81997    0.771210E-04    0.803344E-06
  6     12       32           -65561.53261      -61057.84333    0.318069E-04    0.993965E-06
  6     13      192           -65561.53638      -61057.84709    0.197501E-03    0.102865E-05
  6     14      192           -65561.55508      -61057.86579    0.234211E-03    0.121985E-05
  6     15      192           -65561.56568      -61057.87639    0.257974E-03    0.134361E-05
  6     16      192           -65561.52769      -61057.83841    0.182466E-03    0.950345E-06
  6     17      192           -65561.54578      -61057.85649    0.215167E-03    0.112066E-05
  6     18       64           -65561.54481      -61057.85552    0.710937E-04    0.111084E-05
  6     19      192           -65561.55339      -61057.86411    0.230645E-03    0.120128E-05
  6     20       96           -65561.56876      -61057.87947    0.132659E-03    0.138186E-05
  6     21      192           -65561.56988      -61057.88060    0.268050E-03    0.139609E-05
  6     22      192           -65561.54427      -61057.85498    0.212226E-03    0.110534E-05
  6     23      192           -65561.55311      -61057.86382    0.230044E-03    0.119815E-05
  6     24      192           -65561.57385      -61057.88456    0.277916E-03    0.144748E-05
  6     25      192           -65561.56475      -61057.87547    0.255799E-03    0.133228E-05
  6     26       96           -65561.58096      -61057.89168    0.148272E-03    0.154450E-05
  6     27      192           -65561.56031      -61057.87103    0.245654E-03    0.127945E-05
  6     28       96           -65561.53571      -61057.84643    0.981557E-04    0.102245E-05
  6     29      192           -65561.55869      -61057.86940    0.242047E-03    0.126066E-05
  6     30      192           -65561.55524      -61057.86596    0.234559E-03    0.122166E-05
  6     31      192           -65561.55868      -61057.86939    0.242020E-03    0.126052E-05
  6     32      192           -65561.56461      -61057.87532    0.255470E-03    0.133057E-05
