
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.50808041108280      eV
 Composition: x =    6.2500000012477158E-002

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
 10     59       96           -68563.30455      -61058.22375    0.731914E-08    0.762411E-10
 10     60       96           -68563.30780      -61058.22700    0.792683E-08    0.825711E-10
 10     61       16           -68563.23690      -61058.15609    0.231992E-09    0.144995E-10
 10     62       96           -68563.29162      -61058.21081    0.532905E-08    0.555109E-10
 10     63       48           -68563.30391      -61058.22311    0.360238E-08    0.750496E-10
 10     64       96           -68563.29514      -61058.21434    0.581043E-08    0.605253E-10
 10     65       48           -68563.32761      -61058.24680    0.644318E-08    0.134233E-09
 11      1       96           -69313.62809      -61058.03921    0.791098E-10    0.824060E-12
 11      2       48           -69313.62715      -61058.03827    0.386512E-10    0.805234E-12
 11      3       96           -69313.65893      -61058.07005    0.168572E-09    0.175596E-11
 11      4      192           -69313.68541      -61058.09653    0.645590E-09    0.336245E-11
 11      5       96           -69313.62681      -61058.03793    0.766640E-10    0.798584E-12
 11      6      192           -69313.65819      -61058.06931    0.331102E-09    0.172449E-11
 11      7      192           -69313.65744      -61058.06856    0.325066E-09    0.169305E-11
 11      8      192           -69313.65830      -61058.06941    0.331940E-09    0.172885E-11
 11      9      192           -69313.67591      -61058.08702    0.511307E-09    0.266306E-11
 11     10      192           -69313.65793      -61058.06905    0.328989E-09    0.171348E-11
 11     11       96           -69313.63928      -61058.05040    0.104097E-09    0.108434E-11
 11     12       96           -69313.70426      -61058.11538    0.512592E-09    0.533950E-11
 11     13      192           -69313.70946      -61058.12057    0.116463E-08    0.606576E-11
 11     14       96           -69313.68995      -61058.10107    0.360819E-09    0.375853E-11
 11     15       96           -69313.70310      -61058.11422    0.498259E-09    0.519020E-11
 11     16      192           -69313.66833      -61058.07944    0.424539E-09    0.221114E-11
 11     17      192           -69313.70143      -61058.11255    0.956444E-09    0.498148E-11
 11     18       48           -69313.70704      -61058.11815    0.274353E-09    0.571569E-11
 11     19      192           -69313.71851      -61058.12963    0.145420E-08    0.757396E-11
 11     20       48           -69313.64847      -61058.05959    0.652118E-10    0.135858E-11
 11     21       96           -69313.66195      -61058.07306    0.181518E-09    0.189081E-11
 11     22       48           -69313.62968      -61058.04080    0.411243E-10    0.856757E-12
