
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.46577393955181      eV
 Composition: x =   0.18749999999407355     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.595724E-01    0.595724E-01
  1      1       16           -61809.52206      -61059.05628    0.136130E+00    0.850813E-02
  2      1       48           -62559.91747      -61058.98593    0.726787E-01    0.151414E-02
  2      2       24           -62559.92649      -61058.99494    0.453370E-01    0.188904E-02
  2      3       48           -62559.93679      -61059.00524    0.116731E+00    0.243189E-02
  3      1       48           -63310.31227      -61058.91495    0.127386E-01    0.265388E-03
  3      2       32           -63310.31342      -61058.91610    0.873670E-02    0.273022E-03
  3      3       96           -63310.32148      -61058.92416    0.319370E-01    0.332677E-03
  3      4      192           -63310.33108      -61058.93376    0.808432E-01    0.421058E-03
  3      5       96           -63310.33003      -61058.93270    0.393888E-01    0.410300E-03
  3      6       48           -63310.32923      -61058.93191    0.193149E-01    0.402394E-03
  3      7       32           -63310.36223      -61058.96491    0.289337E-01    0.904177E-03
  3      8       16           -63310.29084      -61058.89352    0.251039E-02    0.156899E-03
  4      1       12           -64060.69708      -61058.83398    0.436905E-03    0.364088E-04
  4      2      192           -64060.71656      -61058.85347    0.112750E-01    0.587242E-04
  4      3      192           -64060.71491      -61058.85181    0.108261E-01    0.563862E-04
  4      4       96           -64060.72606      -61058.86297    0.711739E-02    0.741395E-04
  4      5       24           -64060.72769      -61058.86459    0.185176E-02    0.771568E-04
  4      6       96           -64060.73540      -61058.87231    0.895096E-02    0.932392E-04
  4      7       48           -64060.73390      -61058.87081    0.431356E-02    0.898658E-04
  4      8       96           -64060.71444      -61058.85135    0.535193E-02    0.557493E-04
  4      9      192           -64060.73261      -61058.86952    0.167163E-01    0.870641E-04
  4     10       96           -64060.75440      -61058.89130    0.142636E-01    0.148579E-03
  4     11       96           -64060.75643      -61058.89333    0.149927E-01    0.156173E-03
  4     12       96           -64060.72217      -61058.85908    0.646954E-02    0.673910E-04
  4     13       96           -64060.69587      -61058.83278    0.339351E-02    0.353490E-04
  4     14       96           -64060.72462      -61058.86153    0.687050E-02    0.715677E-04
  4     15       96           -64060.73338      -61058.87028    0.851650E-02    0.887136E-04
  4     16      192           -64060.74358      -61058.88048    0.218762E-01    0.113938E-03
  4     17       48           -64060.73462      -61058.87152    0.438979E-02    0.914539E-04
  4     18       24           -64060.74005      -61058.87695    0.250779E-02    0.104491E-03
  4     19        8           -64060.70845      -61058.84535    0.385012E-03    0.481265E-04
  4     20        4           -64060.71469      -61058.85159    0.224336E-03    0.560840E-04
  4     21       12           -64060.72936      -61058.86626    0.964652E-03    0.803877E-04
  4     22        8           -64060.80941      -61058.94631    0.458325E-02    0.572906E-03
  5      1       96           -64811.10732      -61058.77845    0.895018E-03    0.932311E-05
  5      2      192           -64811.12798      -61058.79911    0.297132E-02    0.154756E-04
  5      3       48           -64811.11935      -61058.79048    0.601117E-03    0.125233E-04
  5      4      192           -64811.11591      -61058.78704    0.220965E-02    0.115086E-04
  5      5       96           -64811.13305      -61058.80418    0.168269E-02    0.175280E-04
  5      6      192           -64811.14693      -61058.81806    0.473011E-02    0.246360E-04
  5      7       96           -64811.14333      -61058.81446    0.216507E-02    0.225529E-04
  5      8       96           -64811.11657      -61058.78770    0.112289E-02    0.116968E-04
  5      9       96           -64811.15908      -61058.83021    0.318639E-02    0.331915E-04
  5     10      192           -64811.12358      -61058.79471    0.266767E-02    0.138941E-04
  5     11       96           -64811.15460      -61058.82573    0.285466E-02    0.297360E-04
  5     12       96           -64811.13429      -61058.80542    0.173467E-02    0.180695E-04
  5     13       48           -64811.09652      -61058.76765    0.343301E-03    0.715211E-05
  5     14       96           -64811.09885      -61058.76998    0.727084E-03    0.757380E-05
  5     15       96           -64811.10455      -61058.77568    0.836153E-03    0.870993E-05
  5     16      192           -64811.12491      -61058.79604    0.275588E-02    0.143536E-04
  5     17      192           -64811.13724      -61058.80837    0.372965E-02    0.194252E-04
  5     18      192           -64811.14338      -61058.81451    0.433578E-02    0.225822E-04
  5     19      192           -64811.14607      -61058.81720    0.463158E-02    0.241228E-04
  5     20      192           -64811.15355      -61058.82468    0.556452E-02    0.289819E-04
  5     21       96           -64811.14266      -61058.81379    0.212988E-02    0.221863E-04
  5     22       96           -64811.16473      -61058.83586    0.365997E-02    0.381247E-04
  5     23      192           -64811.12660      -61058.79773    0.287269E-02    0.149619E-04
  5     24      192           -64811.13486      -61058.80600    0.351828E-02    0.183244E-04
  5     25      192           -64811.15418      -61058.82531    0.565092E-02    0.294319E-04
  5     26      192           -64811.14948      -61058.82061    0.503548E-02    0.262265E-04
  5     27       96           -64811.13234      -61058.80347    0.165355E-02    0.172245E-04
  5     28       96           -64811.14099      -61058.81212    0.204453E-02    0.212972E-04
  5     29       96           -64811.10918      -61058.78031    0.936807E-03    0.975841E-05
  5     30       48           -64811.11499      -61058.78612    0.540163E-03    0.112534E-04
  5     31       48           -64811.12250      -61058.79363    0.649383E-03    0.135288E-04
  5     32       96           -64811.15092      -61058.82205    0.260841E-02    0.271709E-04
  5     33       96           -64811.15329      -61058.82442    0.276471E-02    0.287990E-04
  5     34       48           -64811.17400      -61058.84513    0.229730E-02    0.478605E-04
  5     35       96           -64811.20776      -61058.87889    0.105191E-01    0.109574E-03
  6      1       48           -65561.52021      -61058.72557    0.122263E-03    0.254715E-05
  6      2       96           -65561.51663      -61058.72199    0.223993E-03    0.233326E-05
  6      3       96           -65561.53725      -61058.74260    0.371410E-03    0.386886E-05
  6      4       96           -65561.55042      -61058.75577    0.513098E-03    0.534477E-05
  6      5      192           -65561.54507      -61058.75043    0.900056E-03    0.468779E-05
  6      6      192           -65561.52659      -61058.73195    0.571989E-03    0.297911E-05
  6      7      192           -65561.55623      -61058.76158    0.118335E-02    0.616330E-05
  6      8       16           -65561.58156      -61058.78692    0.183597E-03    0.114748E-04
  6      9       48           -65561.53048      -61058.73583    0.157290E-03    0.327687E-05
  6     10      192           -65561.50648      -61058.71184    0.349192E-03    0.181871E-05
  6     11       96           -65561.50926      -61058.71461    0.186910E-03    0.194698E-05
  6     12       32           -65561.53261      -61058.73797    0.110504E-03    0.345326E-05
  6     13      192           -65561.53638      -61058.74173    0.727151E-03    0.378725E-05
  6     14      192           -65561.55508      -61058.76043    0.115049E-02    0.599213E-05
  6     15      192           -65561.56568      -61058.77104    0.149223E-02    0.777202E-05
  6     16      192           -65561.52769      -61058.73305    0.587593E-03    0.306038E-05
  6     17      192           -65561.54578      -61058.75113    0.915714E-03    0.476934E-05
  6     18       64           -65561.54481      -61058.75017    0.298089E-03    0.465764E-05
  6     19      192           -65561.55339      -61058.75875    0.110395E-02    0.574975E-05
  6     20       96           -65561.56876      -61058.77411    0.804658E-03    0.838186E-05
  6     21      192           -65561.56988      -61058.77524    0.165431E-02    0.861621E-05
  6     22      192           -65561.54427      -61058.74962    0.882411E-03    0.459589E-05
  6     23      192           -65561.55311      -61058.75847    0.109623E-02    0.570955E-05
  6     24      192           -65561.57385      -61058.77920    0.182333E-02    0.949649E-05
  6     25      192           -65561.56475      -61058.77011    0.145860E-02    0.759688E-05
  6     26       96           -65561.58096      -61058.78632    0.108559E-02    0.113082E-04
  6     27      192           -65561.56031      -61058.76567    0.130810E-02    0.681300E-05
  6     28       96           -65561.53571      -61058.74107    0.357710E-03    0.372614E-05
  6     29      192           -65561.55869      -61058.76404    0.125703E-02    0.654705E-05
  6     30      192           -65561.55524      -61058.76060    0.115510E-02    0.601614E-05
  6     31      192           -65561.55868      -61058.76403    0.125666E-02    0.654512E-05
  6     32      192           -65561.56461      -61058.76997    0.145356E-02    0.757065E-05
  6     33       48           -65561.50632      -61058.71167    0.869474E-04    0.181141E-05
  6     34      192           -65561.52438      -61058.72974    0.541749E-03    0.282161E-05
  6     35       32           -65561.54198      -61058.74734    0.139064E-03    0.434576E-05
  6     36      192           -65561.51409      -61058.71945    0.420880E-03    0.219209E-05
  6     37       48           -65561.51811      -61058.72346    0.116121E-03    0.241918E-05
  6     38       96           -65561.51989      -61058.72524    0.242608E-03    0.252717E-05
  6     39       96           -65561.51745      -61058.72281    0.228545E-03    0.238068E-05
  6     40       96           -65561.52718      -61058.73254    0.290136E-03    0.302225E-05
  6     41       48           -65561.51654      -61058.72190    0.111750E-03    0.232812E-05
  6     42      192           -65561.54816      -61058.75352    0.970941E-03    0.505699E-05
  6     43       24           -65561.51377      -61058.71913    0.522012E-04    0.217505E-05
  6     44       96           -65561.52518      -61058.73054    0.276237E-03    0.287746E-05
  6     45      192           -65561.54372      -61058.74907    0.870627E-03    0.453451E-05
  6     46      192           -65561.55012      -61058.75547    0.101865E-02    0.530545E-05
  6     47       96           -65561.54490      -61058.75026    0.448166E-03    0.466839E-05
  6     48       96           -65561.55341      -61058.75877    0.552206E-03    0.575215E-05
  6     49       96           -65561.57079      -61058.77615    0.845790E-03    0.881031E-05
  6     50       48           -65561.53532      -61058.74067    0.177126E-03    0.369012E-05
  6     51       96           -65561.57028      -61058.77564    0.835355E-03    0.870161E-05
  6     52      192           -65561.57470      -61058.78005    0.186170E-02    0.969637E-05
  6     53       96           -65561.57929      -61058.78465    0.104201E-02    0.108543E-04
  6     54       48           -65561.57496      -61058.78032    0.468462E-03    0.975962E-05
  6     55      192           -65561.56311      -61058.76847    0.140115E-02    0.729764E-05
  6     56       96           -65561.57904      -61058.78440    0.103564E-02    0.107879E-04
  6     57       16           -65561.54741      -61058.75277    0.794327E-04    0.496454E-05
  6     58       48           -65561.51364      -61058.71900    0.104065E-03    0.216802E-05
  6     59       48           -65561.55833      -61058.76368    0.311487E-03    0.648932E-05
  6     60       96           -65561.60610      -61058.81146    0.201135E-02    0.209515E-04
  6     61      192           -65561.59742      -61058.80277    0.325080E-02    0.169312E-04
  6     62       96           -65561.62828      -61058.83364    0.346613E-02    0.361056E-04
  6     63       96           -65561.60348      -61058.80883    0.188599E-02    0.196457E-04
  6     64       48           -65561.61413      -61058.81949    0.122469E-02    0.255144E-04
  6     65       48           -65561.59121      -61058.79656    0.697852E-03    0.145386E-04
  7      1      192           -66311.94451      -61058.68409    0.176793E-03    0.920798E-06
  7      2       48           -66311.97842      -61058.71801    0.101565E-03    0.211595E-05
  7      3       96           -66311.94963      -61058.68922    0.100240E-03    0.104417E-05
  7      4       96           -66311.91560      -61058.65518    0.434923E-04    0.453045E-06
  7      5       48           -66311.91094      -61058.65052    0.193940E-04    0.404041E-06
  7      6       96           -66311.93192      -61058.67150    0.649084E-04    0.676129E-06
  7      7       96           -66311.96458      -61058.70416    0.144644E-03    0.150671E-05
  7      8      192           -66311.94323      -61058.68281    0.171336E-03    0.892375E-06
  7      9      192           -66311.96152      -61058.70110    0.268353E-03    0.139767E-05
  7     10      192           -66311.97454      -61058.71412    0.369336E-03    0.192363E-05
  7     11      192           -66311.98827      -61058.72785    0.517291E-03    0.269423E-05
  7     12      192           -66311.96920      -61058.70879    0.324025E-03    0.168763E-05
  7     13      192           -66311.97897      -61058.71855    0.411750E-03    0.214453E-05
  7     14      192           -66311.95455      -61058.69413    0.226145E-03    0.117784E-05
  7     15      192           -66311.94879      -61058.68837    0.196362E-03    0.102272E-05
  7     16      192           -66311.97501      -61058.71459    0.373629E-03    0.194598E-05
  7     17      192           -66311.97941      -61058.71899    0.416199E-03    0.216770E-05
  7     18      192           -66311.97931      -61058.71889    0.415148E-03    0.216223E-05
  7     19       96           -66311.98554      -61058.72513    0.241902E-03    0.251981E-05
  7     20       96           -66311.97225      -61058.71184    0.174601E-03    0.181876E-05
  7     21      192           -66311.93300      -61058.67258    0.133296E-03    0.694250E-06
