Structure,Energy,Nucleus,delta_iso
01,-70064.065172,Sn01,-656.1151330729708
01,-70064.065172,Sn02,-656.1145311353207
01,-70064.065172,Sn03,-656.115117496066
01,-70064.065172,Sn04,-656.123907035822
01,-70064.065172,Sn05,-656.120005967915
01,-70064.065172,Sn06,-656.1205375191203
01,-70064.065172,Sn07,-656.121179859907
01,-70064.065172,Sn08,-656.1205502821231
01,-70064.065172,Sn09,-656.1243966538659
01,-70064.065172,Sn10,-656.1207436912805
01,-70064.065172,Sn11,-656.1208094669887
01,-70064.065172,Sn12,-656.1234809528696
02,-70064.093101,Sn01,-646.1909542134363
02,-70064.093101,Sn02,-646.5102845964157
02,-70064.093101,Sn03,-656.299437451662
02,-70064.093101,Sn04,-659.0824422765181
02,-70064.093101,Sn05,-648.691864059464
02,-70064.093101,Sn06,-655.9508232788976
02,-70064.093101,Sn07,-657.890690253756
02,-70064.093101,Sn08,-657.2097414571704
02,-70064.093101,Sn09,-658.1299551355287
02,-70064.093101,Sn10,-658.086196569092
02,-70064.093101,Sn11,-656.1139328914355
02,-70064.093101,Sn12,-647.1352820241373
03,-70064.123513,Sn01,-637.0626922115798
03,-70064.123513,Sn02,-647.5106997694525
03,-70064.123513,Sn03,-647.5101981343682
03,-70064.123513,Sn04,-658.7332127404088
03,-70064.123513,Sn05,-647.0852653021097
03,-70064.123513,Sn06,-647.0849679708676
03,-70064.123513,Sn07,-658.4218918928627
03,-70064.123513,Sn08,-658.4216051068615
03,-70064.123513,Sn09,-649.2764966782247
03,-70064.123513,Sn10,-655.9131166689667
03,-70064.123513,Sn11,-655.9128289636838
03,-70064.123513,Sn12,-649.2753217727795
04,-70064.133866,Sn01,-636.7989440624851
04,-70064.133866,Sn02,-648.1966813343315
04,-70064.133866,Sn03,-648.1968462779273
04,-70064.133866,Sn04,-656.2265270565254
04,-70064.133866,Sn05,-647.3879655287201
04,-70064.133866,Sn06,-647.3878656353309
04,-70064.133866,Sn07,-657.0974490246144
04,-70064.133866,Sn08,-657.0968870508091
04,-70064.133866,Sn09,-647.5451900475382
04,-70064.133866,Sn10,-657.8099304399543
04,-70064.133866,Sn11,-657.8097412212164
04,-70064.133866,Sn12,-647.5453277886036
05,-70064.131713,Sn01,-648.2108038223005
05,-70064.131713,Sn02,-646.3983144143449
05,-70064.131713,Sn03,-648.2109906179612
05,-70064.131713,Sn04,-646.3991148356699
05,-70064.131713,Sn05,-649.1921970127078
05,-70064.131713,Sn06,-656.5640052413469
05,-70064.131713,Sn07,-649.1922422549478
05,-70064.131713,Sn08,-656.5643281513285
05,-70064.131713,Sn09,-657.3533434406922
05,-70064.131713,Sn10,-658.8023469092095
05,-70064.131713,Sn11,-658.8020608487454
05,-70064.131713,Sn12,-638.6242317553238
06,-70064.092314,Sn01,-645.7681200253519
