        T             E               F          S             
     473.0     -63310.3369     -63310.6479  0.657496E-03
     873.0     -63310.3333     -63310.9125  0.663390E-03
    1273.0     -63310.3322     -63311.1781  0.664484E-03
    1673.0     -63310.3316     -63311.4440  0.664868E-03
  Infinite     -63310.3300         -        0.665366E-03
