        T             E               F          S             
     300.0     -67062.4428     -67062.7080  0.883962E-03
     873.0     -67062.4145     -67063.2417  0.947491E-03
    1273.0     -67062.4100     -67063.6217  0.951878E-03
    1673.0     -67062.4076     -67064.0028  0.953500E-03
  Infinite     -67062.4003         -        0.955694E-03
