        T             E               F          S             
     473.0     -71565.0585     -71565.3004  0.511244E-03
     873.0     -71565.0549     -71565.5064  0.517121E-03
    1273.0     -71565.0536     -71565.7135  0.518382E-03
    1673.0     -71565.0530     -71565.9210  0.518848E-03
  Infinite     -71565.0509         -        0.519481E-03
