Structure,Energy,Nucleus,delta_iso
01,-63310.312267,Sn01,-650.8682741646126
01,-63310.312267,Sn02,-650.8686171909953
01,-63310.312267,Sn03,-651.0976122855127
02,-63310.313423,Sn01,-650.4130627999034
02,-63310.313423,Sn02,-650.4126606547393
02,-63310.313423,Sn03,-650.5490932653333
03,-63310.321478,Sn01,-656.5969355738289
03,-63310.321478,Sn02,-656.5970683516111
03,-63310.321478,Sn03,-651.0043001132635
04,-63310.331081,Sn01,-656.5942478184852
04,-63310.331081,Sn02,-656.855015050257
04,-63310.331081,Sn03,-650.6680977408482
05,-63310.330026,Sn01,-662.3574623117102
05,-63310.330026,Sn02,-657.3577531405253
05,-63310.330026,Sn03,-657.3477339554465
06,-63310.329233,Sn01,-657.1928394886991
06,-63310.329233,Sn02,-657.1924661935855
06,-63310.329233,Sn03,-663.4762899132529
07,-63310.362232,Sn01,-654.4406609172202
07,-63310.362232,Sn02,-654.4348375427376
07,-63310.362232,Sn03,-654.4097395209856
08,-63310.290844,Sn01,-651.2488228068041
08,-63310.290844,Sn02,-651.2565389189363
08,-63310.290844,Sn03,-651.2448567078332
<class 'numpy.ndarray'>
[[0. 0. 0.]]
