        T             E               F          S             
     300.0     -65561.5935     -65561.8491  0.852202E-03
     873.0     -65561.5698     -65562.3607  0.905993E-03
    1273.0     -65561.5663     -65562.7239  0.909340E-03
    1673.0     -65561.5646     -65563.0879  0.910548E-03
  Infinite     -65561.5593         -        0.912146E-03
