        T             E               F          S             
     300.0     -71565.0633     -71565.2128  0.498135E-03
     873.0     -71565.0549     -71565.5064  0.517121E-03
    1273.0     -71565.0536     -71565.7135  0.518382E-03
    1673.0     -71565.0530     -71565.9210  0.518848E-03
  Infinite     -71565.0509         -        0.519481E-03
