 Configuration with minimum energy:           65
 Configuration with maximum energy:           25

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.128101E+00      0.0008      0.0000
         2       192  0.101377E+00      0.0046      0.0000
         3        96  0.129085E+00      0.0008      0.0000
         4        96  0.129226E+00      0.0008      0.0000
         5        48  0.116367E+00      0.0006      0.0000
         6        48  0.859060E-01      0.0021      0.0000
         7       192  0.130521E+00      0.0015      0.0000
         8        96  0.119767E+00      0.0011      0.0000
         9        96  0.113965E+00      0.0014      0.0000
        10       192  0.699440E-01      0.0156      0.0001
        11        96  0.129640E+00      0.0008      0.0000
        12       192  0.993560E-01      0.0050      0.0000
        13        96  0.808920E-01      0.0051      0.0001
        14       192  0.814690E-01      0.0100      0.0001
        15        96  0.100675E+00      0.0024      0.0000
        16       192  0.104256E+00      0.0041      0.0000
        17       192  0.721440E-01      0.0143      0.0001
        18       192  0.720030E-01      0.0144      0.0001
        19       192  0.729050E-01      0.0139      0.0001
        20       192  0.635410E-01      0.0200      0.0001
        21       192  0.525380E-01      0.0306      0.0002
        22       192  0.550840E-01      0.0277      0.0001
        23       192  0.927720E-01      0.0065      0.0000
        24       192  0.129127E+00      0.0016      0.0000
        25        96  0.130951E+00      0.0007      0.0000
        26        96  0.950190E-01      0.0030      0.0000
        27       192  0.100263E+00      0.0048      0.0000
        28        64  0.716020E-01      0.0049      0.0001
        29       192  0.817690E-01      0.0099      0.0001
        30       192  0.985500E-01      0.0052      0.0000
        31       192  0.796890E-01      0.0107      0.0001
        32       192  0.827540E-01      0.0095      0.0000
        33       192  0.638900E-01      0.0197      0.0001
        34        96  0.978150E-01      0.0027      0.0000
        35        48  0.119605E+00      0.0006      0.0000
        36       192  0.836560E-01      0.0092      0.0000
        37        48  0.120649E+00      0.0005      0.0000
        38       192  0.387230E-01      0.0522      0.0003
        39       192  0.391740E-01      0.0513      0.0003
        40        96  0.313530E-01      0.0347      0.0004
        41        96  0.337750E-01      0.0316      0.0003
        42        32  0.705700E-01      0.0025      0.0001
        43        16  0.567880E-01      0.0022      0.0001
        44        48  0.122260E+00      0.0005      0.0000
        45       192  0.740580E-01      0.0133      0.0001
        46        48  0.827270E-01      0.0024      0.0000
        47       192  0.553040E-01      0.0275      0.0001
        48       192  0.720340E-01      0.0144      0.0001
        49        48  0.112142E+00      0.0008      0.0000
        50        48  0.598710E-01      0.0058      0.0001
        51       192  0.331970E-01      0.0647      0.0003
        52       192  0.219540E-01      0.0999      0.0005
        53        24  0.102269E+00      0.0006      0.0000
        54        96  0.247500E-01      0.0448      0.0005
        55        96  0.112336E+00      0.0015      0.0000
        56        32  0.790950E-01      0.0018      0.0001
        57        96  0.612070E-01      0.0109      0.0001
        58        48  0.249770E-01      0.0222      0.0005
        59        96  0.230570E-01      0.0479      0.0005
        60        96  0.198060E-01      0.0543      0.0006
        61        16  0.907100E-01      0.0006      0.0000
        62        96  0.359910E-01      0.0290      0.0003
        63        48  0.236990E-01      0.0234      0.0005
        64        96  0.324660E-01      0.0333      0.0003
        65        48  0.000000E+00      0.0584      0.0012


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.128101E+00      0.0056      0.0001
         2       192  0.101377E+00      0.0159      0.0001
         3        96  0.129085E+00      0.0055      0.0001
         4        96  0.129226E+00      0.0055      0.0001
         5        48  0.116367E+00      0.0033      0.0001
         6        48  0.859060E-01      0.0049      0.0001
         7       192  0.130521E+00      0.0108      0.0001
         8        96  0.119767E+00      0.0062      0.0001
         9        96  0.113965E+00      0.0067      0.0001
        10       192  0.699440E-01      0.0242      0.0001
        11        96  0.129640E+00      0.0055      0.0001
        12       192  0.993560E-01      0.0164      0.0001
        13        96  0.808920E-01      0.0105      0.0001
        14       192  0.814690E-01      0.0208      0.0001
        15        96  0.100675E+00      0.0080      0.0001
        16       192  0.104256E+00      0.0153      0.0001
        17       192  0.721440E-01      0.0235      0.0001
        18       192  0.720030E-01      0.0236      0.0001
        19       192  0.729050E-01      0.0233      0.0001
        20       192  0.635410E-01      0.0264      0.0001
        21       192  0.525380E-01      0.0305      0.0002
        22       192  0.550840E-01      0.0295      0.0002
        23       192  0.927720E-01      0.0179      0.0001
        24       192  0.129127E+00      0.0110      0.0001
        25        96  0.130951E+00      0.0054      0.0001
        26        96  0.950190E-01      0.0087      0.0001
        27       192  0.100263E+00      0.0162      0.0001
        28        64  0.716020E-01      0.0079      0.0001
        29       192  0.817690E-01      0.0207      0.0001
        30       192  0.985500E-01      0.0166      0.0001
        31       192  0.796890E-01      0.0213      0.0001
        32       192  0.827540E-01      0.0204      0.0001
        33       192  0.638900E-01      0.0262      0.0001
        34        96  0.978150E-01      0.0084      0.0001
        35        48  0.119605E+00      0.0031      0.0001
        36       192  0.836560E-01      0.0202      0.0001
        37        48  0.120649E+00      0.0031      0.0001
        38       192  0.387230E-01      0.0367      0.0002
        39       192  0.391740E-01      0.0364      0.0002
        40        96  0.313530E-01      0.0202      0.0002
        41        96  0.337750E-01      0.0196      0.0002
        42        32  0.705700E-01      0.0040      0.0001
        43        16  0.567880E-01      0.0024      0.0002
        44        48  0.122260E+00      0.0030      0.0001
        45       192  0.740580E-01      0.0229      0.0001
        46        48  0.827270E-01      0.0051      0.0001
        47       192  0.553040E-01      0.0294      0.0002
        48       192  0.720340E-01      0.0235      0.0001
        49        48  0.112142E+00      0.0035      0.0001
        50        48  0.598710E-01      0.0069      0.0001
        51       192  0.331970E-01      0.0395      0.0002
        52       192  0.219540E-01      0.0458      0.0002
        53        24  0.102269E+00      0.0020      0.0001
        54        96  0.247500E-01      0.0221      0.0002
        55        96  0.112336E+00      0.0069      0.0001
        56        32  0.790950E-01      0.0036      0.0001
        57        96  0.612070E-01      0.0136      0.0001
        58        48  0.249770E-01      0.0110      0.0002
        59        96  0.230570E-01      0.0226      0.0002
        60        96  0.198060E-01      0.0236      0.0002
        61        16  0.907100E-01      0.0015      0.0001
        62        96  0.359910E-01      0.0190      0.0002
        63        48  0.236990E-01      0.0112      0.0002
        64        96  0.324660E-01      0.0199      0.0002
        65        48  0.000000E+00      0.0153      0.0003


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.128101E+00      0.0072      0.0001
         2       192  0.101377E+00      0.0185      0.0001
         3        96  0.129085E+00      0.0072      0.0001
         4        96  0.129226E+00      0.0072      0.0001
         5        48  0.116367E+00      0.0040      0.0001
         6        48  0.859060E-01      0.0053      0.0001
         7       192  0.130521E+00      0.0142      0.0001
         8        96  0.119767E+00      0.0078      0.0001
         9        96  0.113965E+00      0.0082      0.0001
        10       192  0.699440E-01      0.0246      0.0001
        11        96  0.129640E+00      0.0071      0.0001
        12       192  0.993560E-01      0.0188      0.0001
        13        96  0.808920E-01      0.0111      0.0001
        14       192  0.814690E-01      0.0221      0.0001
        15        96  0.100675E+00      0.0093      0.0001
        16       192  0.104256E+00      0.0180      0.0001
        17       192  0.721440E-01      0.0241      0.0001
        18       192  0.720030E-01      0.0241      0.0001
        19       192  0.729050E-01      0.0239      0.0001
        20       192  0.635410E-01      0.0261      0.0001
        21       192  0.525380E-01      0.0288      0.0002
        22       192  0.550840E-01      0.0282      0.0001
        23       192  0.927720E-01      0.0200      0.0001
        24       192  0.129127E+00      0.0143      0.0001
        25        96  0.130951E+00      0.0071      0.0001
        26        96  0.950190E-01      0.0098      0.0001
        27       192  0.100263E+00      0.0187      0.0001
        28        64  0.716020E-01      0.0081      0.0001
        29       192  0.817690E-01      0.0221      0.0001
        30       192  0.985500E-01      0.0190      0.0001
        31       192  0.796890E-01      0.0225      0.0001
        32       192  0.827540E-01      0.0219      0.0001
        33       192  0.638900E-01      0.0260      0.0001
        34        96  0.978150E-01      0.0095      0.0001
        35        48  0.119605E+00      0.0039      0.0001
        36       192  0.836560E-01      0.0217      0.0001
        37        48  0.120649E+00      0.0039      0.0001
        38       192  0.387230E-01      0.0327      0.0002
        39       192  0.391740E-01      0.0326      0.0002
        40        96  0.313530E-01      0.0175      0.0002
        41        96  0.337750E-01      0.0171      0.0002
        42        32  0.705700E-01      0.0041      0.0001
        43        16  0.567880E-01      0.0023      0.0001
        44        48  0.122260E+00      0.0038      0.0001
        45       192  0.740580E-01      0.0237      0.0001
        46        48  0.827270E-01      0.0055      0.0001
        47       192  0.553040E-01      0.0281      0.0001
        48       192  0.720340E-01      0.0241      0.0001
        49        48  0.112142E+00      0.0042      0.0001
        50        48  0.598710E-01      0.0067      0.0001
        51       192  0.331970E-01      0.0344      0.0002
        52       192  0.219540E-01      0.0381      0.0002
        53        24  0.102269E+00      0.0023      0.0001
        54        96  0.247500E-01      0.0186      0.0002
        55        96  0.112336E+00      0.0084      0.0001
        56        32  0.790950E-01      0.0038      0.0001
        57        96  0.612070E-01      0.0133      0.0001
        58        48  0.249770E-01      0.0093      0.0002
        59        96  0.230570E-01      0.0189      0.0002
        60        96  0.198060E-01      0.0194      0.0002
        61        16  0.907100E-01      0.0017      0.0001
        62        96  0.359910E-01      0.0168      0.0002
        63        48  0.236990E-01      0.0094      0.0002
        64        96  0.324660E-01      0.0173      0.0002
        65        48  0.000000E+00      0.0116      0.0002


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.128101E+00      0.0082      0.0001
         2       192  0.101377E+00      0.0198      0.0001
         3        96  0.129085E+00      0.0082      0.0001
         4        96  0.129226E+00      0.0082      0.0001
         5        48  0.116367E+00      0.0045      0.0001
         6        48  0.859060E-01      0.0055      0.0001
         7       192  0.130521E+00      0.0162      0.0001
         8        96  0.119767E+00      0.0087      0.0001
         9        96  0.113965E+00      0.0091      0.0001
        10       192  0.699440E-01      0.0246      0.0001
        11        96  0.129640E+00      0.0081      0.0001
        12       192  0.993560E-01      0.0201      0.0001
        13        96  0.808920E-01      0.0114      0.0001
        14       192  0.814690E-01      0.0227      0.0001
        15        96  0.100675E+00      0.0100      0.0001
        16       192  0.104256E+00      0.0194      0.0001
        17       192  0.721440E-01      0.0243      0.0001
        18       192  0.720030E-01      0.0243      0.0001
        19       192  0.729050E-01      0.0241      0.0001
        20       192  0.635410E-01      0.0258      0.0001
        21       192  0.525380E-01      0.0278      0.0001
        22       192  0.550840E-01      0.0273      0.0001
        23       192  0.927720E-01      0.0210      0.0001
        24       192  0.129127E+00      0.0163      0.0001
        25        96  0.130951E+00      0.0081      0.0001
        26        96  0.950190E-01      0.0104      0.0001
        27       192  0.100263E+00      0.0200      0.0001
        28        64  0.716020E-01      0.0081      0.0001
        29       192  0.817690E-01      0.0227      0.0001
        30       192  0.985500E-01      0.0202      0.0001
        31       192  0.796890E-01      0.0230      0.0001
        32       192  0.827540E-01      0.0225      0.0001
        33       192  0.638900E-01      0.0257      0.0001
        34        96  0.978150E-01      0.0102      0.0001
        35        48  0.119605E+00      0.0044      0.0001
        36       192  0.836560E-01      0.0224      0.0001
        37        48  0.120649E+00      0.0043      0.0001
        38       192  0.387230E-01      0.0306      0.0002
        39       192  0.391740E-01      0.0305      0.0002
        40        96  0.313530E-01      0.0161      0.0002
        41        96  0.337750E-01      0.0158      0.0002
        42        32  0.705700E-01      0.0041      0.0001
        43        16  0.567880E-01      0.0022      0.0001
        44        48  0.122260E+00      0.0043      0.0001
        45       192  0.740580E-01      0.0239      0.0001
        46        48  0.827270E-01      0.0056      0.0001
        47       192  0.553040E-01      0.0273      0.0001
        48       192  0.720340E-01      0.0243      0.0001
        49        48  0.112142E+00      0.0046      0.0001
        50        48  0.598710E-01      0.0066      0.0001
        51       192  0.331970E-01      0.0318      0.0002
        52       192  0.219540E-01      0.0344      0.0002
        53        24  0.102269E+00      0.0025      0.0001
        54        96  0.247500E-01      0.0169      0.0002
        55        96  0.112336E+00      0.0092      0.0001
        56        32  0.790950E-01      0.0039      0.0001
        57        96  0.612070E-01      0.0131      0.0001
        58        48  0.249770E-01      0.0084      0.0002
        59        96  0.230570E-01      0.0171      0.0002
        60        96  0.198060E-01      0.0174      0.0002
        61        16  0.907100E-01      0.0018      0.0001
        62        96  0.359910E-01      0.0156      0.0002
        63        48  0.236990E-01      0.0085      0.0002
        64        96  0.324660E-01      0.0160      0.0002
        65        48  0.000000E+00      0.0100      0.0002


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.128101E+00      0.0120      0.0001
         2       192  0.101377E+00      0.0240      0.0001
         3        96  0.129085E+00      0.0120      0.0001
         4        96  0.129226E+00      0.0120      0.0001
         5        48  0.116367E+00      0.0060      0.0001
         6        48  0.859060E-01      0.0060      0.0001
         7       192  0.130521E+00      0.0240      0.0001
         8        96  0.119767E+00      0.0120      0.0001
         9        96  0.113965E+00      0.0120      0.0001
        10       192  0.699440E-01      0.0240      0.0001
        11        96  0.129640E+00      0.0120      0.0001
        12       192  0.993560E-01      0.0240      0.0001
        13        96  0.808920E-01      0.0120      0.0001
        14       192  0.814690E-01      0.0240      0.0001
        15        96  0.100675E+00      0.0120      0.0001
        16       192  0.104256E+00      0.0240      0.0001
        17       192  0.721440E-01      0.0240      0.0001
        18       192  0.720030E-01      0.0240      0.0001
        19       192  0.729050E-01      0.0240      0.0001
        20       192  0.635410E-01      0.0240      0.0001
        21       192  0.525380E-01      0.0240      0.0001
        22       192  0.550840E-01      0.0240      0.0001
        23       192  0.927720E-01      0.0240      0.0001
        24       192  0.129127E+00      0.0240      0.0001
        25        96  0.130951E+00      0.0120      0.0001
        26        96  0.950190E-01      0.0120      0.0001
        27       192  0.100263E+00      0.0240      0.0001
        28        64  0.716020E-01      0.0080      0.0001
        29       192  0.817690E-01      0.0240      0.0001
        30       192  0.985500E-01      0.0240      0.0001
        31       192  0.796890E-01      0.0240      0.0001
        32       192  0.827540E-01      0.0240      0.0001
        33       192  0.638900E-01      0.0240      0.0001
        34        96  0.978150E-01      0.0120      0.0001
        35        48  0.119605E+00      0.0060      0.0001
        36       192  0.836560E-01      0.0240      0.0001
        37        48  0.120649E+00      0.0060      0.0001
        38       192  0.387230E-01      0.0240      0.0001
        39       192  0.391740E-01      0.0240      0.0001
        40        96  0.313530E-01      0.0120      0.0001
        41        96  0.337750E-01      0.0120      0.0001
        42        32  0.705700E-01      0.0040      0.0001
        43        16  0.567880E-01      0.0020      0.0001
