        T             E               F          S             
     300.0     -68563.2849     -68563.5011  0.720683E-03
     873.0     -68563.2636     -68563.9331  0.766913E-03
    1273.0     -68563.2594     -68564.2408  0.770920E-03
    1673.0     -68563.2572     -68564.5495  0.772441E-03
  Infinite     -68563.2502         -        0.774543E-03
