        T             E               F          S             
     300.0     -71565.0534     -71565.1740  0.402083E-03
     873.0     -71565.0492     -71565.4083  0.411250E-03
    1273.0     -71565.0485     -71565.5729  0.411941E-03
    1673.0     -71565.0481     -71565.7378  0.412200E-03
  Infinite     -71565.0470         -        0.412554E-03
