Structure,Energy,Nucleus,delta_iso
01,-73065.978756,Sn01,-642.0241486123591
01,-73065.978756,Sn02,-641.99749157325
01,-73065.978756,Sn03,-642.01120456331
01,-73065.978756,Sn04,-641.9957089791747
01,-73065.978756,Sn05,-641.9975239001869
01,-73065.978756,Sn06,-642.0128222291055
01,-73065.978756,Sn07,-641.995878486257
01,-73065.978756,Sn08,-642.0265625650691
01,-73065.978756,Sn09,-641.9952764725358
01,-73065.978756,Sn10,-642.0036343326228
01,-73065.978756,Sn11,-641.999136251728
01,-73065.978756,Sn12,-642.0009926422472
01,-73065.978756,Sn13,-642.0224066409219
01,-73065.978756,Sn14,-641.9956006611237
01,-73065.978756,Sn15,-642.0000816600691
01,-73065.978756,Sn16,-642.024000026955
<class 'numpy.ndarray'>
[[0. 0. 0.]]
