        T             E               F          S             
     300.0     -65561.5801     -65561.7974  0.724205E-03
     873.0     -65561.5603     -65562.2321  0.769570E-03
    1273.0     -65561.5575     -65562.5406  0.772273E-03
    1673.0     -65561.5561     -65562.8497  0.773249E-03
  Infinite     -65561.5518         -        0.774543E-03
