 Configuration with minimum energy:           62
 Configuration with maximum energy:           33

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         2        96  0.111649E+00      0.0085      0.0001
         3        96  0.910370E-01      0.0102      0.0001
         4        96  0.778650E-01      0.0115      0.0001
         5       192  0.832110E-01      0.0220      0.0001
         6       192  0.101689E+00      0.0186      0.0001
         7       192  0.720570E-01      0.0243      0.0001
         8        16  0.467230E-01      0.0026      0.0002
         9        48  0.978060E-01      0.0048      0.0001
        10       192  0.121804E+00      0.0155      0.0001
        11        96  0.119026E+00      0.0079      0.0001
        12        32  0.956690E-01      0.0033      0.0001
        13       192  0.919060E-01      0.0203      0.0001
        14       192  0.732050E-01      0.0241      0.0001
        15       192  0.626040E-01      0.0265      0.0001
        16       192  0.100592E+00      0.0188      0.0001
        17       192  0.825080E-01      0.0221      0.0001
        18        64  0.834740E-01      0.0073      0.0001
        19       192  0.748880E-01      0.0237      0.0001
        20        96  0.595250E-01      0.0136      0.0001
        21       192  0.584010E-01      0.0276      0.0001
        22       192  0.840180E-01      0.0218      0.0001
        23       192  0.751740E-01      0.0237      0.0001
        24       192  0.544360E-01      0.0286      0.0001
        25       192  0.635330E-01      0.0263      0.0001
        26        96  0.473190E-01      0.0152      0.0002
        27       192  0.679720E-01      0.0253      0.0001
        28        96  0.925690E-01      0.0101      0.0001
        29       192  0.695950E-01      0.0249      0.0001
        30       192  0.730420E-01      0.0241      0.0001
        31       192  0.696070E-01      0.0249      0.0001
        32       192  0.636740E-01      0.0263      0.0001
        33        48  0.121968E+00      0.0039      0.0001
        34       192  0.103903E+00      0.0182      0.0001
        35        32  0.862990E-01      0.0036      0.0001
        36       192  0.114193E+00      0.0166      0.0001
        37        48  0.110175E+00      0.0043      0.0001
        38        96  0.108395E+00      0.0087      0.0001
        39        96  0.110829E+00      0.0085      0.0001
        40        96  0.101103E+00      0.0093      0.0001
        41        48  0.111739E+00      0.0042      0.0001
        42       192  0.801210E-01      0.0226      0.0001
        43        24  0.114511E+00      0.0021      0.0001
