
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.40377420609525      eV
 Composition: x =   0.87499999999472156     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     17      192           -67062.36970      -61059.13950    0.166061E-04    0.864900E-07
  8     18      192           -67062.36911      -61059.13892    0.162320E-04    0.845417E-07
  8     19       96           -67062.36918      -61059.13899    0.813896E-05    0.847808E-07
  8     20       96           -67062.38028      -61059.15009    0.125023E-04    0.130232E-06
  8     21       96           -67062.35428      -61059.12409    0.457379E-05    0.476437E-07
  8     22      192           -67062.36855      -61059.13835    0.158817E-04    0.827173E-07
  8     23      192           -67062.39009      -61059.15990    0.365444E-04    0.190335E-06
  8     24       96           -67062.37760      -61059.14740    0.112703E-04    0.117399E-06
  8     25       48           -67062.40669      -61059.17650    0.173658E-04    0.361788E-06
  8     26       96           -67062.38834      -61059.15814    0.170749E-04    0.177864E-06
  8     27       12           -67062.33386      -61059.10367    0.259485E-06    0.216238E-07
  8     28       96           -67062.36664      -61059.13645    0.737703E-05    0.768441E-07
  8     29       96           -67062.36557      -61059.13537    0.707629E-05    0.737114E-07
  8     30       96           -67062.38265      -61059.15245    0.137010E-04    0.142719E-06
  8     31      192           -67062.37600      -61059.14581    0.211902E-04    0.110366E-06
  8     32      192           -67062.40881      -61059.17861    0.753851E-04    0.392631E-06
  8     33      192           -67062.39069      -61059.16050    0.374039E-04    0.194812E-06
  8     34      192           -67062.39482      -61059.16463    0.438814E-04    0.228549E-06
  8     35      192           -67062.39888      -61059.16869    0.513435E-04    0.267414E-06
  8     36       48           -67062.38652      -61059.15632    0.795646E-05    0.165760E-06
  8     37       48           -67062.41005      -61059.17986    0.197761E-04    0.412002E-06
  8     38      192           -67062.33684      -61059.10665    0.465956E-05    0.242685E-07
  8     39      192           -67062.34865      -61059.11846    0.735801E-05    0.383230E-07
  8     40      192           -67062.35818      -61059.12799    0.106375E-04    0.554038E-07
  8     41       24           -67062.32830      -61059.09810    0.418493E-06    0.174372E-07
  8     42      192           -67062.35732      -61059.12713    0.102891E-04    0.535889E-07
  8     43       96           -67062.36696      -61059.13676    0.746747E-05    0.777862E-07
  8     44       96           -67062.37934      -61059.14915    0.120573E-04    0.125597E-06
  8     45       48           -67062.35793      -61059.12774    0.263379E-05    0.548706E-07
  8     46       96           -67062.36611      -61059.13591    0.722594E-05    0.752702E-07
  8     47      192           -67062.37410      -61059.14391    0.196887E-04    0.102545E-06
  8     48      192           -67062.38632      -61059.15613    0.315904E-04    0.164533E-06
  8     49      192           -67062.36835      -61059.13816    0.157636E-04    0.821021E-07
