
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43197985506254      eV
 Composition: x =   0.37499999998039862     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.12281    0.612624E-02    0.612624E-02
  1      1       16           -61809.52206      -61059.08119    0.195945E-01    0.122466E-02
  2      1       48           -62559.91747      -61059.04782    0.161720E-01    0.336917E-03
  2      2       24           -62559.92649      -61059.05684    0.114608E-01    0.477532E-03
  2      3       48           -62559.93679      -61059.06714    0.341357E-01    0.711160E-03
  3      1       48           -63310.31227      -61059.01313    0.422564E-02    0.880342E-04
  3      2       32           -63310.31342      -61059.01428    0.294592E-02    0.920600E-04
  3      3       96           -63310.32148      -61059.02234    0.120687E-01    0.125716E-03
  3      4      192           -63310.33108      -61059.03194    0.349956E-01    0.182269E-03
  3      5       96           -63310.33003      -61059.03089    0.167981E-01    0.174980E-03
  3      6       48           -63310.32923      -61059.03009    0.814533E-02    0.169694E-03
  3      7       32           -63310.36223      -61059.06309    0.194615E-01    0.608171E-03
  3      8       16           -63310.29084      -61058.99170    0.615008E-03    0.384380E-04
  4      1       12           -64060.69708      -61058.96773    0.182503E-03    0.152086E-04
  4      2      192           -64060.71656      -61058.98722    0.620474E-02    0.323164E-04
  4      3      192           -64060.71491      -61058.98556    0.581975E-02    0.303112E-04
  4      4       96           -64060.72606      -61058.99672    0.448026E-02    0.466694E-04
  4      5       24           -64060.72769      -61058.99835    0.119278E-02    0.496990E-04
  4      6       96           -64060.73540      -61059.00606    0.643071E-02    0.669866E-04
  4      7       48           -64060.73390      -61059.00456    0.303387E-02    0.632055E-04
  4      8       96           -64060.71444      -61058.98510    0.285822E-02    0.297732E-04
  4      9      192           -64060.73261      -61059.00327    0.115443E-01    0.601267E-04
  4     10       96           -64060.75440      -61059.02505    0.134063E-01    0.139649E-03
  4     11       96           -64060.75643      -61059.02709    0.145026E-01    0.151069E-03
  4     12       96           -64060.72217      -61058.99283    0.385438E-02    0.401498E-04
  4     13       96           -64060.69587      -61058.96653    0.139359E-02    0.145165E-04
  4     14       96           -64060.72462      -61058.99528    0.423769E-02    0.441426E-04
  4     15       96           -64060.73338      -61059.00403    0.594552E-02    0.619325E-04
  4     16      192           -64060.74358      -61059.01423    0.176430E-01    0.918906E-04
  4     17       48           -64060.73462      -61059.00527    0.311883E-02    0.649755E-04
  4     18       24           -64060.74005      -61059.01071    0.192404E-02    0.801684E-04
  4     19        8           -64060.70845      -61058.97911    0.188902E-03    0.236128E-04
  4     20        4           -64060.71469      -61058.98534    0.120222E-03    0.300555E-04
  4     21       12           -64060.72936      -61059.00002    0.636235E-03    0.530196E-04
  4     22        8           -64060.80941      -61059.08006    0.938114E-02    0.117264E-02
  5      1       96           -64811.10732      -61058.94707    0.656405E-03    0.683755E-05
  5      2      192           -64811.12798      -61058.96772    0.291882E-02    0.152022E-04
  5      3       48           -64811.11935      -61058.95910    0.522641E-03    0.108883E-04
  5      4      192           -64811.11591      -61058.95565    0.182981E-02    0.953028E-05
  5      5       96           -64811.13305      -61058.97280    0.177603E-02    0.185003E-04
  5      6      192           -64811.14693      -61058.98667    0.607533E-02    0.316423E-04
  5      7       96           -64811.14333      -61058.98307    0.264269E-02    0.275280E-04
  5      8       96           -64811.11657      -61058.95631    0.938601E-03    0.977709E-05
  5      9       96           -64811.15908      -61058.99882    0.486016E-02    0.506267E-04
  5     10      192           -64811.12358      -61058.96333    0.246259E-02    0.128260E-04
  5     11       96           -64811.15460      -61058.99434    0.408670E-02    0.425698E-04
  5     12       96           -64811.13429      -61058.97404    0.186329E-02    0.194093E-04
  5     13       48           -64811.09652      -61058.93626    0.216086E-03    0.450179E-05
  5     14       96           -64811.09885      -61058.93860    0.473023E-03    0.492732E-05
  5     15       96           -64811.10455      -61058.94429    0.589641E-03    0.614209E-05
  5     16      192           -64811.12491      -61058.96466    0.259219E-02    0.135010E-04
  5     17      192           -64811.13724      -61058.97699    0.417688E-02    0.217546E-04
  5     18      192           -64811.14338      -61058.98313    0.529622E-02    0.275845E-04
  5     19      192           -64811.14607      -61058.98582    0.587700E-02    0.306094E-04
  5     20      192           -64811.15355      -61058.99330    0.784900E-02    0.408802E-04
  5     21       96           -64811.14266      -61058.98241    0.257528E-02    0.268258E-04
  5     22       96           -64811.16473      -61059.00447    0.604690E-02    0.629885E-04
  5     23      192           -64811.12660      -61058.96635    0.276752E-02    0.144142E-04
  5     24      192           -64811.13486      -61058.97461    0.380981E-02    0.198428E-04
  5     25      192           -64811.15418      -61058.99392    0.804200E-02    0.418854E-04
  5     26      192           -64811.14948      -61058.98922    0.670514E-02    0.349226E-04
  5     27       96           -64811.13234      -61058.97209    0.172778E-02    0.179977E-04
  5     28       96           -64811.14099      -61058.98074    0.241446E-02    0.251506E-04
  5     29       96           -64811.10918      -61058.94893    0.705373E-03    0.734763E-05
  5     30       48           -64811.11499      -61058.95474    0.441562E-03    0.919922E-05
  5     31       48           -64811.12250      -61058.96224    0.590320E-03    0.122983E-04
  5     32       96           -64811.15092      -61058.99067    0.354489E-02    0.369259E-04
  5     33       96           -64811.15329      -61058.99304    0.388553E-02    0.404743E-04
  5     34       48           -64811.17400      -61059.01374    0.432745E-02    0.901551E-04
  5     35       96           -64811.20776      -61059.04750    0.319476E-01    0.332787E-03
  6      1       48           -65561.52021      -61058.92833    0.158990E-03    0.331230E-05
  6      2       96           -65561.51663      -61058.92475    0.276913E-03    0.288451E-05
  6      3       96           -65561.53725      -61058.94537    0.614624E-03    0.640234E-05
  6      4       96           -65561.55042      -61058.95854    0.102303E-02    0.106566E-04
  6      5      192           -65561.54507      -61058.95319    0.166384E-02    0.866581E-05
  6      6      192           -65561.52659      -61058.93471    0.814131E-03    0.424026E-05
  6      7      192           -65561.55623      -61058.96435    0.256147E-02    0.133410E-04
  6      8       16           -65561.58156      -61058.98968    0.568722E-03    0.355451E-04
  6      9       48           -65561.53048      -61058.93860    0.236519E-03    0.492747E-05
  6     10      192           -65561.50648      -61058.91460    0.373919E-03    0.194749E-05
  6     11       96           -65561.50926      -61058.91738    0.208169E-03    0.216842E-05
  6     12       32           -65561.53261      -61058.94073    0.171267E-03    0.535210E-05
  6     13      192           -65561.53638      -61058.94450    0.118861E-02    0.619070E-05
  6     14      192           -65561.55508      -61058.96320    0.245021E-02    0.127615E-04
  6     15      192           -65561.56568      -61058.97380    0.369226E-02    0.192305E-04
  6     16      192           -65561.52769      -61058.93581    0.849421E-03    0.442407E-05
  6     17      192           -65561.54578      -61058.95390    0.170970E-02    0.890470E-05
  6     18       64           -65561.54481      -61058.95293    0.548999E-03    0.857810E-05
  6     19      192           -65561.55339      -61058.96152    0.229578E-02    0.119572E-04
  6     20       96           -65561.56876      -61058.97688    0.207964E-02    0.216629E-04
  6     21      192           -65561.56988      -61058.97800    0.434410E-02    0.226255E-04
  6     22      192           -65561.54427      -61058.95239    0.161270E-02    0.839948E-05
