        T             E               F          S             
     300.0     -65561.5910     -65561.8489  0.859477E-03
     873.0     -65561.5693     -65562.3607  0.906440E-03
    1273.0     -65561.5660     -65562.7239  0.909527E-03
    1673.0     -65561.5644     -65563.0879  0.910650E-03
  Infinite     -65561.5593         -        0.912146E-03
